Q,K1,K2,K3,K4,A
漫画『けいおん ! 』で、和下沢唯がバンドで担当している楽器は何 ?,キーボード,ギター,ベースズ,ドラム,ギター
越後姫、さぬき姫、紅ほっペぺといえばどんな果物の品種 ?,スイカ,リンゴ,イチゴ,サクランボ,イチゴ
"バックミラーやナイターのように、シタ
ロロ  もと こ央計本語を何という ?",借用語,カバン語,外来語,和製英語,和製英語
_ 次のM全/全只るい衝2間間2 やや! |! 敵還還sn、 っ、 るSc人人只和もる/27|  O ーー,2生(ジングン会もも,いいNN レジジーペーンー,ペア)。 こいめぬ座,こぐま座,こぐま座
次のうち、元素ではないものはどれ ?,チタン,オゾン,ウラン,ネオン,オゾン
トビー・マグワイアが主人公のピーター・パーカーを演じる映画といえば『何マン』 2,ガッチャマン,スーパーマン,スパイダーマン,バットマン,スパイダーマン
ビリヤード台の6つの穴のうち、サイドポケットと呼ばれるものは全部GE 刻ん,2つ,3つ,4つ,1つ,2つ
ことわざ「人を呪わば穴2つ」の、「穴」が意味するものは何 ?,耳の穴,穴子,曹穴,針の穴,曹穴
「風の素顔』や『黄砂に吹かれて」などのヒット曲がある女性歌手は誰 ?,渡辺満里奈,国生さゆり,工藤静香,城之内早苗,工藤静香
"聖武天旦の時に
の時に最盛期を迎えた天
こ大邊文化は、何時代の文化 ?",奈良時代,鎌昼時代,明治時代,江戸時代,奈良時代
次のうち、歌舞伎の屋号として人存在<Yひ】とすっ2ル 4   「,成田屋,新十歳屋,胸田屋,セントレア屋,成田屋
アマゾン川の河口がある国はどこ ?,南アフリカ,メキシコ,ケニア,ブラジル,ブラジル
次のうち、オリンピックの陸上競技の種目にないものはどれ2?    「,1500m,5000m,2Z000m,800m,2Z000m
RPG『ドラクエ』シリーズで、転職を行うための紳殿の名前は何 ?,ハーマ三殿,カーマ三殿,ラーマ紳殿,ダーマ紳殿,ダーマ紳殿
アフガニスタン原産であることから名付けられた、長い毛が特徴的な犬の品種は何 ?,アフガンスピッツ,アフガンブルドック,アフガンサモエド,アフガンハウンド,アフガンハウンド
食物連鎖の中で、動物を何という?,消費者,分解者,生産者,逃避者,消費者
時代劇『水戸黄門』に登場する「風車のつつ〇」。〇〇に入る名前は何 2,弥巧,弥必,弥太,弥助,弥巧
坂戸佐兵衛と旅井とりのグルメ漫画『めしばな刑事OOO』 。 〇〇〇は何?,フジムラ,オカヤマ,タチバナ,サイトウ,タチバナ
東京ディズニーランドを運営する会填は?,日本ディズニー,サンリオ,ユニバーサルリゾート,オリエンタルランド,オリエンタルランド
野球の「ビーンボール」で、ボールが狙うのは打者の体のどのあたり ?,腰,中,豆,肘,豆
ゲーム 『ボポケットモンスター』シリーズで、ピカチュウの進化に必要な(の】ちやバク jpまっす2光4 時,かみなりのいし,レベルアップ,通信交換,でんさだま,かみなりのいし
アナウンサー・高野貴裕を夫にもつ、映画 『さよならみどりちゃん』などで主役を務めた女優は誰?,星野真里,原真里,野村真里,伊東真里,星野真里
ボー トボールで、  相手チームのゴールマンの前に立ち、相手のゴールを牙魔するポボポジションを何という ?,ガードマン,セーブマン,パンチマン,ジャンプマン,ガードマン
毎年8月に秋田市で行われるお祭り「〇OO〇OO〇つまつり」。O〇O〇OO〇は何 ?,かんさい,かんとう,ほくりく,とうかい,かんとう
邊に ショコあす<導の】EHEGGゴゴミれている2?          ーー,スペイン,イタリア,フランス,ドイツ,フランス
漫画『魔法先生ネギま!』 で、主人公のネギ・スプリングフィールドは連載当初何歳だった?,20歳,30歳,10歳,40歳,10歳
アメリカの国防総省のことも表す「ペンタゴン」とは、何角形のこと?,五角形,三角形,導角形,四角形,五角形
テコンドーの技「チャギ」は何といこ-,膝,味中,蹴り,廻し,蹴り
19世紀に「チャーチスト運動」が起きた国はどこ ?2            ー,イギリス,ロンア,エジプト,中国,イギリス
洗顔フォームの「フォーム」とは、どんな意味 ?     -,交勢,形式,成績,泡,泡
次のうち、4コマ漫画なのはどれ?,生徒会役員共,はじめの一歩,金田一少年の事件簿R,ベイビーステップ,生徒会役員共
マイアミビーチやケネディ宇宙センターなどの観光地があるアメリカの州はどこ?,フロリダ州,アラスカ州,ニューヨーク州,ハワイ州,フロリダ州
9月の大型連休は何と呼ばれている?,シルバーウィーク,ゴールデンウイーク,プラチナウィーク,ブロンズウィーク,シルバーウィーク
アイスホッケーの反則「メジャー〇)の1のIEにとをよらの!⑨⑨】ほ衝@⑨!⑥に入る言葉は何 ?,ペナルティ,フライング,ノックダウン,リングアウト,ペナルティ
次のうち、「ベースメイク」ではなく「ポイントメイク」に使う化粧品はどれ?,コンシーフー,化粧下地,"プ  w
アァンデー>
ンョン",口紅,口紅
韓国のプロスポーツチームで、「LGツインズ」や「斗山ベアーズ」 といえばどんなスポーツのチーム ?,野球,ラグビー,バスケットボール,アイスホッケー,野球
年齢や障害の有無に関係なく、誰でも使えるようなデザインのことを何デザインという ?,グローバル,ユニバーサル,グッドルッキング,コストカット,ユニバーサル
の』じとうゴリpまっ還っプmeうとのはどれ2,アンコールワット,仏国寺,カッパドキア,メテオラ,カッパドキア
白濱亜嵐、片寄涼太、関ロメンディーらからなる7人組ダンス&ボーカルユニットは何 ?,Hey! Say! JUMP,GENERATIONS,ゴールデンボンバー,Linked Horizon,GENERATIONS
ドラマ『梨泰院クラス』は、どこの形で制作された作品?,中国,韓国,アメリカ,イギリス,韓国
次のうち、女性だけで構成されたにプリレダタムも所間KGdた9/9和TIちすずれ?,SCANDAL,ステレオポニー,ンド,ZONE,ンド
サイコロを振ったとき、偶数の目が出る確率はいくつ 3?,2分の1,3分の1,4分の1,6分の1,2分の1
次のうち、月の公転周期として適切なのはどれ2?,約1時間,約1日,約1年,約1ヶ月,約1ヶ月
銀河系の外にも銀河があることを発見した、巨大な宇宙望遠鏡にも名を残す天文学者は誰 ?,トッグル,ワッフル,ハッブル,レッグル,ハッブル
大阪では「ものもらい」のことを何という?      「,めもらい,くまもらい,ばちんこ,めばちこ,めばちこ
アメリカに大きな被害を及ぼすこともある、カリブ海周辺で発生する熱錠低気圧は何 ?,トルネード,サイクロン,ハリケーン,タイフーン,ハリケーン
円盤を授けげけるスポーツ「フライングディスク」が生まれた国はどこ ?,中国,ニュージーランド,アメリカ,コスタリカ,アメリカ
サーフボードの表面を指す言葉はどれ ?,メッキ,ニッキ,イッキ,デッキ,デッキ
ボケの関太とツッコミの山本浩司からなる、体型ネタなどで知られるお笑いコンビは何 ?,タケコプター1号,どこでもドア2号,スモールライト4号,タイムマシーン3号,タイムマシーン3号
野球で犠牲バントを決めた時、打者の打率はどうなる ?2,上がる,決まっていない,変わらない,下がる,変わらない
人や物を正方形に並べ、その一辺や周囲の数を求める算数の問題を何という ?,四角算,円陣算,方陣算,連囲算,方陣算
漫画『怪物くん』で、夜にしか活動てにるZM RYの1たす2ル 6 嘱/,フランケン,ドラキュラ,オオカミ男,生魚人,ドラキュラ
ワンピースやスカートで、くるぶしほどまである長い丈を何という2?,ミニマム,"me
me
me",ミ モレ,マキン,マキン
昭和期にいわれた言葉で「赤いダイヤ」といえば小豆ですが「黒いダイヤ」といえば?,かずのこ,小豆,石炭,さくらんぼ,石炭
鈴木央の漫画『七つの大罪』で、騎士団「七つの大罪」の団長である主人公は誰 ?,ザラトラス,エレイン,メリオダス,ギルサンダー,メリオダス
ベストジーニスト2020の男性部門で、1位となった韓国人歌手は誰2,テギョン,ミンホ,キュヒョン,ジェジュン,ジェジュン
漫画『パーマン』に登場する次のパーマンのうち、女性は誰 ?,パーマン3号,パーマン4号,パーマン1]号,パーマン2号,パーマン3号
漫才の世界を舞台とした森田まさのりの漫画は何?   _,べしゃり暮らし,キングダム,嘘喰い,ハチワンダイバー,べしゃり暮らし
北朝鮮の碧都はどこ?,釜山,座幸,北京,台北,座幸
1930年代から建設が進められた、ド人めメオ三EEミ5:4たる幅肝4,フリーウェイ,アウトストラーダ,アウトバーン,オートルート,アウトバーン
りの)たさじコッジルバクウ】たすり/ phすり釜のことを、つばがあるものに見えることから何という ?,物釜,とさか釜,蹴爪釜,尾釜,物釜
陸上選手のフォームで、 歩幅を広くして走ることを何という?,ピッチ走法,フラット走法,スプリント走法,ストライド走法,ストライド走法
17族の元素を意味する「ハロゲン」とは、ギリシャ語でどんな意味?,胡概の素,塩の素,砂糖の素,味の素,塩の素
嘩液に含まれるアミラーゼは主に何を分解する 2        ー,タンパク質,脂肪,ビタミン,でんぷん,でんぷん
山本鈴美香の漫画 『エースをねらえ!』 は、どんなスポーツを題材にしている ?,陸上,バレーボール,テニス,ボウリング,テニス
チャップリンが監督・主演を務めた映画『黄金狂時代』 で、物語の舞台となった国はどこ ?,ブラジル,インド,日本,アメリカ,アメリカ
E-qirls内で結成された姉妹ユニット「ShuuKaRen」の赤化と夏恋姉妹の名字は何 ?,田中,藤井,小川|,山口,藤井
漫画『人金色のガッシュ!和』 で、ガッシュのパートナーである少年の名前は何 ?,高鶴清鷹,中田秀寿,岩島守,金山間,高鶴清鷹
フリーアナウンサーの羽鳥慎一、騙澤朗、小倉塗といえば、元々どこのテレビ局の局アナだった ?,フジテレビ,日本テレビ,TBS,NHK,日本テレビ
代表作に『石割り』や『オルナンの埋葬』などがあるフランスの画家は誰 ?,クールベ,コールドベ,ホットベ,ウォームベ,クールベ
福沢自巳を主人公とする今野緒雪の小説は 『O〇OO〇がみてる』。O〇〇O〇は ?,,イエス様,観音様,マリア様,マリア様
工場などの現場で働く肉体労働者のことを、ある色を使って何という 2?2,ブラックカラー,レッドカラー,イエローカラー,ブルーカラー,ブルーカラー
理科の実験に使われる「ろうと」とは、次のうち何をするための人道具 ?,液体を量り取る,液体をかき混ぜる,液体を熱する,液体を注ぐ,液体を注ぐ
リスト作曲の『〇〇〇狂詩曲」、ブラームス作曲の『〇〇〇つ舞曲』のて)CXうに入る国はどこ ?,オーストリア,フィンランド,ポボポルトガル,ハンガリー,ハンガリー
次のうち、原料が魚肉でないものはどれ2,かまぼこ,ちくわぶ,はんペぺん,ちくわ,ちくわぶ
「黒い呪術師」と呼ばれた往年のレスラー、〇〇つ〇・ザ・ブッチャー。の!@】た口/,ハルク,アンドレ,スタン,アブドーラ,アブドーラ
料理の「白和え」に欠かせない食材は何 ?      ーー,ごま,と うふ,みそ,こはん,と うふ
ミノムシが成長すると何になる ?,ミノトンボ,ミノチョワウ,ミノス,ミノガ,ミノガ
マラソンで、1kmや10kmなど、一定距離ごとの所要時間を何という?,オーバータイム,アディショナルタイム,スプリットタイム,ロスタイム,スプリットタイム
ドラクロワ、スーラ、ルノワールといえば、どこの国の画家 ?,ドイソツ,アメリカ,ロンシア,フランス,フランス
次のうち、「もうけ」や「利ざや」などと訳される言葉はどれ?,マージン,マージャン,マーブル,マーチ,マージン
アニメ化もされた漫画『ベルサイユのばら』の作者は誰 ?,山本稚美香,池田理代子,いがらしゆみこ,美内すずえ,池田理代子
F1GPで最も早く行われるイベントは、次のうちどれ ?,本選,フリー走行,表彰式,予選,フリー走行
ラグビーやサッカーで、ボールを地面に置いた状態で行うキックを何という ?,アリキック,ボレーキック,プレースキック,ドロップキック,プレースキック
次のうち、実在した天旦は誰 ?,伊藤天星,村上天皇,黒沢天皇,大島天旦,村上天皇
次のキャラのうち、アニメ『おじゃる丸』の子此トリオのメンバーでないのは誰 ?,キスケ,ミドリオニ,アカネ,アオベべエ,ミドリオニ
"植物の体にある、根から吸収した水分を運ぶ管のこと:
曹のことを何という2",作管,"王を箕
ym 到",水官,混官,作管
七甲浅のうち、唯一女性の紳様はどれ ?,恵比寿,弁財天,布袋,昆沙門天,弁財天
「イグアナの歯」と名付けられた世界で最初に発見された恐竜は何 ?,ブラキオサウルス,イグアノドン,ティラノサウルス,ステゴサウルス,イグアノドン
料理で、千切りよりもさらに細長く切る切り方を、ある裁継道具に例えて何という ?,ミシン切り,チャコ切り,時切り,ルレット切り,時切り
AKB48らのライバルとして活動する、秋元康プロデュースのアイドルグループは何 ?,乃木坂48,乃木坂47,乃木坂49,乃木坂46,乃木坂46
「DB.スターマン」というマスコッデンシルルたAAとpmE525 とムはどこ?,タダタイガース,ジャイアンツ,ベイスターズ,ドラゴンズ,ベイスターズ
鉄の融点は摂氏何度 ?,約1500度,約15度,約150度,約1.5度,約1500度
ザビエルが日本に初めて持ち込んだとされる、顔につけて説力を矯正する道具は何 ?,ルーペ,歌微鏡,宝遠鏡,眼鏡,眼鏡
"次の漫画のタイトルのうち、〇のと
副!    !     プ J         CM   のれ?",〇〇大学物語,〇つつ〇エイティーズ,〇〇むらさき特委,〇〇ラブストーリー,〇〇むらさき特委
お笑いコンビ・明男個で、貴族のような服装で知られるメンバーは誰 2,ひぐち君,ねづっち,木胃さんちゅう,山田ルイ53世,山田ルイ53世
RPGのキャラクターのパラメータで、「賢さ」を表すのは次のうちどれ?,INT,LUK,STR,VIT,INT
次のアメリカ軍事組織のうち、アメリカ国防総省の管轄下に属さないのはどれ?,アメリカ治岸堂備際,アメリカ陸軍,アメリカ海車,アメリカ海兵隊,アメリカ治岸堂備際
小説 『ホビットの冒険』や『指輪物語』などで知られる作家は誰 ?,オーディンモク,テュールスイ,フリッグド,トールキン,トールキン
石山本願寺跡に豊臣秀吉が建てた城は?       ーー,犬山城,姫路城,江戸城,大阪城,大阪城
次のうち、「水晶」の結晶の形はどれ ?,円雛,六角柱,球,立方体,六角柱
植物が光合成をするとき放出する気いちる幅計4                     ー          「,計素,二酸化炭素,水素,酸素,酸素
ゴルフで、パー5のホールを4打でホールアウトした時のスコアはどれ?,バーディ一,イーグル,パー,ボギー,バーディ一
スカートやズボンのすそ上げに用いる、表からは縫い目が見えない縫い方を何という2?,まつりぬい,おもてぬい,さわぎぬい,うらぬい,まつりぬい
軽演劇集団「カンコンキンシアター」の座長を務めるタレントは誰 ?,衝斑亭鶴瓶,関根勤,内村光良,有吉弘行,関根勤
次のうち、観葉植物としても人気の植物はどれ 2        「,イランイラン,ホシイホシイ,イルイル,ヤルヤル,イランイラン
アニメ!『チーズスイートホーム』で、山田家で飼われている主人公のネコの名前は何 ?,リー,キー,チー,ピー,チー
「ローマ人の物語』シリーズなどの作品で知られる作家は誰 ?,塩野五生,塩野六生,塩野七生,塩野四生,塩野七生
アメリカの劇作家アーサー・ミラーの代表作の一つは次のうちどれ?,じつぼ,るつぼ,どつぼ,うつぼ,るつぼ
元柔道選手「谷豪子」の出身地は、次のうちどこ2?  」,貴島県,唱岡県,東京都,京都府,唱岡県
R-指定とDJ松永からなるヒップホッっユニットは何 ?,ICE BAHN,BAD HOP,ラッパ我リヤ,CreeDy NutS,CreeDy NutS
みりんや調理酒などを加熱することによってアルコール分を飛ばす調理法は何 ?,焼切り,区切り,炒め切り,急切り,急切り
映画『スタンド・バイ・ミー』で、ま人公の少年たちが探しに旅に出るものは何 ?,家,死体,宝箱,自動車,死体
柔道で、制限時間内に決着がつかなかった場合に、点差がつくまで行われる延長戦を何という ?,ブロンズスコア,プラチナスコア,ゴールデンスコア,シルバースコア,ゴールデンスコア
ゲーム『ドラクエ3』で、回復系の魔法を中心に使う職業は何?,楽師,僧偶,吟遊詩人,症待師,僧偶
極道一家・集英組の一人息子・一条楽を主人公とする、古味直志の漫画は何 ?,ワールドトリガー,ハイキュー!!,ニセコイ,トリコ,ニセコイ
サッカー・ブラジルW杯で、W杯通算得点記録を更新したミロスラフ・クローゼはどこの国の選手?,ブラジル,イタリア,フランス,ドイツ,ドイツ
「蒸留」とは、液体を熱して気体にした後にどんなことをする操作 ?,冷やして媒び液体にする,有機溶媒に溶かす,"結貞
ョを
析出
1
させ
る",ろ紙に通して固体を除く,冷やして媒び液体にする
ーー ノジここそ(CIにてイイ1信/-字/靖ンハ(いい宮1 にン午用00 2 2の)イトンンソリ (のバルビ ロン,      モグラ,犬,亀,EL 光     タヌキ,亀
アルペンスキーの複合といえば、いの7のロニレオスmp独り,8つ,4つ,2つ,6つ,2つ
猿橋勝子の名前にちなむ、顕著な業績を残した女性科学者に贈られる賞は何 ?,奴橋員,枕橋,犬橋党,狂橋鋼,狂橋鋼
次のうち、古代ギリシャの物理学者・アルキメデスが解明したものはとどれ2?,浮力,地動説,万有引力,DNAのらせん構造,浮力
トライアスロンの3種目で、最後の3番目に行うものは何 ?,スノーボード,馬術,水泳,長距離,長距離
紀元前13世紀に「出エジプト」を指導し、唯一利から十戒を授かった人物は?,アダム,ノックス,イエス,モーセ,モーセ
次のうち、目転車が進むときに作用している効果はどれ ?,ドップラー効果,バーナム効果,ジャイロ効果,プラシーボポ効果,ジャイロ効果
アナウンサーとして活躍する草野仁と材太一に共通する出身大学はどこと,東京工業大学,ーツ橋大学,お人茶の水女子大学,東京大学,東京大学
朝日新聞の朝刊に連載されている、いしいひさいちの漫画は何 ?,ののちゃん,ねねちゃん,ににちゃん,ななちゃん,ののちゃん
久米田康治の漫画『さよなら絶望先生』の主人公・和糸色望の「和糸色」の説み方は何 ?,いといろ,しいろ,ししき,いとしき,いとしき
時代劇『水戸黄門』に登場する「風車のつつ〇」。〇〇に入る名前は何 2,絹,弥助,弥巧,弥太,弥巧
「リカーショップ」といえば、どんなものを取り扱っている店 ?,おもちゃ,化,カメラ,酒,酒
中まっ症にコミレミ〇つつ〇対抗駅伝競走大会」。 〇〇〇は何 ?,,実業団,高校生,大学生,実業団
世界初の女性首相・バンダラナイケといえば、インドの南東に位置する,マダガスカル,マルタ,スリランカ,キプロス,スリランカ
水溶液の「石放水」に溶けている物体は何? 。,消水放,消岩放,消石放,消石水,消石放
佐田の山や三重ノ海など、これまでに最多9人の横綱を奄出した相撲部屋は何 ?,入移海部屋,入絢山部屋,出選山部屋,出羽海部屋,出羽海部屋
ドラえもんの大好物はドラ焼きですが、ドラミちゃんの大好物は?,シュークリーム,クリームパン,アンパン,メロンパン,メロンパン
エジプトにない遺跡はどれ?,ピラミッド,スフィンクス,アブシンベル大細殿,ポンペイ,ポンペイ
ドーム球場を本拠地にしていない球団は、次のうちどれ?     「,巳人,日本ハム,中日,楽天,楽天
漫画『ドカベン』で、妹がいるのは誰?,屋馬一人,里中智,山田太郎,岩鬼正美,山田太郎
映画『タイムスクープハンター』の主役を務め、うどん県副知事の崩書さも持つ俳優は誰 ?,小栗名,要潤,佐藤健,玉木宏,要潤
次のうち、小倉唯と石原夏織の2人からなる声優ユニットはどれ2?,ゆいかおり,ゆいゆかり,ゆいなな,ななゆかり,ゆいかおり
中国地方で瀬戸内海側にある県は?,北海道,広島県,鳥取県,東京,広島県
ヴィヴィアン・リーが演じた、映画「出と共に去りぬ』 ののヒロインの名IIある回上4,スカーレット,イライザ,ソフィー,キャサリン,スカーレット
「リフト」や「昇降機」という別名もある、上下に動く乗り物といえば何?,ケーブルカー,エレベーター,ロープウェイ,エスカレーター,エレベーター
グルメイベント「B-1グランプリ」の「B」が意味する英語は何?,Brand,Beer,Body,Biology,Brand
「杜氏」といえば、次のうち何を作る人のこと 2?       ー,陶磁右,日本刀,和紙,日本酒,日本酒
植物の光合成に必要なのは、光、水ともう1つは何 ?        ーー,塩素,酸素,守素,二酸化炭素,二酸化炭素
パトンビーチやカロンビーチなどのビーチがある、リゾート地として人気のタイの島はどこ ?,コルシカ島,プーケット島,イースター鳥,ハワイ島,プーケット島
日本銀行を除く普通の銀行のトップのことを何という?2,頭取,代表,総裁,委員長,頭取
次のうち、国旗に使っている色が赤・緑・白だけである国はどれ ?,スペイン,イタリア,フランス,ドイツ,イタリア
「ミスター』や『ジェットコースターラブ』などのヒット曲がある、韓国の女性グループは何 ?,少女時代,RAINBOW,上ara,KARA,KARA
理楽ユニット、ずっとの〇〇でいいのに。〇①〇つ〇は何 ?,真夜中,夕暮れ,放課後,夜更け,真夜中
映画『赤い糸』 や!君にラヴソングを』などでヒロインを演じた女優は誰 ?,東沢奈央,北沢奈央,西沢奈央,南沢奈央,南沢奈央
次のうち、日本に生息するツグミ科の鳥はどれ ?   -,アカハラ,マタハラ,アルハラ,セクハラ,アカハラ
シリウス、プロキオン、ベテルギウスからなる、人夜空に浮かぶ図形を何という?,夏の大三角,冬の大三角,春の大三角,秋の大三角,冬の大三角
「未確認動物」を意味する「UMAJ」の「A」は何の頭文字 ?             -,アニマル,アグノム,アーキテクチャ,エリア,アニマル
気温に関係なく体温が一定である動物を何動物という?      「,恒温動物,変温動物,同温動物,気温動物,恒温動物
ラーメンの鬼と呼ばれているのは誰?,佐野実,坂井宏行,道場六三郎,陳建一,佐野実
安至奈美吾は〇つ〇モンキーズというグループでデビューした。さて、〈)に入る言葉は何?,ハイパー,スーパー,ラッキー,ウッキー,スーパー
RPG『ドラゴンクエスト』シリーズに登場する、MPをすべて消費して相手:攻撃する呪文は何 2,メラガイアー,マダンテ,メドローア,イオグランデ,マダンテ
古代ギリシャの哲学者プラトンが、著書『クリティアス』で述べた伝説(のアコじヨコちゃ円肝。,ユートピア大陸,アトランティス大陸,エデン大陸,シャングリラ大陸,アトランティス大陸
ゴルフ用語で、18ホールを自分の年齢以下の打数で回ることを何という?,ダンクシュート,エージンシュート,パラシュート,ミドルシュート,エージンシュート
ゲーム『ヨッシーアイランド』で、ヨッシーがガが口に含むことで種を吹きだして攻撃できる果物は何?,スイカ,メロン,ブドウ,イチゴ,スイカ
陸上の400mリレーで行われるバトンムン4ちく幅|曰記       ー,4回,2回,1回,3回,3回
トッテナム、アーセナル、マンナチェスター・シティといえば、どこのサッカークラブ ?,イングランド,ドイツ,スペイン,イタリア,イングランド
俗に言う「親知らず」は、分類上、どれになる2?     -,切歯,大日歯,小日歯,犬歯,大日歯
アニメ「『星のカービィ』で、プププランドを治めているわがままな大王は誰 ?,ゲゲゲ大王,デテデテテ大王,レレレ大王,ププブ大王,デテデテテ大王
銅が炎色反応を起こしたときの色はウルみっを2ル4用7,灰色,日色,黒色,青緑色,青緑色
次のプロ野球のイベントのうち、1年で最も遅い時期に行われるものはとどれ2?,セ・バパ交流戦,シーズン開幕,オールスターゲーム,ドラフト会議,ドラフト会議
「邊の囲い場」という意味がある、野球の試合中にピッチャーが投球練省を行う場所を何という ?,スタンド,ブルペン,バックネット,マウンド,ブルペン
他国では「アダムのりんご」といわれる、人間の体の一部はどこ?,くるぶし,うなじ,言腸,喉仏,喉仏
星占いの星座の名前で「人馬宮」ともいうのは何2   ーー,乙女座,射手座,獅子座,天各座,射手座
軍事よりも政治を優先させるという基本方針のことを、日本語で「何統第」という?,和民,在民,公民,文民,文民
"男子高校生の瀬戸
生の瀬戸小吉と内海想が登場する、此元和津也の漫画は何 ?",みつどもえ,セトウツミ,ダーウィンズゲーム,スピーシーズドメイン,セトウツミ
「Airペイ」のCMで、骨董品屋や焼肉屋の店主に拐していた俳優は誰2,大森南朋,オダギリジョー,ムロツヨン,玉山鉄二,オダギリジョー
『ファイナルファンタジー』シリースで、特定のキャラを均生させて、HP:完全回復させる魔法は何 2,イレイズ,ブレイズ,メレイズ,アレイズ,アレイズ
日本の歴史上で、「桂園時代」の「桂園」が指すのは次のうちどんな人 ?,天皇になった人,上皇になった人,首相になった人,将軍になった人,首相になった人
オーストリア出身のタレントは誰 ?,ホラン千秋,ダレノガレ明和美,トリンドル玲奈,ラッシャー木村,トリンドル玲奈
ビタゴラスの定理と最も関係が深い図形は何 ?      ー,二等辺三角形,円,直角三角形,台形,直角三角形
1895年、ロンアなど3国が合同で、日本に対して、遼東征島を清に返本させた事件を何という ?,三国同盟,三国干渉,三国連合,三国協商,三国干渉
箸使いのタブーで、食事中に箸先をなめることを何という?,たたき箸,あらしい箸,ねぶり箸,なみだ箸,ねぶり箸
座席が縦に2つ並んだ、2人乗りの自転車を何という ?,カーゴバイク,タンデム,トライク,シクロクロス,タンデム
"とい
「脚気」 「壊血病」「くる病」えば、どんな栄養素の欠乏によってこる病気 ?",ミネラル,ビタミン,炭水化物,脂肪,ビタミン
央島利和祉、日宋質易、六波維殿、太政大臣から連起される、下安時代の武将は誰 ?,加藤清正,座清成,足利価氏,伊達政宗,座清成
矢沢あいの漫画『天使なんかじゃない』 は、次のうち、どんな略称で呼ばれる ?,天ない,使ない,大じゃ,使じゃ,天ない
愛知県にある2つの牛島で、東にあるのは泥美生島ですが、西にあるのは何 ?,下北生島,知多生島,本登生島,紀伊生島,知多生島
21世紀が始まったのは西暦何年 ?,1999年,2001年,2000年,2010年,2001年
ゴム製の「パック」を打ち合うスポーツは次のうちどれ?,アイスホッケー,バドミントン,セパタクロー,スカッシュ,アイスホッケー
次のうち、「手頃な価格のファッションアイテム」を指す言葉はどれ?,プチプラ,ミニプラ,チープラ,リトプラ,プチプラ
幕末に吉田松陰が主宰した「松下村良」があった藩はどこ ?    ー,薩摩藩,土佐藩,長州落,水戸藩,長州落
次のうち、すべての花びらが一枚につながっている植物はどれ2?,アサガオ,ツバキ,サクラ,バラ,アサガオ
周囲に比べて都市部の気温が上がってしまう現象を何という ?2,ホットアイランド,ヒートアイランド,ヒートランド,ホットランド,ヒートアイランド
福岡県を中心とする九州地方を運行する大手バス会和仁はどこ?  ー,北鉄バス,東鉄バス,南鉄バス,西鉄バス,西鉄バス
「ラ式蹴球」とも呼ばれるスポーツはどれ2,ラクロス,カーリング,ラグビー,ゴルフ,ラグビー
次のうち、チャイコフスキーの序曲『1812年』の演奏で楽器として用いられるものはとどれ?,手机弾,大砲,戦車,火炎瓶,大砲
RPGによく登場する次の状態異常のうち、回復させるまで一切動けなくなるものはどれ?,沈黙,石化,混乱,暗間,石化
紺野あさ美がかつて所属していたアイドルグループは何 ?,AKB48,モーニング娘。,おニャン子クラブ,Berryz工房,モーニング娘。
次の『ガラスの仮面』の登場人物のうち、男性は誰2,月影千草,姫川亜弓,北島マヤ,速水真澄,速水真澄
「CHE.R.RY』 や 『Good-bye days』などのヒット曲がある歌手は誰?,YUI,YUKI,U,YOU,YUI
加藤シルビアや安住紳一郎などのアナウンサーが所属しているテレビ局はどこ?,日本テレビ,テレビ朝日,TBS,フジテレビ,TBS
次の日本人オリンピックメダリストのうち、陸上競技の選手は誰?,至伏広治,野村忠宏,高橋大輔,在野歩夢,至伏広治
イタリアの和正都は?,ロンドン,ローマ,ミラフノ,ベネチア,ローマ
野球で、「パスボール」の記録がつけられるのはどこのポジションの選手?,キャツナチャー,ピッチャー,センター,ショート,キャツナチャー
次のうち、声優の邊野綾が声を演じGAヒデジンシルだただコトす2ル 4時,モンキー・D・ルフィ,涼宮ハルヒ,姉崎まもり,泉こなた,モンキー・D・ルフィ
漫画『北斗の挙』に登場する北斗紳挙伝承者候補の4人兄弟で、一番年下は誰 ?,トキ,ラオワウ,ケンシロウ,ジャギ,ケンシロウ
摩擦によって失われた「運動エネルギー」ほは、主にどんなエネルギーに秋換される ?,位置エネルギー,ダークエネルギー,イオン化エネルギー,熱エネルギー,熱エネルギー
くみ講 -邊生/作還際いNタイ るいセッbd か邊れれ 生還清 所いモ上NM で湯還還遇乱いつっ へ) プ  :届5,アタN。 ーー,// 。 スズスメヌース音,スコップ音,スライド音,スライド音
ウィスキーが樽の中で自然蒸発してヶ量が減ることを「〇〇の分け前」 という。〇〇は何 ?,季節,天使,大地,父母,天使
サッカー用語で、ボール支配率を増やして試合を進める戦術を「何サッカー」という ?,ポゼッション,オブセッション,インプレッション,ワンクッション,ポゼッション
次のうち、日本古来の楽問にあるのはどれ2?       _,つづみ,いずみ,つづき,つづら,つづみ
石塚真一の漫画『BLUE GIANTEXPLORER』の舞台となっている国はこと,フランス,中国,アメリカ,ブラジル,アメリカ
漫画『宇宙兄弟』の主人公である、南波兄弟の兄の名前は何 ?,導太,五太,七太,八太,導太
到の幼虫のことをボウフラといいますが、成長してさなぎになったもののことを特に何という ?,オニボウフラ,テングボワウフラ,ヤミボウフラ,オバケボウフラ,オニボウフラ
