Q,K1,K2,K3,K4,A
ボウリングで、プレーヤーに最も近い位置に置かれているピンは何番ピン ?,3番ピン,1番ピン,10番ピン,8番ピン,1番ピン
テニスの試合で、サーブを打ち返すことを何という?,タッチ,ドロー,オーバー,リターン,リターン
1辺の長さが5cmの正方形の面積は何相方cm ?                 「,15,SU,12.5,25,25
次の人間の内臓の機能のうち、「肝臓」で行われていることはどれ2?,血液中の老廃物のろ過,食べ物の財留,アルコールの分解,全身への血液の送出,アルコールの分解
涼木飛呂彦による人気漫画シリーズは『〇OO〇の奇妙な冒険』 。〇〇〇は ?,ジェジェエ,ジョジョ,ジャジヤ,ジュジュ,ジョジョ
高速道路で約50kmごとに設置される休憩施設で、略称を「SA」というのは何 ?,サービスエリア,スーパーエリア,サーバントエリア,シャッターエリア,サービスエリア
1582年の「本能寺の変」で、明智光秀の裏切りにあい自刀した戦国武将は誰 ?,豊臣秀吉,織田信長,徳川家康,伊達政款,織田信長
次のうち、北衝球にある国はどれ ?,ボリビア,ナミビア,ブルガリア,タンザニア,ブルガリア
台湾で、『蜂蜜幸運草ヨというタイトルで実写ドラマ化された漫画は回角,のだめカンタービレ,ハチミツとクローバー,NANA,化より男子,ハチミツとクローバー
"テレビ朝日の『世界の車窓から』といえば、どんな乗り物からの景色を紹21する
番組は何 ?",自動車,船,鉄道車両,飛行機,鉄道車両
九州の一部では「つ」と呼ばれる、すり傷などが治るにつれて表面にでさる固い皮は何 ?,かさうま,かさうし,かさやぎ,かさぶた,かさぶた
昭和33年に日本で最初に作られた、おなじみのインスタントラーメンは回角,ラムラーメン,ポークラーメン,ナチキンラーメン,ビーフラーメン,ナチキンラーメン
人体における血液循環を大きく2種類に分類すると、「体循環」と何 ?,肺循壇,肝備玉,朋備壇,痛特壇,肺循壇
次のうち、「桃太郎」でおなじみの岡山県名物はどれ?,おいわけだんご,さびだんご,ささだんご,みたらしだんご,さびだんご
プロ野球で、通算本塁打数が最も多い選手は誰 ?,野村克世,長嶋茂雄,門田博光,王貞治,王貞治
音楽を流してお客さんが踊るお店のことを何と言う?,ディスコ,ディンゴ,ディエゴ,ジャスコ,ディスコ
次のうち、して「レールガン」と呼ばれるアニメはどれ?,けんパファー,まよチキ !,陰からマモル !,とある科学の超電磁砲,とある科学の超電磁砲
ドラマ『鍵のない夢を見る』では主婦・良枝を演じた、フラーム了所属の女優は誰?,広末良子,広末上亮子,広末遼子,広末涼子,広末涼子
"料理に使われる「香辛料」のことを英語
語で何という2?",スパイス,スライス,スタンプ,スタンス,スパイス
パリにあるものが有名な、戦いの勝利を記念して造られた門を何という?,大手門,維生門,包|旋円,赤門,包|旋円
音楽グループ・THE ALFEEは何人組 :,5人組,3人組,4人組,6人組,3人組
愛読者が「ローデテディスト」と呼ばれた、かつて発売されていたアニメ雑誌は何?,OUT,デュアルマガジン,アニメック,ファンロード,ファンロード
テレビ番組『アウトxデラックス』で司会を務めていた2人は、マツコ・デラックスと誰 ?,潰口優,岡村隆史,矢部浩之,有野弟哉,矢部浩之
アニメ『ゲゲゲの鬼太郎』に登場する次のキャラクターのうち、女性は上:壮4,ネコ娘,目玉おやじ,ねずみ男,ゲゲゲの鬼太郎,ネコ娘
いつまでも大人になりきれない若者の心理「O〇OOシンドローム」。〇CXうに入る言葉は何 ?,ビピーターパン,不思議の国のアリス,赤毛のアン,ハリー・ポボッター,ビピーターパン
次のうち、奇数でない数はどれ ?,7,13,2,25,2
テレビ番組『夜の惹を簡介しない』てMCを担当していたのは誰 ?,マツコ・デラックス,はるな愛,優屋崎省吾,IKKO,マツコ・デラックス
"1Iに<にゴimビレんclo 中23れの すうきりリルェル8還=レヒコゴリ 作るりえたカトリゝ
リック修道会は何 ?",イエズス会,メシア会,バテレン会,ビショップ会,イエズス会
次のうち、文化やスポーツに関する事務を行う行政機関はどれ?,厚生労働省,文部科学省,国土交通省,,文部科学省
「大巨人」と呼ばれた往年のレスラー、アンドレ・ザ・〇OO〇のO〇。 〇OO〇OO〇は何 ?,サウザンド,タイラント,ジャイアント,クライアント,ジャイアント
ひよウッマク5pまっ0: 5 ZAIT/D】た2れ 2?,西鉄,東急,西武,東武,西鉄
国生さゆりのソロデビュー曲 (KC)〇つつ・キッス』。〇〇〇に入る言葉は何 ?,クリスマス,ハロウィン,バレンタイン,バースデー,バレンタイン
サッカーで、ボールを手や腕以外の部分を使い、地面に落ちないようにつなぐことを何という ?,フライング,リフティング,ホッピング,キッキング,リフティング
アルファベット2文字で「NY」と表される、アメリカの都市はどこ ?2,ニューヨーク,ラスベガス,ロサンゼルス,シカゴ,ニューヨーク
陸上で最も速く走る動物ともいわれる、アフリカのサバンナに生息するレクたる円4,チーター,モーター,セーター,ピーター,チーター
バスケットボールで、高くジャンプしてボールをゴールの真上から叩きこむシュートを何という ?,ダンクシュート,パンクシュート,ランクシュート,モンクシュート,ダンクシュート
独特なしゃがれ声で有名な、元プロレスラー「〇〇源一郎」。〇〇に入る回角,蝶野,武藤,天龍,佐々木,天龍
ゲームのジャンル「アドベンチャーゲーム」のアルファベット3文字の上略称は何 ?,SLG,STG,AVG,RPG,AVG
大和田秀樹によって漫画化された、夏目激石の小説は何 ?,伊豆の踊子,財昧の糸,人間和失格,坊っちゃん,坊っちゃん
「水金地火木土天海」とは、宇宙に関するどんなものの覚え方?,太陽系の惑星,春の大三角,月のクレーター,星のスペクトル,太陽系の惑星
次のうち、宝塚歌劇団出身の女優は誰?,志豊淳,,田村淳,村上淳,田村淳
アニメ『ゲゲゲの鬼太郎』で、鬼太郎は、普段、どんな履物を履いている ?,わらじ,ゲタ,長靴,ロンドンブーツ,ゲタ
細くて柔らかい髪質を、ある動物に例えて何という2?,馬っ毛,犬っ毛,猫っ毛,鳥っ毛,猫っ毛
アルコールランプの火を消す時はどのようにしなければいけない 2?,模か ら ふた を かぶせ る,近くの池に投げ込む,近くの酒屋に持っていく,ハンマーで叩き壊す,模か ら ふた を かぶせ る
ボクシングで、猛然と攻撃を行うことを何という2?2     _,クラッシュ,フラッシュ,マッツンシュユ,ラッシュ,ラッシュ
"い      \あ
情」などの種類が:
「生命」「感情」なる、手相でみる手のひらの筋を何という ?",線,紀,棒,緑,線
くま02モす/9和RTひ】たすず 遇2,サワガニ,ケガニ,ザリガニ,ズワイガニ,ザリガニ
ある位の数が4以下なら切り捨て、5以上なら切り上げるという端数の処理方法を何という?,四小五大,四捨五入,四不五可,四下五上,四捨五入
次のうち、食べ物に詳しい人のことを意味する言葉はどれ?,グルメ,ザラメ,クルメ,カルメ,グルメ
キャメロン監督の映画!『タイタニック』で、事故を起こしたタイタニック号はどんな乗り物?,飛行機,気球,船,電車,船
人の能力を意味することもある、お皿や茶碗などをさす言葉は何 ?,うつつ,うつぼ,うつし,うつわ,うつわ
バスケットボールで、相手のシュートを防ぐ行為を英語でご何という ?,テイーショット,ブロックショット,ミスショット,ナイスショット,ブロックショット
さきゃりーばみゅばみゅ、クレーブプ、ラフォーレ、竹下通りから連想される、東京・山手線の駅はどこ ?,新大久保,原宿,新橋,,原宿
スポーツなどの対戦で、得点差が大きく開いたゲームのことを何という?,オフサイドゲーム,シーサイドゲーム,ワンサイドゲーム,ノーサイドゲーム,ワンサイドゲーム
次のうち、パンの発酵などに利用される菌はどれ?2      「,ノース功,イースト菌,ウエスト菌,サウス画,イースト菌
アニメや漫画の世界を現実の世界で再現したもののことを、俗に何という?,3.5次元,4.5次元,1.5次元,2.5次元,2.5次元
イエズス会の宣教師であるフランシスコ・ザビエルが日本に伝えた宗教は何 ?,イスラム教,ヒンドゥー教,キリスト教,仏教,キリスト教
料理の味つけや香りづけに使われる香辛料のことを何と言う?,スパイク,スタンス,スライス,スパイス,スパイス
次の漫画家のうち、生まれたのが最も早かったのは誰 ?,清沢直樹,尾田栄一郎,鳥山明,手塚治虫,手塚治虫
映画『男はつらいよ』シリーズで、マドンナのリリーを演じた女優は上:壮4,和田アキ了,泉ビピン子,浅丘ルリ了,林家パー子,浅丘ルリ了
次のうち、 年齢が最も若いのは誰 ?,石川遼,青木功,藤田寛之,尾崎将司,石川遼
次のうち、「モチベーション」を日本語で言い換えた言葉はどれ ?,動機付け,個目付け,京気付け,位置付け,動機付け
団体や組織を支配し、思いのままに動かすことを、ある動物を使って何という2,犬耳る,独耳る,馬耳る,牛耳る,牛耳る
テニスの四大大会のうち、オーストラリアで開催される大会は何 ?,全豪オープン,ウィンブルドン,全米オープン,生仏オープン,全豪オープン
ドラマ「『相棒』で、寺脇康文、及川光博に続く3代目の相棒役を務めていたのは誰 ?,成宮寛中,水嶋ヒロ,オダギリジョー,向井理,成宮寛中
『秘密戦際ゴレンジャー』のメンバーで、カレーが大好物なのは何レンジャー?,アオレンジャー,キレンジャー,アカレンジャー,モモレンジャー,キレンジャー
アニメ『サザエさん』の次回予告で、サザエさんがやることといえば次のうちどれ ?,じゃんけん,お手玉,早口言葉,あみだくじ,じゃんけん
『アッコにおまかせ! 』や『サンデー・ジャポン』などの番組を制作・放送しているテレビ局はどこ ?,テレビ朝日,TBS,NHK,フジテレビ,TBS
次のうち、サトウキビからつくられるお湘はどれ3?,ラム,ゴム,ハム,リム,ラム
次のうち、「スローイン」というルールがあるスポーツはどれ?,バスケットボール,アイスホッケー,フェンシング,アマチュアレスリング,バスケットボール
工業地帯はどれ ?,阪利工業地帯,京浜工業地帯,中京工業地帯,北九州工業地帯,阪利工業地帯
佐野茶見の漫画『坂本ですが〇』 の〇に入るマークは何 ?,,J,?,,?
サッカーなどでいわれる「ポジショニング」。 日本語では、普通、何という ?,位置取り,間取り,揚げ足取り,相撲取り,位置取り
サッカーのPKとは「〇〇〇キック」(〇つ〇〇は ?                                  -,プレース,ペナルティー,ビピッチ,パス,ペナルティー
モロキュウ。 キュウリにつける調味9ちる 肝/,コショワウ,マヨネーズ,味噌,ナンプラー,味噌
次のうち、アサヒフードアンドヘルスケアが販売する清涼菓子はどれ ?,スパイスティア,ミンティイア,ハーブティア,バジルティア,ミンティイア
ちゃんぼん、グラバー園、出島から連想される都道府県はどこ ?,愛妨県,長崎県,山形県,岐阜県,長崎県
はたのさとしの漫画『ナニワめし暮らし』の主な舞台となっている都道府県はどこ?,奈良,大阪,京都,兵庫,大阪
イスラム教の聖典「コーラン」は、何語で書かれている 2?  「,イタリア語,ギリシャ語,アラビア語,フランス語,アラビア語
次のうち、和柔道の練習法にあるものはどれ ?     ー,使い込み,思い込み,打ち込み,座り込み,打ち込み
次のうち、昆虫の種類にあるのはどれ 2?,バック,バット,バッタ,バッハ,バッタ
お焦や鍼治療で刺激を与える、体調を整えるのに効果がある体の特定部位は何 ?,ハラ,キモ,ツ ボ,サラ,ツ ボ
石坂浩二や里見浩太郎らが主演を務めた、徳川光圏の世直しの旅を指いた時代劇は何 ?,紀伊黄門,尾張黄門,江戸黄門,水戸黄門,水戸黄門
「アッコさん」の通称で知られる、代表曲に『あの鐘を鳴らすのはあなた』がある歌手は誰 ?,和田アキ了,和田ハル子,和田ナツ子,和田フユ了,和田アキ了
次のうち、「飲み楽」を意味する言葉はどれ?2    -,内信楽,内食楽,内服薬,内飲薬,内服薬
オリコンシングルチャート歴代1位の売り上げを誇る、子門真人の代表曲といえば『およげ! 何』 ?,たまごやきくん,おやきさくん,あかしやきくん,たいやきくん,たいやきくん
タコ焼きに入ってるのはタコ。 タイ焼きに入ってるのは次のどれ ?,インコ,メンコ,キンコ,アンコ,アンコ
東京湾アクアラインが結ぶ2つの県は 、紳奈川県と何県 2,千葉県,"圭
青森県",兵庫県,沖縄県,千葉県
「のんピース」というブログを運営している元モーニング娘。のメンバーは誰 ?,後藤真希,矢口真里,辻希美,つじあやの,辻希美
代表曲に『見上げてごらん夜の星を』や『上を向いて歩こう』があるた:半4,坂本九,坂本七,坂本十,坂本八,坂本九
「ヒメ」と「ケバナ」の2種類がオ2Uあ42にコミコIGRとは何 ?,エンバット,ドルバット,ウォンバット,ゲンバット,ウォンバット
格闘技などで「KO負け」「KO勝ち」という時の「K0」とは、何という単の略 ?,ノックオン,キックオフ,ノックアウト,キックアウト,ノックアウト
浦沢直樹の漫画 『20世紀少年』」で、主人公・ケンチヂチの媒にあたる女性のと2たる円4,"ーー
ノミ
ae",カンナ,ノコギリ,ヤスリ,カンナ
次のうち、RPGの世界を題材とした石原まこちんの漫画はどれ ?,THE魔王さま,THE3名様,一杯いきますか!!,GENGO,THE魔王さま
水の化学式は何 ?,HO,H20,HO2,H202,H20
算数や数学で、図形問題を解きやすくするために、新たに描き加える線を何という ?,補正線,補償線,補助線,補欠線,補助線
ダージリンにアールグレイといえば、この飲み物は何 2,紅余,季酸菌飲料,コーヒー,オレンジジュース,紅余
エリツィン、メドベージェフ、プーチンといえば、どこの国の大統領 ?,ロンア,フフンス,アメリカ,エジプト,ロンア
"板坦恵介の漫画 『!グラップラー辺
27Tの漫画  『   ッ/
・ ププーッバ牙』。この「辺牙」とは何と読む ?",トウキ,サキ,バキ,ハンキ,バキ
ことわざの「犬猿の仲」とはどんな意味がある?  -,信頼している,仲がとても悪い,恋人同士,仲がとても良い,仲がとても悪い
「ダッキング」という防御方法があるスポーツは次のうちどれ?,フットサル,ビーチバレー,ボクシング,剣道,ボクシング
主人公が「テクマクマヤコン テクマクマヤコン」の呪文で変身するアニメはどれ?,で しぎなメルモ,魔法使いサリー,魔女っ子メグちゃん,ひみつのアッコちゃん,ひみつのアッコちゃん
楽や日用品をあつかうお店は「に)〇ストア」。〇〇〇は何 ?,トラック,トラップ,ドリップ,ドラッグ,ドラッグ
次のうち、和柔道の技にないものはどれ 2?,腰車,大車,口車,膝車,口車
了週刊少年サンデー』 連載の田島七枝の漫画作品のタイトルは次のうちとれ?,四暗刻!,字一色!|,九連宝燈!!,國士無双!!,國士無双!!
『西部警察』『あぶない刑事』などに出演した、館プロ所属の俳優は誰 ?,瓶ひろし,玉木ひろし,猫ひろし,阿部ひろし,瓶ひろし
漫画「ワンピース」で、ニニコ・ロビンの職業は?   -,考古学者,医者,剣士,航海士,考古学者
アメリカの国旗「星条旗」に描かれた50個の星が表しているものは何 ?,条文の数,州の数,民族の数,島の数,州の数
東京都にあるスポーツの名門大学「日体大」を略さずにいうと何 ?,日直体験大学,日刊体操大学,日光体力大学,日本体育大学,日本体育大学
次のうち、チームスポーツにおける「主将」 を指す英語はどれ ?,キャプテン,キャベジン,キャニナオン,キャサリン,キャプテン
「1つの板」という意味がある、薄い木材を貼り合わせた板を何という?,ビニヤ板,ブニヤ板,ベニヤ板,ボニヤ板,ベニヤ板
次の節足動物のうち、通常、最も足の数が多いのはどれ3?,ハチ,ムカデ,ダンゴムシ,クモ,ムカデ
次のうち、髪型にあるのはどれ?,アプリ,オフロ,アフロ,アクロ,アフロ
東西交易で栄えた中国から地中海沿岸までを結ぶ中央アジアの交通路を、代表的な交易品から何という ?,カシミアロード,ウールロード,コットンロード,シルクロード,シルクロード
大脳生球の右側の部分を何と呼ぶ ?,前脳,後脳,左脳,石脱,石脱
次のうち、ドラマや映画の主題歌を意味する言葉はどれ?,ヒットソング,フォークソング,テーマソング,アニメソング,テーマソング
エレベーターで屋上を表す記号は円時,P,R,0,Q,R
階段、8切り、都落ちなどの用語が使われるトランプゲームは何 ?,"大富吉
衣",ババ抜き,ぶたのしっぽ,得経衰鍛,"大富吉
衣"
ゲーム 「『ドルアーガの塔』に登場する次のアイテムのうち、取ると歩くのが早くなるのはどれ2?,チャイム,カッパーマトック,ジェットブーツ,パール,ジェットブーツ
次のうち、音楽ユニット、ボケットビスケッツのメンバーだったのは上:壮4,千原せいじ,ウド銘木,なだぎ武,はっつ しゃん。,ウド銘木
ゴルフの「エージシュート」とは、1ラウンド18ホールの打数が何を下回ること?,自分の年齢,目分の年収,当日の最高気温,前日の株価,自分の年齢
「天は人の上に人を造らず」 という冒頭の一節が有名な、和皿沢議吉の著書は何 ?,粗食のすゝめ,学問のすゝめ,退屈のすゝめ,野心のすゝめ,学問のすゝめ
次のアイドルグループのうち、メンバーが最も多いのはどれ?,ももいろクローバーZ,モーニ ング娘。  15,私立恵比寿中学,AKB48,AKB48
アニメ『キン肉マン』に登場する超人リキシマンの出身国はどこ ?2,インド,日本,アメリカ,スペイン,日本
大縄跳び。最低何人でできる ?,5人,1人,7人,3人,3人
次のうち、一般的に電気を通す性質と全pたさすり】ちたず2光4 呆2,較ゴム,婦筆の忌,原稿用紙,プラスチック製の定規,婦筆の忌
次のうち、鳥の種類にあるのはどれ 2?,コンクリ,コンソメ,コンドル,コンサル,コンドル
日本で最初に院政を行った上皇といえば何上持?         ー,光格上皇,桜町上皇,白河上旦,後水尾上旦,白河上旦
1966年ににシングル『こまっちゃうナ』でデビューした歌手は誰 ?,山本リンダ,山本モナ,山本彩,山本梓,山本リンダ
アニメ化もされたにしむらともこの漫画 『極上!!めちゃモテ〇〇つ〇』。のの]たき口。,出納帳,支店長,土事長,委員長,委員長
フライなどに添える、マヨネーズに4りこジックンーゴノムと/ の22のぜたソースを何という ?,ビクピクソース,グルグルソース,タルタダルソース,トロトロソース,タルタダルソース
「フファレノプシス」とも呼ばれる、切花や鉢植えにされる植物は何 ?,コトンボラン,コイナゴラン,コアリラン,コチョウラン,コチョウラン
次のうち、野球とは関係のない「ボール」はどれ?,フォークボール,デッドボール,ミラーボール,フォアボール,ミラーボール
あることに心を奪われて夢中になるという意味の言葉「〇〇〇をぬかす」。〇〇〇は何 ?,うつぼ,うつつ,うつぎ,うつろ,うつつ
代表曲に『ここにしか咲かない花』『蓋』などがある音楽デュオの名前は何 ?,ズダブクロ,コブクロ,アサブクロ,フクブクロ,コブクロ
次のうち、オリンピックなどのスポーツ大会で、3位までの選手に贈られるものはどれ?,ナダル,サンダル,メダル,ペダル,メダル
「ばひびぶべぼほ」は「潤音」 ですが、「ばぴぷべぺぼ」は何音?,小濁音,中濁音,生濁音,企濁音,生濁音
在安時代の下人を主人公とした、弁川龍之介の小説は何 ?,応天門,衣旋門,守礼門,生門,生門
次のうち、スイートピーの和名としKa内Yの】たす2光員?,ジャコウサイトウ,ジャコウアンドワウ,ジャコワウコンドワ,ジャコウエンドウ,ジャコウエンドウ
次のアニメのうち、さくらももこのkJEy2MにIM王くの2と<エり】たする呆2,クレヨンしんちゃん,サザエさん,ドラえもん,ちびまる子ちゃん,ちびまる子ちゃん
次のうち、アルカリ性と逆の性質なのはどれ2?,ほりゅう,さけん,ごんせい,はんたい,ごんせい
『それいけ!アンパンマン』に登場するばいきんまんの体の色は何色 ?,曰色,黄色,赤色,黒色,黒色
次のうち、ものの冷たさ・温かさを数値で表したものはどれ?,"温度
ZI お々",湿度,糖度,濃度,"温度
ZI お々"
ファッションモテルで、「梅宮」「土屋」といえば共通する名前は回角,アンメ,アンナ,アンネ,アナ,アンナ
洗剤、物干し竿と言えば、何を行うときに用いる道具 ?,りょうり,せんたく,いくじ,さいほう,せんたく
別名を「オオクリガニ」という、殻を覆う毛が特徴的なカニの仲間は回角,毛ガニ,髪ガニ,影ガニ,眉ガニ,毛ガニ
次のうち、『脳を鍛える 大人のDSトレーニング」』に代表されるゲームのジャンルはどれ2?,脳トレ,頭トレ,自トレ,目トレ,脳トレ
アニメ『ルパン三世』の登場人物で、「とっつぁん」と呼ばれているの】たの : 者4,次元大介,ルパン三世,銭形登部,石川五工門,銭形登部
次のうち、ビルや家の建築材料となるのはどれ?      「,コンクリート,コンディショナー,コンセント,コンプレックス,コンクリート
さきゃりーばみゅばみゅの1枚目のシングル曲は何 ?,つけまつける,まにきさきさゅあぬる,めいくおとす,かつらかぶる,つけまつける
次のうち、フィギュアスケートの6種類のジャンプにあるものはどれ ?,クリップ,フリップ,トリップ,スリップ,フリップ
野球用語で「グランドスラム」といえば「〇〇〇ホームラン」のこと。〇つつ〇は何 ?,ソロ,満塁,スリーラン,ツーラン,満塁
TBSのドラマ『和花より男子』で、ヒロインの牧野つくしを演じた女優は上:壮4,井上真央,石原さとみ,長澤まさみ,上戸彩,井上真央
作家の赤川次郎が生み出した、事件を推理しているかのような行動をととも1のヒスンアルアル>公当たる 時,三毛氏ポアロ,三毛鑑ルパン,三毛鑑ウルフ,三毛猫ホームズ,三毛猫ホームズ
ポークステーキ、ポークジンジャーに用いられるのは何の肉 ?,ブタ,ヒツジ,ウン,ニワトリ,ブタ
幼少期の名前をテムジンという、モンゴル帝国を建国した初代皇帝は上:壮4,チンギス・ハン,オゴタイ・ハン,フビライ・ハン,チャガタイ・ハン,チンギス・ハン
次のうち、鉄棒で、体を伸ばして大さく回転する技はどれ?,大車掌,大車両,大車庫,大車輔,大車輔
次のうち、光合成に関与する細胞小器官はどれ ?    「    「,ゴルジ体,核,葉緑体,ミトコンドリア,葉緑体
タレントの有吉弘行が、かつて和森勝和成とともに結成していたお笑いコンビは何 ?,熊岩石,犬岩石,狂岩石,猫岩石,狂岩石
次のうち、ウインドブレーカーやストッキングの素材によく用いられる合成繊維はどれ ?,セイロン,パイロン,タイロン,ナイロン,ナイロン
野球の「エラー」のことを日本語では何という?2,失敬,失忠,失格,失染,失染
双子の野ネズミの日常を描く、繧本作家・中川李枝子の代表作は何 ?,ずりとずら,ぶりとぶら,ぐりとぐら,ごこりとごこら,ぐりとぐら
映画『ボへミアン・ラプソディ』は、何というバンドのボーカルの生涯を#いた作品 ?,クイーン,ザ・ビートルズ,ザ・フー,ローリング・ストーンズ,クイーン
通常より小型のバスを指す言葉「^)〇つつ〇バス」。〇O〇〇は何 ?,マイナス,マイルド,マイクロ,マインド,マイクロ
次のうち、ポーランド出身の作曲家は誰 ?,カレーパン,ショパン,フランスパン,アンパン,ショパン
オリコンシングルチャート歴代1位の売り上げを誇る、子門真人の代表曲といえば『およげ! 何』 ?,おやさくん,あかしやきさくん,たいやきくん,たまごやきくん,たいやきくん
日本テレビのバラエティ番組『しゃ^くり〇OOO』 。 のつつO〇は何 ?,005,008,006,00/,00/
大相撲で、負け続けていた力士が初めて勝つことを、俗に「何が出た」という2,初夏,初音,初日,初犯,初日
倉科遼と井上紀良の漫画『〇王』。〇つは何? 。               -,昼,朝,夜,タ,夜
水の流れが遅い河口付近に形成される地形を、その形から何という 2?2,三角州,四角州,五角州,導角州,三角州
保護者が希望しているにもかかわらず認可保育所に入れない乳幼児のことを「何児童」という?,行列児童,予備児童,待機児童,保留児音,待機児童
フライパン「レミパン」の考案などでも知られるシャンソン歌手・料理研究家は誰 ?,レミオロメン,レミー・ボンヤスキー,在野レミ,レミ・ガイヤール,在野レミ
2014年公開のスタジオジブリの映画『〇OOO〇Oのマーニー』。O〇〇〇は回角,黄比,望郷,硬ぐり,思い出,思い出
次のうち、普通、天気が最も良い状巧はどれ?2,くもり,"記
一","NN|
十",晴れ,晴れ
キャスターの古半伊知朗が名付けたといわれる、F1レーサーのアイルトン・セナの異名は何 2,音速の貴公子,推測の貴公子,反則の貴公子,鮮血の貴公子,音速の貴公子
女王・卑弥呼が統治していたとされる、2世紀から3世紀ごろの日本に存EEH【ひと:た6円有4,対馬国,奴国,黒歯,邪馬台国,邪馬台国
次のうち、 実業家の岩崎弥太郎が創始した財閥はどれ2?,三葉財閥,三菱財閥,三古財閣,三矢財閥,三菱財閥
次のうち、フランスのモンゴルフィ工兄弟が発明した乗り物はどれ3?,熱気球,,熱地球,,熱気球
椎名チカの漫画『37.5Cの〇』。〇は円時,泌,汗,皿,"=
呈",泌
タモリ出演のテレビ番組 『ブラタモリ』を放送しているテレビ局はどこ ?,日本テレビ,NHK,フジテレビ,テレビ東京,NHK
東京都にあるスポーツの名門大学「日体大」を略さずにいうと何 ?,日刊体操大学,日直体験大学,日本体育大学,日光体力大学,日本体育大学
在安時代に真言示を開いた偶は誰 ?,ー刀,宋本,鑑真,空海,空海
次のうち、声優の花江夏樹が声を演Lとピーギルンルル だ当とす2ル 4 2,幸企創真,坦門大治郎,斉木楠雄,緑谷出久,坦門大治郎
アニメ化もされた遠藤海成の漫画『C〇OO人†ほ りっく Jo  〇〇〇は回角,まりあ,ゆりあ,しりあ,ありあ,まりあ
約田空港がある都道府県はどこ ?,北海首,東京都,大阪府,愛知県,東京都
アルカリ性の液体に赤色リトマス紙をひたすと、リトマス紙はどうなる ?,青色に変わる,何も変化しない,燃えてしまう,黄色に変わる,青色に変わる
次のうち、インターネット検索大手「ヤフー」の正しい表記はどれ3?,Yahoo!,Yyaho!,Yaaho!,Yahhoi,Yahoo!
くま02モす/9和RTひ】たすず 遇2,ケガニ,サワガニ,ザリガニ,ズワイガニ,ザリガニ
大相撲の決まり手に実際にあるのはどれ?,さば折り,たら折り,あじ折り,あゆ折り,さば折り
野球の1チーム9人のうち、捕手を務めるのは何人 ?,1人,3人,8人,6人,1人
野球のスコア表で、「B」といえば何を表す?     」,アウト,ホームラン,ストライク,ボール,ボール
次のうち、ハウス食品が発売するデザート 「フルーチェ」をつくるために必要なものはどれ?,スポーツドリンク,牛乳,みりん,料理酒,牛乳
高速道路で、一般的な普通乗用自動車の法定速度は時速何km ?,時速100km,時速1000km,時速10km,時速10000km,時速100km
柔道で、一般に、黒帯といえば、どの階級以上になるとつけることが許される ?,3段,2段,初段,4段,初段
ウパjpま27半ミレさり】三に:ゆそシッはないのはどれ 2?,ダイハツ,マツダ,トヨタ,ポルシェ,ポルシェ
次の女優のうち、宝塚出身でないのは誰 ?,"米倉涼
涼子",天海太希,真矢ミキ,黒木上,"米倉涼
涼子"
"い      \あ
情」などの種類が:
「生命」「感情」なる、手相でみる手のひらの筋を何という ?",棒,縁,be,線,線
"ギニア
、ケニア、タ>
[  ンザニアといえば、どこの大陸にある国 ?",アフリカ大陸,北アメリカ大陸,ユーランシア大陸,南アメリカ大陸,アフリカ大陸
流紋岩、安山岩、玄武震といえば、何という岩石の一種 ?,火山岩,剣山岩,雲山岩,氷山岩,火山岩
たココロレゴクた-】E間Sp)/い09!の!朝食を』」の〇〇〇は何 ?,ティファニー,エルメス,ヴェルサーチ,グッチ,ティファニー
2011年に発売されたRPG『FF』シリーズの作品『ファイナルファンタジー〇の〇J o の(人⑨]たく口宮4,零式,参式,亡式,弐式,零式
摩擦などによって手足にできる、固い水ぶくれの一種を何という ?2,いも,むぎ,こめ,まめ,まめ
品 内省大膳職司司長・秋山徳蔵をモデルにした杉森久英の小説 『天皇の〇つつ〇』。 の〇〇〇びは何 ?,料理番,件庭番,春一番,十八番,料理番
「つれづれなるままに日暮らし古に向かひて」という書き出しで始まる、吉田舞好の随筆は何 ?,徒然草,方丈記,枕草子,土佐日記,徒然草
次のコナミのゲームのうち、ブタをプッANY: まう 】とちずす2光中,けっきよく南極大冒険,プーヤン,フロッガー,月風魔伝,プーヤン
次のうち、「五重奏」 を意味する言葉はどれ?2    -,カルテット,トリオ,デュオ,クインテット,クインテット
野球のホームランの中でも、ボールが球場の外に出るホームランを特に何という3?,場外ホームラン,予想外ホームラン,論外ホームラン,意外ホームラン,場外ホームラン
次のうち、江戸時代を舞台にした漫画はどれ?  「,ワールドトリガー,磯部磯兵衛物語,卓上のアゲハ,僕のヒーローアカデミア,磯部磯兵衛物語
次の高橋留美子の漫画のうち、アニメ化されたのが最も早かった作品はとれ?,境界のRINNE,らんま1/2,うる星やつら,犬夜叉,うる星やつら
高い強度や汎用性から様々な分野で使用されている、炭素原子が網目のように結びついた柱状の物質は何 ?,ヒドロナノチューブ,ニトロナノチューブ,カーボンナノチューブ,オキシナノチューブ,カーボンナノチューブ
白居易の『長恨歌』の題材にもなった、中国・唐の玄宗皇帝の妃といえば誰 ?,謀美人,土昭君,楊貴妃,西施,楊貴妃
次のマラソンのうち、普通、距離が友和短いものはどれ2?,ハーフマフソン,ウルトラマラソン,クォータダーマラソン,フルマフソン,クォータダーマラソン
