Q,K1,K2,K3,K4,A
次のうち、第二次世界大戦以前に行われた政策はどれ ?,財閥解体,農地改革,車際の解散,成人男子による普通選挙,成人男子による普通選挙
ナイアガラの滝をアメリカ側とカナダ側に分けている島の名称は何?,アガラ島,ゴート島,ルナ島,アメリカ島,ゴート島
格闘技で、打撃技を得意とする選手を何という ?         「,ボウラー,グラップラー,バッター,ストライカー,ストライカー
ジャコバン派やジロンド派が活躍した革命は何 ?,フランス革命,清教徒時命,名誉時命,ロシア革命,フランス革命
アサイの漫画『木根さんの1人でキネマ』の第1話で題材となった映画は回角,インディ・ジョーンズ,エクソンシスト,ターミネーター3,トイ・ストーリー,ターミネーター3
"お笑い芸人 /

    ゅ  |

笑い芸人・ハリウッドザコシショ
にの出身県はどこ ?2",高知県,静岡県,熊本県,青森県,静岡県
コンピューターのメーカー  「レノボ」は、どこの国の企業 ?,アメリカ,日本,韓国,中国,中国
カリウムの火色反応が示す色は何 ?,紫,赤,緑,紅,紫
相撲の古い隠語で「石記をたく」としいえばどんな意味 2,入浴する,早起きする,お金をごまかす,須ぐ,須ぐ
目黒川うなの漫画『織田シナモン信長』に登場する「シナモン」はどんな動物 ?,ネコ,イヌ,ウン,ワマ,イヌ
次のうち、テレビ朝日のクイズ番組『くりぃいむクイズミラクル9』に存在したコーナーはどれ?,赤坂5丁目ミニマラソン,義務教育サバイバル,大声クイズ,プレッシャーSTUDY,義務教育サバイバル
5円玉などに使われる黄銅は銅と何の合金 ?2       「,スズ,亜鉛,銀,金,スズ
公衆電話で110番や119番にかけた場1の電話料金は誰が負担する ?,電話の設置場所の所有者,電話会計,電話により恩恵を受けた,国,電話の設置場所の所有者
五千円札の裏側に描かれている、尾形光丈の作品は何 ?,向日葵図,浦公英図,燕子化図,女郎花図,燕子化図
ビリヤードで1番の球の色は何?,白,"許
月",黄,赤,黄
漫画『さんかれあ』で、降谷千統が生き返らせようとした「ばーぶ」はどんな動物 ?,ウサギ,ネコ,カメ,イヌ,ネコ
のああ.るの あっ06ににゴニ2Dも早いのはどれ2?     ーー,宇宙戦艦ヤマト,一休さん,機動戦士ガンダム,銀河鉄道999,宇宙戦艦ヤマト
フィギュアスケートの国際大会で、_ショートプログラムの演技時間は男るともに最大で何秒 ?,190秒,170秒,180秒,160秒,170秒
亜寒帯湿潤気候に広がる、単調な針葉樹林帯のことを何という?,セルバ,カンポ,ジャングル,タイガ,タイガ
年導体の性能を向上させるため、少量の不純物を添加することを何という?,フライング,ドーピング,サミング,ジャミング,ドーピング
シューティングゲーム 『!『ゼビウス」に登場する、敵の組織の名前は何 ?,ガンプ,ダンプ,バンプ,ザンプ,ガンプ
ペリー来航のときの東インド艦隊の旗艦は?,ポーハタン,ミシシッピ,サラトガ,サスケハナ,サスケハナ
野球に関する訳語「打者」 「走者」「四球」などを考案した明治の文学者は誰 ?,正岡子規,森際外,二葉亭四迷,尾崎紅葉,正岡子規
「ケロロ還曹」に登場するケロロ小隊の中で、階級がもっとも高いのはのjpまっ:,ケロロ,ギロロ,クルル,タママ,クルル
人類初の月面着陸の際に着けていた唯一の時計はどのブランド?,カシオ,ブレゲ,ロレックス,オメガ,オメガ
代表作 『ラプソディー・イン・ブルー」 で知られるアメリカの作曲家は上:壮4,ガーシュウィン,ベートーベン,エルガー,ショパン,ガーシュウィン
1784年に「漢委奴国王」と書かれた金印が出土した、密岡県にある島はとどこ?,本古島,志錦島,小呂島,玄界島,志錦島
のくの jp及っ          「劇場版ドラえもんのゲストキャラで、地球で生活していないのは?,チャミー,エル,バンホー,ペコ,チャミー
元リリーガー・辻上裕章の妻である元サッカー女子日本代表選手は誰 ?,大野妨,館島彩,漂穂希,品間あや,漂穂希
単子葉類の根の特徴は?,ひげ根,主根と側根,毛根,細根,ひげ根
「ケゴ」といえば、どんな昆虫の幼申?,カマキリ,カイコ,トンボ,チョウ,カイコ
機動戦士ガサンダムで、ザビ家の人間KGもず/9 8Yの】ちやあっも        「,アストナージ,ギレン,ミネバ,ガルマ,アストナージ
漫画『キン肉マン』に登場する、岩山のような姿をした悪魔超人は誰 ?,ブラックホール,ザ・腐雲天,アトランティス,ミスター・カーメン,ザ・腐雲天
條成元年は西暦何年?,1990,1988,198/,1989,1989
「ポーランド風」 という意味があるポーランドの民族舞曲は何 ?,マヨネーズ,ポロネーズ,ボロネーズ,ホロネーズ,ポロネーズ
2005年8月、第1回東京ガールズコレクションが行われた会場はどこ ?,"上ノールルハムこの
が<合公雲星",横浜アリーナ,有明コロシアム,代々木第一体育館,代々木第一体育館
京浜工業地帯がある地方はどこ ?,近畿地方,中部地方,関東地方,東北地方,関東地方
この星を見ると長生きすると信じられたことから中国で「 長寿星」 「老人星」と呼ばれる星は何?,シリウス,アークトゥルス,プロキオン,カノープス,カノープス
かつて、死亡説が流れたビートルズのメンバーは誰?,ジョン・レノン,リンゴ・スター,ジョージ・ハリスン,ポール・マッカートニー,ポール・マッカートニー
スキージャンプで、板を開いて飛ぶ「V字飛行」を考案したヤン・ボークレブはどこの国の選手 ?,スウェーデン,フィンランド,デンマーク,ノルウェー,スウェーデン
次のうち、議員数が最も少ないのはとれ?,アメリカの連邦議会下院,日本の衆議院,アメリカの連邦議会上院,日本の参議院,アメリカの連邦議会上院
「ドラえもん」のひみつ道具で、持ち主が思っている事を代わりにしゃべってしまう人形は?,ウラオモテックス,腹話ロボット,ミチビキエンゼル,正直太郎,正直太郎
棄町幕府の第2代将軍は誰 ?,足利義座,足利義満,足利義教,足利義昭,足利義座
ハチの上巣にある、女王バチが産卵を行うための部屋を特に何という 2?,后台,王台,姫台,帝台,王台
エネルギーの取り出しが難しいことから 「エネルギーの昌場」と呼ばれるのはどんなエネルギー ?,電気エネルギー,位置エネルギー,運動エネルギー,熱エネルギー,熱エネルギー
次のうち、マリリンモンロー主演作品でないのはとどれ?,七年目の浮気,ナイアガラ,お熱いのがお好き,カサブランカ,カサブランカ
室町時代に管領の職を独占し「三管領」と呼ばれたのは、新波家、細有川家と何家?,尾張家,水戸家,昌山家,紀伊家,昌山家
1934年に開通した日本初の国際電話で、相手の国はどこだった?,韓国,中国,フィリピン,アメリカ,フィリピン
ティラノサウルスが生きていた地質時代はどれ?,ジュラ紀,三畳紀,日亜紀,ペルム紀,日亜紀
深夜番組要「プラチナイト」は、どこの系列のテレビ局の枠?,フジテレビ,日本テレビ,テレビ朝日,TBS,日本テレビ
EICMtel7ミMo】E31ロジタルルンルクレーシレた和遊牧騎馬民族の文化を何という ?,キルギス文化,ウイグル文化,スキタイ文化,マジャール文化,スキタイ文化
日本人サッカー選手で、これまでのサッカーW杯で最も多く得点を挙げKAとでココた中 : 者2,稲本潤一,中村俊博,本田圭佑,中山雅史,本田圭佑
熊本の旧国名がついた、簡易折りたたみ式ナイフを何という ?,越後守,豊後守,備後守,肥後守,越後守
シャボン玉ホリデーで毎回ザ・ピーナッツにヒジ鉄をされていたのは2?,植木等,桜井センリ,ハナ宛,谷近,ハナ宛
深見じゅんの漫画『ぼっかぼか』。主人公の田所家は何人家族?,4人,2人,3人,5人,3人
企業において、新しい設備の導入など、初期投資として必要となる費用を何という ?,イニシャルコスト,ランニングコスト,ウォーキングコスト,ファイナルコスト,イニシャルコスト
貴奈川県が定める県の木は何?,イチョワウ,ケヤキ,クス,サクラ,イチョワウ
『週刊少年ジャンプ』に連載された漫画『ワールドトリガー』 の作者は上:壮4,仲間りょう,佐伯俊,唱海英雄,革原大介,革原大介
ゲートボールであがりまで到達したときにもらえる点数は何点 2,3点,15点,5点,10点,3点
逆さまにすれば企業ロゴに見えることから、家庭用品メーカーのライオンが商標登録している口ゴはどれ ?,NO1/,NO71,710N,017N,NO1/
道路交通法によって、チャイルドシートの使用が義務付けられているのは何歳未満の子ども ?,4歳未満,5歳未満,6歳未満,7歳未満,6歳未満
ファミコンソフト、「レッキングクルー」に登場する散キャラは2?,ドリルゴン,スパナゴン,ボルトゴン,ペンチゴン,スパナゴン
主役のセリフ「兄弟が欲しいです」で始まったドラマは何?,もしも願いが叶うなら,出逢った頃の君でいて,ひとつづ屋根の下,家なきさ子,もしも願いが叶うなら
スピカ、アークトウルス、デネボラを結んでできる三角形はどれ?,夏の大三角,春の大三角,冬の大三角,秋の大三角,春の大三角
都道府県知事の被選挙権があるのは満何歳以上 ?    「,20歳,25歳,30歳,35歳,30歳
アメリカン・レモネードのベースは次のうちどれ2?,ロゼ・ワイン,赤ワイン,シャンパン,スパークリング・ワイン,赤ワイン
28枚1組のドミノセットで、1枚のドミノに摺かれている有目の合計の最大はいくつ?,6,18,12,30,12
アリゾナ州でトレーニングを行うMLIチームを総称して何リーグと呼ぶ ?,カウボーイ,カクタス,アリゲーター,グレープフルーツ,カクタス
緑茶、紅茶、人烏龍茶の原料となるのは、いずれも何という植物 ?,チャバナ,チャソウ,チャノキ,チャグサ,チャノキ
ベクトル場Aに対してrotA=0を満たすものを特に何という?,湧き出し無し場,湧き出しあり場,,渦あり場,
次のうち、国家資格が必要ではない仕事はどれ?,ボイラー技士,潜水土,祝察犬訓練士,助産師,祝察犬訓練士
力学的エネルギーとは、「位置エネルギーと連動エネルギーの〇〇中還,積,差,商,和,和
次のトランプゲームのうち一人でするゲームではないのはどれ2?,ゴップ,カーペット,クロンダイク,カルキュレーション,ゴップ
本仮屋ユイカがヒロインを演じた、NHKの朝ドラは?,てるてる家族,ファイト,ちりとてちん,純情きらり,ファイト
アメリカの5ドル紙幣に描かれている、第16代大統領は誰 ?,リンカーン,ワンシントン,ケネディ,クリントン,リンカーン
FKやPKなどのプレーで有名な元サッカー選手・チラベルトが代表として活躍した国はどこ3?,チリ,コロンビア,ペルー,パラグアイ,パラグアイ
複数のスクリーンがある映画館を「シネコン」と呼びますが、これは何という言葉の略 ?,シネマコンシャス,シネマコンテンツ,シネマコンプレックス,シネマコントローラー,シネマコンプレックス
TBSのニュース番組 TNEWS23』で星浩とともにメインキャスターを務めていたフリーアナウンサーは誰 ?,有働由美子,加有藤綾子,雨宮塔子,中村江里子,雨宮塔子
ゲーム 『ヒーローバンク』で、擦丸フクタといつも一緒にいるネズミのと2たる円4,プラチナ,シルバー,カッパー,ゴールド,プラチナ
富田動作昌のテーマソングでも有名な、1957年に放送を開始したNHKの料理番組は何?,おかずのクッキング,おしゃべりクッキング,3分クッキング,さょうの料理,さょうの料理
用まりた:E間し:だコーンンドの題材となっているのは次のうちどれ?,癌輪,ボートレース,オートレース,,ボートレース
元素記号 「Pr」で表される物質は円時,パラジウム,ポロニウム,プラセオジム,プロトアクチニウム,プラセオジム
人間の歯の大部分を占めているのは次のどれ?  「,セメント質,家臣質,カルシウム質,エナメル質,家臣質
日本にボクシングを伝えたとされる物は誰 ?,ザビエル,クラーク,ペリー,シーボルト,ペリー
アニメッ専門チャンネル「アニメシアターX」を運営する、テレビ東京系の6とたる幅肝,ATX,キッズステーション,アニマックス,ディズニーXD,ATX
次のうち、フリーダイビングやスキンダイビングに欠かせない「3点セット」の道具でないのはとどれ?,タンク,マスク,ブイン,シュノーケル,タンク
次のうち「ファイナルファンタジーXI」でサポートジョブ取得に必要のないアイテムはどれ?,ダルメルの嘩液,呪われたサレコウベ,エクソレイの粘菌,ガガンボの腹虫,エクソレイの粘菌
表彰式のBGMとしておなじみの曲、「見よ、勇者は帰る」を作曲したのは誰?,ヘンデル,ヴィヴァルディ,バッハ,パッヘルベル,ヘンデル
次の公営競技のうち、ハンデによりる選手のスタート位置を変える方式が8との】ちずり,誠般,オートレース,避輸,,オートレース
1948年に大韓民国の初代大統領となった政治家は誰 ?,李承晩,孫文,毛沢東,金日成,李承晩
『タモリ倶楽部』」のコーナー『空耳アワー』で流れる「空耳アワー」という歌を、音階で表すとどうなる ?,ソラミミ レードー,ソラミミ ドーシー,"ゾ 一
フ

フミ

ソ",ソラミミ シーラー,ソラミミ レードー
次のうちフランス王妃マリー・アントワネットの数学教師をつとめた学者は?,ラプラス,"ラボアジ
ンジ 工",ラグランジュ,オイラー,ラグランジュ
次のうち、「マンガ大賞」を受賞したのが最も早かった作品はどれ ?,海街diary,乙嫁語り,3月のライオン,かくかくしかじか,3月のライオン
フロント部分を大きく膨らまして、バレッタなとで留めたへアスタイルを何という2?,ポンパドール,リーゼント,夜会巻き,ドーリーガール,ポンパドール
ワウの】三1のゆp胡じんKにゴルロとのイロ会談に出席していないのは誰?,ルーズベルト,将介石,チャーチル,スターリン,スターリン
北は地中海、南はインド洋へと続く、アフリカ大陸とアラビア牛島との間にある細長い海は何?,紅海,日海,青海,妹海,紅海
次のうち、カニではなくヤドカリのEZVひ】たすず2光4,タラバガニ,ズワイガニ,ケガニ,ワタリガニ,タラバガニ
護呈三泊内閣と呼ばれた内閣といえは?   ーー,清浦李吾内閣,寺内正毅内閣,加藤高明内閣,東条英機内閣,加藤高明内閣
次のうち、光の性質として間違って呈すのちずすっ 6     「,真空中は伝わらない,音よりも速い,電磁波の一種である,基本的に直進する,真空中は伝わらない
濃厚せなルーがかかったカツカレーにキャベツの千切りが添えられた、石川県のご当地グルメは何 ?,加賀カレー,輪島カレー,金沢カレー,"能登カ
レー",金沢カレー
結婚6年目の記念日のことを何と呼ぶ?,米婚式,鉄婚式,白金婚式,銅婚式,鉄婚式
西洋演劇のバックコーラスに当たる、能で場面家写や人物の心理表現を担当するコーラス際を何という 2,琵琶法師,太夫,地詳,示方,地詳
サッカーJ1リーグで、試合開始時にベンチスタートの控え選手は最大で何人いる ?,1人,4人,10人,7人,7人
アメリカ生まれのタレント・REINAが、かつて所属したお笑いコンビは、セクンシー何 ?,キャンデイィ,チヨョコレート,ガム,ビスケット,チヨョコレート
トライアスロンのオリンピックディスタンスでは、バイクの距離は何km ?,30km,40km,20km,50km,40km
"東南アジアのベトナム、ラオス、カンボジア
ひたち/EH|香
国に共通する旧宗主国はとこ?",オランダ,イギリス,フラフランス,アメリカ,フラフランス
フジテレビの不定期スポーツ番組『たまッチ! 』のテーマとなっているスポボーツは何 ?,サッカー,野球,提球,テニス,野球
三角関数の「正接」を表すアルファベット3文字は何 ?,tan,COt,Sin,COS,tan
フィボナッチ数列」に名を残す数学者・フィボナッチの出身国はどご2,ドイツ,フフンス,イギリス,イタリア,イタリア
ディズニーランドの従業員のうち清掃を行うキャストを特に何という?,キャストデアル,カストルノデアル,カストーディアル,オストアンデテル,キャストデアル
その起源となったインドの地名から、もともとは「プーナ」とよばれていたスポーツは何 ?2,クリケット,バドミントン,提球,テニス,バドミントン
サッカーの一種 「ラートバル」は、とのような状態でプレーする競技 ?,目隠しをして,自転車に乗って,逆立ちして,脚のみを使って,自転車に乗って
鋼鉄婚式とは結婚何年目の記念日のことを言う?  ー,35年目,55年目,11年目,43年目,11年目
88星座の中で最も大きい、春の星座生和回記2,くじら座,いるか座,うみへび座,うお座,うみへび座
山本モナがアナウンサーをしていた大阪準キ一局のテレビ局は?,朝日放送,関西テレビ,読売テレビ,毎日放送,朝日放送
メジャーリーグで、ロサンゼルスに本拠地を置くチームはどこ?,マリナーズ,レンジャーズ,ヤンキース,ドジャース,ドジャース
長屋晴子がボーカルを務めているバン>ドは何 ?,マカロニえんびぴびつ,ヨルシカ,ずっと真夜中でいいのに,緑黄色祉会,緑黄色祉会
日本にボクシングを伝えたとされる物は誰 ?,クラーク,ザビエル,シーボルト,ペリー,ペリー
ながとしやすなりのギャグ漫画は『〇つつ〇田中太郎』。 〇〇〇は ?,いせかい人,みらい人,ちてい人,うちゅう人,うちゅう人
衆議院が解散された後の総選挙の日から30日以内に召集される国会は回角,通常国会,臨時国会,特別国会,紫愛集会,特別国会
自転車の車輪で、中央の軸から放射状に伸びて輸と接続している部分を何という3?,ハブ,タダイヤ,スポーク,リム,スポーク
1905年に締結されたポーツマス条約は何戦争の講和条約 ?,日清戦争,日露戦争,第一次世界大戦,第二次世界大戦,日清戦争
数学で、2つ以上の多項式または単項式の積の形を1つの多項式で表すことを何という?,対角化,直交化,展開,因数分解,展開
ラグビーで、トライを成功させたと合えとべきニもッ4ち6 二攻2,5点,7点,1点,3点,5点
主人公の潮田玲を鈴木杏が演じた、NHK教育で放送されたドラマは『^)〇〇の小夜子』。 〇の〇〇は ?,導番目,二番目,十三番目,十番目,導番目
次の大気圏を構成する区分のうち、最も高度が低く、人間の生活圏を取り巻いているのはどれ?,,中間圏,成層圏,対流圏,対流圏
赤穂浪士に取材した人気歌舞伎『仮名手本忠臣蔵』の舞台となるのは、江戸時代ではなく何時代 ?,邊安時代,室町時代,鎌倉時代,飛鳥時代,室町時代
漫画「つゆダク」で主人公・露崎卓郎が勤めているテレビ局の名前は?,赤坂TV,汐留TV,六本木TV,お台場TV,赤坂TV
次のうち、岡田武史が、監督として男子サッカー日本代表を本戦に導いたW杯大会はどれ ?,日韓大会,ブラジル大会,フランス大会,ドイツ大会,フランス大会
映画『パイレーツ・オブ・カリビアン」』で、ヒロインのエリザベスを演じた女優は誰 ?,エリザベス・テイラー,キーラ・ナイトレイ,ライザ・ミネリ,ペネロペ・クルス,キーラ・ナイトレイ
森鳴外の小説『舞姫』の舞台となっている国で、作者自身も留学していたのはどこ?,ドイツ,イギリス,フラフランス,アメリカ,ドイツ
アーケードゲーム !ツインビー』を発売したメーカーはどこ?2,セガ,ナムコ,コナミ,タイトー,コナミ
JR東日本と、JR北海道の境界駅はどこ?,"宇
表条",津軽今別,中小国,半田,"宇
表条"
環境ホルモンの恐ろしさを描いた、テボラ・キャドバリーの著書は 『“)〇〇化する自然』。〇〇〇は ?,晶食,少子,メス,オス,メス
ビニール傘の柄の部分にはビニール旨分の材質の略称が記されていますが、それは「APO」と何 ?,MMD,CSI,OST,EVA,EVA
「品ミオとジュリエット」でロミオの友人はマキューシオですが、ではジュリエットは誰の娘?,モンタギュー,キャピュレット,ロミオ,マキューシオ,モンタギュー
「仮面ライダー剣』で、仮面ライダーレンゲルに変身する人は?,田村一真,上城睦月,笛田龍之介,中村剛世,上城睦月
量子力学などでアルファベットのTKGとpfcみ4ルルどグリレコEE:才:放<から4たる円肝4,ヒキンク定数,プランク定数,マインク定数,タシンク定数,プランク定数
アニメ映画「新機動戦記ガンダムWEndless Waltz 特別騙」 の主題歌は何という曲?,LAST IMPRESSION,RHYTHM EMOTION,WHITE REFLECTION,JUST COMMUNICATION,LAST IMPRESSION
ウィンタースポーツ・ボブスレーには2人乗りと何人乗りがある ?,1人乗り,3人乗り,4人乗り,5人乗り,4人乗り
モモタロスなど「イマジン」と呼ばれる怪人が登場する『仮面ライダー』シリーズは何 ?,仮面ライダーW,仮面ライダー電王,仮面ライダー氏武,仮面ライダーフォーゼ,仮面ライダー電王
日本旅行がプロデュースする国内旅行ツアーのブランド名は「〇い風朋」。〇は ?,"字
月",黒,赤,日,赤
「出た出た月が丸い丸い.…」と始まる章謡のタイトルは?,つき,おつきさま,おつきみ,十五夜,つき
漫画「チーズスイートホーム」で、チーが拾われた一家の長男の名前は次のうちどれ?,リョワウヘへヘイ,ジュンペイ,ヨウヘイ,コウヘイ,ヨウヘイ
『ドラえもん』に登場する「ザ・ドラえもんズ」のメンバー、ドラリーニョの出身国はどこ ?,中国,ロンア,スペイン,ブラジル,ブラジル
堆積した当時の年代がわかる化石のことを何という2?,年代化石,自然化石,示相化石,示準化石,示準化石
次のうち、夜空に多く88星座に実在する星座はどれ?,やまいめぬ座,やまへび座,やまびこ座,やまねこ座,やまねこ座
アメフラシの卵のことを、細長く回まって糸状になっていることから何という2,うみでぞでうめん,うみラーメン,うみそば,うみうとどん,うみでぞでうめん
ポルトガル語で「博士」という意味があるコーヒーチェーンは何 ?,イノダコーヒー,スターバックスコーヒー,ドトールコーヒー,タリーズコーヒー,ドトールコーヒー
地方自治法において、ある市が「政令指定都市」に指定されるために必要な法定人口は何人以上 ?,100万人,75万人,50万人,25万人,50万人
俳優、児玉清が大学時代に専攻して上の】ちや/ Jpっを2,ドイツ文学,央米文学,日本文学,フランス文学,ドイツ文学
SNSサービス大手株式会吐ミクシィが運営している就職求人サイトの名称は何?,Find Job!,マイナビ,リクナビ,enジャパン,Find Job!
次のうち、オスカー・ハマースタイン2世とのコンビで数多くのミュージカル曲を残した作曲家は誰 ?,リチャード・ギア,リチャード・ロジャース,リチャード・バック,リチャード・マット,リチャード・ロジャース
「新約聖書』」 の「マタイ伝」に登場する有名な言葉。 「人は何のみにて生くる者にあらず」 2,恋愛,パン,お金,学問,パン
間画「ワンピース」でアイスバーグが飼っているペットの名前は?,イクチオステガ,ティラノサウルス,ブラキオレイドス,プテラノドン,ティラノサウルス
ライフセービングの競技・サーフスォーレースで、沖にある2つのブイは海岸から何m先にある ?,200m,100m,400m,300m,300m
1752年に世界で初めて動物園を開設したヨーロッパの都市はどこ ?,ウィーン,ベルリン,ロンドン,パリ,ウィーン
NMB48の楽曲『北川謙二』とは、次のうち何の名前から取られたもの 2,メンバーの父親,秋元康の同級生,映像スタッフ,抽選で選ばれたファン,映像スタッフ
シルベスター・スタローン主演「デイライト」は、どこで発生した事故を摺いていた?,海底トンネル,空港,超高居ビル,テーマパーク,海底トンネル
次のうち、一般に世界三大料理に数えられないのはどれ2?,イギリス料理,トルコ料理,中華料理,フランス料理,イギリス料理
ISA・国際サーフィン連盟の本部があるアメリカの州はどこ?,ニューメキシコ州,ハワイ州,カリフォルニア州,フロリダ州,カリフォルニア州
次の中で葛飾北斎作の浮世絵「富窓三十六景」に入らないものはどれ?,際川雪の旦,史風快晴,美濃国養老の滝,利奈川沖浪裏,美濃国養老の滝
ももいろクローバーZの玉井詩織のイメージカラーは何色 ?    「,赤,黄,紫,ビピンク,黄
"プロ野球で、冬のシーズンオフ中に行われる移籍やトレードなどの選手獲得合戦を
何という?",ヒーターリーグ,ストーブリーグ,湯たんぼリーグ,こたつリーグ,ストーブリーグ
「ぞ」「けり」などのように、俳句の中で言い切る働きをする言葉のことを何という ?,跳ね字,終り宇,切れ字,止め字,切れ字
オスが卵を自らの後ろ足に付着させて魚化させる知性を持つカエルの名前は ?,コサックガエル,サンバガエル,バレエガエル,タンゴガエル,サンバガエル
コンコルド広場はどこの国の世界遺麻?,スイス,フフンス,イギリス,ポルトガル,フフンス
後醒開天皇が建武の新政を行ったのは西暦何年のこと?   _,1333年,1555年,1444年,1222年,1333年
次のうち、暦の上で冬なのはどれ ?,晩春,早春,立春,新春,晩春
アンモニア水を加熱すると何が発生する?,アンモニア,酸素,室素,水素,アンモニア
映画『男はつらいよ』シリーズを元にしたアニメ『フーセンのドラ太郎』の主人公はどんな動物 ?,,獲,犬,振,獲
画家の「サルバドール・ダリ」が生きていたのは何世紀?,19世紀,18世紀,17世紀,20世紀,20世紀
次のうち、「歌舞伎十八番」、に数えられる作品に実在するものはどれ ?,関牧,張飛,黄忠,趙寺,関牧
者書 「白痴」や 「堕落論」で知られる新潟県出身の小説家は誰?,坂口安吾,井伏態二,太宰冶,織田作之助,坂口安吾
阪邊タイガースの永久欠番は3つ。「10番」「11番」と何番?,12,16,23,44,23
「三角雛」に、三角形の面はいくつある?      「,1つ,4つ,3つ,2Zつ,4つ
次のうち、実在する楽器はどれ!?,ガリガリ,ンションベン,サッポロ,へコヘへコ,へコヘへコ
第一次世界大戦中に、毒ガスとして使われたのはどんな種類のガス?,サリンガス,塩素ガス,フロンガス,プロパンガス,サリンガス
国木田独歩の作品でないのはどれ?,「和蟹工船」,[武蔵野」,「独歩集」,[運命」,「和蟹工船」
テニスを日本に伝えたとされるのはとこの国の人 ?,イギリス,アメリカ,ロンア,オランダ,アメリカ
次の『ガンダム』シリーズの作品のうち、劇場版が公開されたのが最も遅いものはとどとれ?,マガンダム,新機動戦記ガンダムW,機動戦士ガンダム,機動戦士<ガンダム,機動戦士<ガンダム
太陽系の惑星のうち自転周期が最も長いのは人金星ですが自転周期が最も乱いのは?,水星,火星,木星,金是,木星
オセロで、引き分けの時、白と黒の駒の枚数は共に何枚 ?,28枚,26枚,30枚,32枚,32枚
小栗旬が中退した高校は?,明大中野,早稲田実業,明星学園,慶応,明星学園
任天堂のゲーム『いっしょにチョキッと スニッパーズ』に登場するスニップの身体の色は何色 ?,赤,緑,紫,黄,赤
映画 『イージー・ライダー』で、旅に出るキャプテン・アメリカが投げ捨てる、現代生活の象位は何?,眼鏡,腕時計,財布,"保安官
安選バッジ",腕時計
アニメ『いぬかみっ! で、主人公の有川在啓太と主従の邊りを交わした犬利は誰 ?,ともはね,ようこ,たゆね,なでしこ,ようこ
アーケードゲーム『ゼビウス』を発売したメーカーはどこ2?,コナミ,タイトー,ナムコ,セガ,ナムコ
次の酸性を示す物質のうち、窒素原子を含んでいるのはどれ2?,硝酸,酢酸,硫酸,塩酸,硝酸
「ドラえもん」の登場人物でのび太のご先宜様でほらふきで有名な人は誰?,のびのすけ,のびたろう,のびろベべえ,のび伺門,のびろベべえ
章謡の『むすんでひらいて』を作曲した思想家は誰 ?    -,モンテスキュー,ジョン・ロック,ルソー,ヴォルテール,ルソー
フルマラソンで一流選手の証とされる「サブテン」といえば、何時間何分以内で完走すること ?,2時間10分,4時間10分,1時間10分,3時間10分,2時間10分
液体の温度を下げて固体にすると、体積はどうなる ?,液体によって異なる,大きくなる,小さくなる,変わらない,液体によって異なる
公式ルールによると、サッカーゴールの規格において、横の長さは縦の長さの何倍 ?,5倍,3倍,2倍,4倍,3倍
ビタミンAのおもな働きは次のうちとれ2?,脂質の代謝アップ,血を作る,粘膜や皮膚の保護,若返り効果,粘膜や皮膚の保護
映画「スピード」で、バスは時速何マイル以下になったら爆発した?,S0,60,80,70,S0
「三角大息」と呼ばれた4人の政治家のうち、総理大臣在職中に逝去し本の】た生れ,福田赴夫,大牌正芳,田中角栄,三木武夫,大牌正芳
推理小説『氷菓」をはじめとする(古典部〉 シリーズで知られる作家は誰 ?,東山彰良,東野詩吾,京極夏彦,米洋穂信,米洋穂信
次のうち、毒蛇に分類されるへヘビはとれ?,ジムグリ,アオダイショワウ,ヤマカガシ,シマヘビ,ヤマカガシ
日本に初めて印象派の絵画を紹介したとされるのは、次のうち誰 ?,林忠正,山本芳縮,黒田清輝,久米桂一郎,林忠正
「マンガ大賞2020」を受賞した漫画『ブルーピリオド』の作者は誰 ?,,高松美喘,沙村広明,山口つばさ,山口つばさ
ゴルフの大会で、予選を通過したものの通過者が多いため、二次カットで見退となった状態を指す略語は何 ?,MDF,PFC,DNS,CTI,MDF
ゲーム『レイトン教授』シリーズに登場したレイトンの協力者・レミの声を演じた女優は誰 ?,相武紗季,戸田恵梨香,上戸彩,上野樹里,相武紗季
バパバスケットボールで、ボールを持たせないために、相手に密着してディフェンスすることを何という2?,ハンドガード,フットガード,フェイスガード,ヘッドガード,フェイスガード
アニメ「ひぐらしのなく頃に」で、トラップの達人といわれるキャラクターは次のうち誰?,竜レナ,園崎詩音,北条沙都子,古手梨花,北条沙都子
ビタミンAやビタミンDのように、水に溶けにくく油に溶けやすいビタミンの総称は何 ?,可溶性ビタミン,脂溶性ビタミン,液溶性ビタミン,水溶性ビタミン,脂溶性ビタミン
化粧品売場などで香水を吹き付けて香りを試す紙のことをフランス語で何という3?,メヌエット,ムエット,デュエット,ピルエット,ムエット
物理学で、「プランク定数」を表す際に一般に使われるアルファベット>本コたる曲半4,D,V,h,f,h
ゲーム 『ドラゴンクエスト』シリーズ。 最初プレイステーション2専用で発売されたのはパート何 ?,9,8,6,7,8
映画「アイズ ワイド シャット」で俳優トム・クルーズ演じる「ビル」の職業は何?,医者,画家,弁護士,刑事,医者
明治時代に啓蒙思想団体「明六填」を創立し、初代文部大臣にも就任した政治家は誰 ?,条有礼,山懸有朋,伊藤博文,大隈重信,条有礼
次のうち、アニメ『ひだまりスケッナチ」の2期て4期のタイトルに使われKAYZN RYひ】モすずルコ明4,x365,XY,xハニカム,XOCO,XOCO
