ソルティードックなどでお馴染みのグラスの緑を塩で飾ることを何という?,ソルトスタイル,スノースタイル,パウダースタイル,アイススタイル,スノースタイル
伝統あるボートレース大会であるへンリー・レガッタが開催される有川はとどこ?,テムズ川,セーヌ月|,ライン川|,ローヌ有川,テムズ川
授氏0度は華氏何度に相当する ?,32度,22度,42度,12度,32度
セーリングで、スタートまでのカウントダウンは何分前から始まる ?,6分,3分,10分,1分,6分
目身の名を冠した幾何学で有名な、「幾何学の父」といわれる古代ギリシャの数学者は誰 ?,アボロニウス,ユークリッド,アルキメデス,ピタゴラス,ユークリッド
「サムライ」や「クロオオ」などの種類がある、5mm13mm程度の大さの昆虫は何?,アリ,バッタ,ハチ,チョウ,アリ
ジェルネイルを硬化させるためのライトを何という2,SPFライト,UVライト,ネオンライト,レザーライト,UVライト
"リボポーの一族』」などの作品で知られる漫画家・萩尾望都。「望都」は何と読
ゃむ ?",もと,ろうと,みと,ぼほうと,もと
次のうち、挿金属はどれ ?,白金,金,鉄,銀,鉄
『タッチ』の実写映画版ではそれぞれ上杉達也・和也を演じた、兄・詩太、弟・慶太の苗字は何 ?,遠藤,工藤,佐藤,斉藤,斉藤
世界ラリー選手権を戦う車のボディーには選手の名前と何が記されている?,住所,血液型,電話番号,国籍,血液型
アメリカのドラマ『スタートレック』の熱狂的なファンのことを何という ?,トレッキー,スタッキー,スターリー,レッキー,トレッキー
ニュートンとは別々で「微分積分法」を考案した、ドイツの数学者は上:壮4,関孝和,ピタゴラス,ライプニッツ,アルキメデス,ライプニッツ
次のうち、 「単原子分子」に該当するのはどれ2?   ーー,窒素,ヘリウム,酸素,水素,ヘリウム
表題作を含む17作品が収録された漫画家・高野文子初の作品集で、日本漫画家協会買を受賞したのは何 :,絶対安全日,絶対安全剃刀,絶対安全地帯,絶対安全簡,絶対安全剃刀
ヨーロッパ経済共同体を表しているのは?          ー,EEC,EC,ECSC,EFTA,EEC
村上春樹の小説『世界の終りと〇C)〇つ・ワンダーランド』の〇〇〇は回角,ミステリー,ハードボイルド,ライトノベル,"プ  W
アァンタジー",ハードボイルド
元フィギュアスケート選手の 。「キム・ヨナ」。正しい漢字表記はタカのうちどれ!,金暦納,金誉楽,金如見,金奥楼,金如見
次のうち、舞台となっている時代が最も古いゲームはどれ?,明治東京恋伽,恋花デイズ,青春はじめました!,大正鬼謙,明治東京恋伽
日常生活でも着られるような服のことを指すファッション用語は次のうちとれ?,ライフクローズ,リアルクローズ,ユージュアルクローズ,エブリデイクローズ,リアルクローズ
「仮面ライダー剣』で、仮面ライダーレンゲルに変身する人は?,田村一真,笛田能之介,中村剛也,上城陵月,上城陵月
日本の比例代表選挙で、得票数に応じて議席を各党に配分する方法のことを何式という ?,ロココ式,ドラム式,ドント式,アプト式,ドント式
谷亮子といえば元柔道選手ですが、岡本依子といえばどんな競技の元選,ボクシング,テコンドー,アマチュアレスリング,柔道,テコンドー
フランスのファッションブランドではないものはとどれ!,ジョルジオ・アルマーニ,クロエ,イヴ・サンローラン,バレンシアガ,ジョルジオ・アルマーニ
中居正広が主演を務めたドラマはとれ2?,ソムリエ,先生知らないの?,ブラザーズ,HERO,ブラザーズ
テニス用語で、トーナメント表のことを何という?,ドロー,トレース,グラム,カノン,ドロー
alEH【】E回避たすミレレ EE【の】E思避還LEIののおよそ何倍?,約20倍,約25倍,約15倍,約30倍,約25倍
DNAをつくる塩基のうち、アルファベット1文字で「G」と表されるのは回角,グアニン,グルコース,グリコーゲン,ガリウム,グアニン
次のうち、金栗四三が持つ、オリンピックの男子マラソンの最長記録はとれ?,約55日,約55年,約55か月,約55時間,約55年
ローウェル天文台、グリフィス天文台がある国はどこ3?,イタリア,オランダ,アメリカ,ドイツ,アメリカ
紳奈川県藤沢市にある「清浄光寺」はある仏教宗派の大本山ですがその04たる円,区・光  時宗,日夢款,黄倒款,,日夢款
野球ゲーム 『ファミスタ』シリーズで、ナムコスターズのメンバーである俊足で知られる選手は誰 ?,ファイガ,ピノ,パック,リッジ,ピノ
テニスで、ラケットのグリップエントのメーカーマークが正しい向きにある状態を何という ?,ロブ,ラフラフ,スムース,ブフオォオア,スムース
雲海に浮かぶ光景が美しい、熊本・阿蘇にある観光地「阿蘇つ〇つ〇の道」。〇〇〇は何 ?,かぐや姫,もののけ,山田くん,ラピュタ,ラピュタ
パリのオルセー美術館は、もともと何として利用されていた ?,発電所,大学,駅,図書館,駅
PhotoshopやAcrobatなどのソフトを開発している会和仁はどこ ?,IBM,Apple,Adobe Systems,Oracle,Adobe Systems
次のうち、「ハッピーマンデー制度」とは関係のない訪日はどれ ?2,文化の日,敬老の日,海の日,成人の日,文化の日
関税などを撤廃するために結ぶ自由質易協定のことを、アルファベット3文字で何という ?,FTA,MSF,NPT,WTO,FTA
映画「タイタニック」でタイタニック号の沈没後、生き残った乗客を助けに行った船の名前は何?,カルパチア号,ブリタニック号,オリンピック号,サントアン双号,カルパチア号
「仮面ライダーカブト』で、カブトに変身する天道総司を演じた俳優は上:壮4,瀬戸康史,編士蒼汰,水嶋ヒロ,佐藤健,水嶋ヒロ
近年話題の原付用ご当地ナンバープIrGAともザインは次のうち何を象ったもの ?,道後温泉から温泉マーク,『坊っちゃん』から子供,『坂の上の雲』から雲,名産品からミカン,『坂の上の雲』から雲
GRAPEVINEの楽曲「Glare」が収録されたアルバムは2?      」,deracine,SInq,Here,WANTS,SInq
対話集 「ソクラテスの弁明」を者した人物は誰?                  ー,プラトン,シーザー,ソクラテス,アリストテレス,プラトン
かつての料理番組『料理の鉄人』」で、紳戸勝彦といえば何の鉄人2?,イタリアンの鉄人,フレンチの鉄人,和の鉄人,中華の鉄人,イタリアンの鉄人
鈍川温泉、権現温泉、道後温泉がある都道府県はどこ?,鳥取県,"喜る
愛既県",訪井県,大分県,"喜る
愛既県"
女性声優によるアイドルユニット・記Risは何人組 ?,6人組,5人組,3人組,4人組,5人組
相撲で、勝ちと負けが1日おきに続くことを何という ?,ヌメヌケヌケ,ウカワカ,ソトソト,ノワフワ,ヌメヌケヌケ
大沢たかおが「世紀末の詩」第9話「僕の名前を当てて」で演じたのは誰という設定?,ミケランジェロ,ダヴィンチ,ガリレオ,ノストラダムス,ノストラダムス
水晶に機械的な力を加えると電気を発生する現象を何と呼ぶ?,圧電逆効果,ドップラー効果,圧電効果,,圧電効果
チェスのキャスリングで動く駒は、キングと何 ?,ナイト,ルーク,ビショップ,クイーン,ルーク
ドライバーの打球面 (フェース) の各類を大きく2つに分けると、シャローフェースと何 ?,ストレートフェース,へビーフェース,ピンフェース,ディープフェース,ディープフェース
「和恐ろしい爪」という意味の名前を持つ恐竜は何 ?,ティラノサウルス,デイノニクス,オピラプトル,ベロキラプトル,デイノニクス
次のうち、被子植物はどれ?,スギ,イチョワウ,マソ,ケヤキ,ケヤキ
空気が入らないようにして、固体の物質を加熱して分解する方法を何といつうつ?,攻煙,乾化,薫製,乾留,乾留
衣艇場で、若松競艇場といえばどこの都道府県にある ?,山口県,貴岡県,大阪府,静岡県,貴岡県
次のうち、NFLのチームにあるのはとれ?,テキーラズ,ワインズ,バーボンズ,ラムズ,ラムズ
映画「ピースメーカー」で最初に強奪された核弾頭は何発?,6発,10発,4発,8発,10発
山崎質人・橋本愛主演で映画化された、綾辻行人のミステリー小説は回角,Other,Mother,Brother,Another,Another
夜空に輝く星座でへび座のアルファ星の名前は?,アルデラミン,アルファルド,ラスアルハゲ,ウメヌメクアルハイ,ウメヌメクアルハイ
TVアニメ「あしたのジョー」で矢吹丈の声を演じたのはあおい輝彦ですが丹下段邊の声を演じたのは?,あおい輝彦,岡田真澄,仲村秀生,藤岡重慶,藤岡重慶
縄跳びで、「はやぶさ」といえば、どんな技 ?     -,あや三車跳び,あや二重跳び,交差二征跳び,交差三重跳び,あや二重跳び
三角形の「五心」のうち、3つの辺の垂直二等分線の交点と一致するものはとれ?,外心,垂心,車心,内心,外心
バイアスロンで、女子個人の滑る距離は何km ?,3km,5km,10km,15km,15km
アメリカの天文学者にちなんで名付けられた、1990年にNASAが打ち上(けた宇宙宝遠続は何 ?,ケプラー宇宙望遠鏡,ガリレオ宇宙望逮鏡,コペルニクス宇宙望遠鏡,ハップブル宇宙望遠鏡,ハップブル宇宙望遠鏡
アラート犬は何を知らせる犬?,火事,"=玉 =
雪朋",棒,てんかんなどの発作,てんかんなどの発作
女優・趣里の父である俳優は誰 ?,中村雅俊,岩城間一,水谷豊,卓刈正雄,水谷豊
沖縄で「ゴーヤー」と呼ばれる植物はニガウリですが「ナーベラー」と呼ばれる植物は?,モヤシ,ヨモギ,ニガウリ,ヘチマ,ヘチマ
ギャザーで横に何段も切り替えたスカートのことを何という?,サテンスカート,フリルスカート,フラウンススカート,ティアードスカート,ティアードスカート
トランプの「Q」のカードに描かれている人物が、手に持っているものは次のうちとどれ?,剣,グラス,手鏡,化,化
次のうち、リンゴの品種にあるのはとれ?,エプソン,マッキントッシュ,ウィンドウズ,オーピック,マッキントッシュ
RPG_!MOTHER』」 のキャラクターデャインを担当したイラストレーターは上:壮4,みつうらじゅん,安斎筆,南伸坊,天野宮孝,南伸坊
元プリンセスプリンセスのギタリスト・中山加奈子の敬愛するギタリストは?,オジー・オズボーン,キース・リチャーズ,サンタナ,ジョン・コッカー,キース・リチャーズ
「包と香辛料」に登場する狼の耳と尻尾を持った少女の名前は?,ホロ,ノーフ,フェルミ,クロエ,ホロ
"主人公が砂丘の穴の底の民家に閉じ込められ、脱出を試みる姿を描いた    rテメー
にザパ
公房の小説は何 ?",砂の次,砂の家,砂の女,砂の城,砂の女
「金人色のコルダ」の登場人物日野香穂子が担当している楽器は?,ビピアノ,クラリネット,チェロ,バイオリン,バイオリン
葉酸は別名何という?,ビタミンA,ブタミン,ビタミンM,ビタミンD,ビタミンM
リラジオ[キイひただヨゴ[::kcAアルレくさひにいものはどれ?,ヘラクレス,アテナ,エロス,アボロン,エロス
映画「ブギーナイツ」で主人公が活躍する世界はどれ?,カルト教団,ポルノ業界,ダンスユニット,太走族,ポルノ業界
Jリーグの横浜F・マリノスのホームをンタあのとっ2た円時4,日産スタジアム,長居スタジアム,味の素スタジアム,豊田スタジアム,日産スタジアム
おひとりさまの生活を満蝶する少_女・森川あめりを主人公とする、佐人才2ルのた:JEた円4,ケダモノ彼氏,圏外プリンセス,アナグラアメリ,あざらし人七変化,アナグラアメリ
牧畜犬は次のうちどれ?,ビーグル,柴犬,コリー,ドーベルマン,コリー
高崎山のサルの自然動物園、豊後国分寺などの観光地を持つ都市は?,小山市,足利市,大分市,佐野市,大分市
テレビの「記聴率三冠」とは、「ゴールデン」「プライム」と、何という時間帯で1位になること ?,全日,早朝,深夜,夕方,全日
次のうち、合金はどれ ?,鋼,鉄,鉛,アルミニウム,鋼
シンガーソングライター「スガシカオ」の楽曲「19才」の歌詞に登場するチョウは何?,クロアゲハチョウ,アオアゲハチョウ,シロアゲハチョウ,アカアゲハチョウ,クロアゲハチョウ
塚本高史のファーストアルバムのタイトルは?,自由人非放,自遊春放,目勇大放,目結放放,自遊春放
ゲーム「サラダの国のトマト姫」でトマト姫を救うため立ち上がった戦士の名前は?,パセリ戦士,キュウリ戦士,ビーマン戦士,タマネギ戦士,キュウリ戦士
元プリンセスプリンセスのギタリスト・中山加奈子の敬愛するギタリストは?,サンタナ,オジー・オズボーン,ジョン・コッカー,キース・リチャーズ,キース・リチャーズ
次のうち、京都の下鴨紳往が発冬地とされている和菓子はどれ ?,どら焼き,水ようかん,みたらし団子,わらび剛,みたらし団子
清少納言の随筆 『枕草子」の冒頭で、冬の良き時間帯として登場する、 「早朝」を意味する言葉は何 ?,たそがれ,あけばぼの,つとめて,かわたれ,つとめて
和名を「孔雀石』という、濃い緑色をした鉱石は何 ?,ガーネット,ラピスラズリ,マラカイト,ペリドット,マラカイト
アニメ 『美少女戦士セーラームーン』で、セーラーマーキュリーに変身するのは誰 ?,木野まこと,月野うさぎ,火野レイ,水野亜美,水野亜美
中部国際空港のキャラクターをデザインしたのは2?,サンリオ,アランジアロンゾ,佐藤雅彦,奇藤文人,アランジアロンゾ
米国のバスケット五輪代表が初めてドリームチームと呼ばれたのは何大会?,シドニー,バルセロナ,アテネ,ロサンゼルス,バルセロナ
世界初の映画祭は?,ベルリン国際映画祭,モスクワ国際映画祭,"ベネ
ネチア国際映画祭",カンヌ国際映画祭,"ベネ
ネチア国際映画祭"
トラのオスとライオンのメスの交配による混血種を何という?,タイゴン,ライガー,タイオン,トライオン,タイゴン
漫画『ドカベン』で、山田太郎らが通う高校の名前は何高校 ?,土佐丸高校,白新高校,弁慶高校,明訓高校,明訓高校
空気中に放置した水が次第に益酸性になるのは、水に何が溶けるため ?,酸素,二酸化炭素,アルゴン,守素,二酸化炭素
ウパひちまっあッニニあのジたゴ映画「スパルタンX」の監督は?,チャン・イーモウ,エドワード・ヤン,ホウ・シャオシェン,サモ・ハン・キンポー,サモ・ハン・キンポー
十二支と12星座の両方に登場する動物は何と何?   「,ヤギと魚,カニと獅子,乙女とさそり,羊と牛,羊と牛
次のうち、ゴルフで、一般に4番て6番アイアンを指す言葉はどれ2?,ロングアイアン,アタックアイアン,ショートアイアン,ミドルアイアン,ミドルアイアン
大相撲の最多連勝記録69を持つ力土は誰 ?,朝青能,千代の富士,双葉山,大腸,朝青能
次のうち、ドーバー海峡に臨むフランスの都市はどれ ?,カレー,スパゲッティ,ビピラフ,ハンバーグ,カレー
「アンリミテッド:サガ」で、キャラクターデザインを担当したのは誰?,"さき プアへ ーー
渋谷員子",石井浩一,直良有生,天野宮孝,直良有生
イギリスの食器ブランド 「ウェッジウッド」の創業者の孫にあたる有名な学者は誰 ?,アインシュタイン,レントゲン,ファーブル,ダーウィン,アインシュタイン
電卓のボタンの数字配列で、普通、1番左上にある数字は何 ?,7,3,9,S,7
取も足が速いといわれている犬種はとれ2?,マルチーズ,セント・バーナード,グレーハウンド,ロットワイラー,グレーハウンド
野球で、3点を取るには、ヒットは最低何本打たなくてはいけない 2?,0本,6本,4本,2本,0本
1968年に新しい省庁の文化店が設置された際佐藤栄作首相に請われて初代長官に就任した作家は?,三浦朱門,今日出海,"へ、呈
ラ昌ゾ一",今東光,今日出海
池波正太郎の時代小説「剣客商売」の主人公は?  「,雲仁左衛門,藤枝梅安,秋山小兵衛,長谷川邊蔵,秋山小兵衛
代表作に、「アラビアのロレンス」「戦場にかける橋」などがある映画監督は誰?,キャロル・リード,デヴィッド・リーン,"エリア
ア・カザン",マイク・ニコルズ,デヴィッド・リーン
川相昌弘が持っている世界記録は、何の数に関するプロ通算記録 ?,ホームラン,バント,盗連,ヒット,バント
「アボガドロロ定数」に名を残す科学者・アボガドロの出身国はどこ ?,フフランス,イギリス,イタリア,ドイツ,イタリア
「たてる・かける・ひく・おろす」といえはば、次のうちどんな計算で行う筆算の順番?,割り算,引き人算,足し算,掛け算,割り算
元ラグビー選手、五郎丸歩の現役時代のポジションはどこ ?,フルバック,ナンバーエイト,フッカー,ロック,フルバック
アニメ 『機動戦士ガンダム』に登場する宇宙戦艦・ホワイトベースの通称は何 ?,駄 馬,日 馬,牝馬,木 馬,木 馬
吉田秋生の漫画『BANANA FISH」』。「BANANA FISH」とは何の名前 ?,タバコ,廊楽,お酒,犯罪組織,廊楽
次のうち、最もカテゴリーの広いものはどれ2?,自然数,複素数,有理数,実数,複素数
就職活動で、企業から送られてくる不控用通知のメールのことを俗に何という2,お払いメール,お御りメール,お頼みメール,お願いメール,お御りメール
。 TLifetime Respect -O〇〇 - 』は、三木道三のヒット曲へのRSPのアンサーソング。〇〇〇は ?,嫁編,妻編,娘編,女編,女編
全部で14座ある8000m級の高峰のうち、人類が初めて登頂に成功した、世界10位の標高を誇る山は何 ?,アンナブプルナ,K2,ローツェ,マナスル,アンナブプルナ
産業における「生産の三要素」ではCAE3Y】たンク pまっサル 6ル全記,労働,土地,資本,時間,時間
蛇原友里がドラマ『ブスの瞳に恋してる』で演じた、芸名と1文字違いの役名は次のうちどれ2?,蛇原友衣,蛇原友美,蛇原友梨,,蛇原友美
漫画『ベルサイユのばら』の次の登場人物のうち、男性は誰 ?,ロザリー,ハンスズ,マリー・アントワネット,オスカル,ハンスズ
「日本国と大韓民国との間の基本関係に関する条約(通称・日韓基本条1たたくにゴ,1971年,1970年,1965年,1960年,1965年
映画「Apocalypse Now」。邦題は?,死亡遊戯,未来は今,バス男,地獄の詩示録,地獄の詩示録
のび太とドラえもんが恐童ハンターになった時、恐竜を捕まえるために使った道具は何?,桃太郎町のきびだんご,タイムとりもち,細胞縮小機,大和のかんづめ,細胞縮小機
スチールウールを加熱すると何という物質ができる?     ー,酸化鉄,酸化負,酸化鈴,酸化ウール,酸化鉄
"編島県の編島駅と山形県の新庄駅を小口
まい                す1 |
アノ ヽ
』
り  の
線
スズ
【
ロ",秋田新幹線,岩手新幹線,山形新幹線,東北新幹線,山形新幹線
プロサッカーチームで選手のユニフォームや用具の世話をする係を何という?,ポリペーロ,ポラペーロ,ポルペーロ,ホペイロ,ホペイロ
プロ野球の試合で、コールドを除さ、先発投手が勝ち星を挙げるのに必要な最低投球回数はいくつ?,7回,6回,4回,5回,5回
水素原子4つが核融合反応することで出来る元素は何 ?,ネオン,リチウム,ヘリウム,ベリリウム,ヘリウム
フランス語で「数」という意味がある、本のページ数を示す数字は何 ?,ノンブル,ナンブル,グランブル,テリブル,ノンブル
人気のブランド !フォリフォリ」が誕生した国はどこ?,スペイン,フフンス,イタリア,ギリシャ,ギリシャ
バラエティ番組『水曜どうでしょう』の第1回目の企画は、誰へのインタビューだった?,アン・ルイス,テレサ・テン,アンジェラ・アキ,ジョン・カビラ,アン・ルイス
現時点で、韓国人として唯一のノーベル賞受賞者である政治家は誰 ?,李明博,慮武色,潜基文,金大中,金大中
「キンボール」というスポーツが生まれた国はどこ ?,カナダ,ブラジル,イギリス,フフンス,カナダ
結婚式や お邊い事で し ばし ば登場する、アーモンドを砂糖コーティングしたお県子の名前は?,ブランマンジェ,ドラジェ,ンョコラフティエエ,ティタンジェ,ドラジェ
編山雅治の楽曲で「桜坂」の次に売れたシングルは2?   -,HELLO,Heaven,GANG支,はつ恋,HELLO
アニメ『ぺとぺとさん』の主人公・べぺと子の本名は何?,藤村音子,藤村鳩子,藤村糸子,藤村聡子,藤村鳩子
ラグビーで、「フルバック」の選手がつける背番号は何番2  「,2番,15番,8番,10番,15番
出世する野心を抱いた青年ジュリアン・ソレルを主人公とするスタンダールの小説は何 ?,育と黒,黄と黒,赤と黒,日と黒,赤と黒
"新美南吉の童話
草話 『ごんぎつね』
GRキツネのごんを射殺してしまう猟師の名前は何 ?","兵六
\",兵八,兵三,兵十,兵十
将棋の駒に頂点はいくつある ?,9,8,10,11,9
相根駅伝の最優秀選手賞に名を残す、日本における「マラソンの父」とされる人物は誰 ?,金栗五三,金栗四三,金村ニニ,金宋一,金栗五三
シンガーソングライター 「aiko」のシングルの中で初めてオリコン週間チャート1位を獲得したのは何?,戻れない明日,三国駅,milk/嘆きのキス,ボーイフレンド,戻れない明日
次のうち、国内のサッカー1部リージシメのとイッの電アアにあ4リにコン 且rdた(ないのはとれ?,イングランド,ポボポルトガル,ロンア,スコットランド,ポボポルトガル
次のうち、プロ野球・中日に所属すとその はち:拓/,ロペス,バンデンハーク,ビシエド,デスパイネ,ビシエド
次のうち、贅快感のあるドリフトが楽しめるバンダイナムコの人気レースゲームシリーズはどれ?,リッジレーサー,グランツーリスモ,フォルツアァ,スリルドライブ,リッジレーサー
1946年のフランス映画 『美女と野獣』の監督は誰 ?,グラニュートー,カクザトー,サンオントー,コクトー,コクトー
南米大陸にある国で、唯一ポルトガル語を公用語とする国はどこ ?2,アルゼンチン,ペルー,チリ,ブラジル,ブラジル
漫画「ドラえもん」で22世紀に戻ったはずのドラえもんが帰ってきたのはコミックス何巻?,6巻,8巻,5巻,7巻,7巻
「ヘロンの公式」といえば、どんな図形の面積を求める際に用いられる公式 ?,円,三角形,五角形,四角形,円
別名を「仏壇返し」という大相撲の3のだゴムクap】たと,合掌ひねり,とったり,二丁投げ,呼び戻し,呼び戻し
次のうち、ビピーバーの別名はどれ ?,ウミイタチ,ウミダヌキ,ウミカワウソ,ウミギツネ,ウミイタチ
"お笑い芸人 /

    ゅ  |

笑い芸人・ハリウッドザコシショ
にの出身県はどこ ?2",静岡県,熊本県,"圭
表森県",高知県,静岡県
次のうち、実際にある星座はどれ?,アリ座,ハチ座,ハエ座,ガ座,ハエ座
タジキスタンを中心に中央アジア5ヶケ国にまたがり、「所界の屋根」と呼ばれる高原はどこ ?,デカン高原,ゴラン高原,イラン高原,パミール高原,パミール高原
日本における曹洞宗の開胡とされる、鎌倉時代の介は誰 2,法然,宋本,親牧,道元,道元
「野性的」という意味がある、毛先に細かいパーマをかけてウェーブをつけた背型は何 ?,アフロ,"ジュ
バー
ゾ/",ワンレン,モヒカン,アフロ
次のうち、アメリカに本拠を置く、世界最大級の一般消費財メーカーはとれ?,H&M,P&G,Q&A,S&B,P&G
ネズミのキャラクター「トッポ・ジージョ」ほはどこの国で生まれた2?,フフランス,イギリス,ドイツ,イタリア,フフランス
「『歌に生き、愛に生き』や『星はきらめき』などのアリアが有名なプッチーニのオペラは何 ?,ムスカ,トスカ,ナスカ,キスカ,ムスカ
赤西仁のチャームボイントのホクロは本人から見てどこ?,石目の下,左目の横,左目の下,石目の横,石目の横
ツール・ド・フランスで選手に与えられる「マイヨ・ジョーヌ」とは次のうちどんなもの?,スカーフ,トロフィー,指輪,ジャージ,ジャージ
イナゴ豆が名前の由来となった重さの単位は何2,トン,カラット,ポンド,オンス,カラット
景勝地として知られる抱返り渓谷や/安峡がある都道府県はどこ ?   「,山口県,奈良県,富山県,秋田県,秋田県
次のうち、距離が一番長いのは ?,1ヤード,1尺,1インチ,1メートル,1メートル
オリンピックのモットーにない言葉は次のうちどれ3?,より美しく,より強く,より高く,より速く,より美しく
漫画 !動物のお医者さん』の作者・佐々木倫子の「倫子」は何と読む ?,ともこ,のりこ,りんこ,あつこ,のりこ
魚の一種である「キュウリウオ」の名前の由来は、何がキュウリに似ている?,色,味,形,匂い,匂い
断層の中でも、上の地盤がずり落ちることによってできた断層を特に何という2,正断層,反断層,逆断居,順断層,正断層
ヨットの選手たちが悪天候のときにカぶる、後ろのつばが広くなった防水の帽子を何という?,イスラー,サウウエスター,レーサー,トラッパー,サウウエスター
北海道の宗谷岬と同じ緯度の都市は次のどの都市?,パリ,ミラフノ,ロンドン,モスクワ,ミラフノ
「仮面ライダーゼロワン』で仮面ライダーゼロワンに変身する主人公・飛中5】測をヨたる円,医者,往長,刑事,科学者,往長
音響機器の「アンプ」は、何という言葉の略 ?    」,アンプリウォーター,アンプリブリザード,アンプリサンダー,アンプリファイアー,アンプリファイアー
8度も賞金女王になったゴルファー、アニカ・ソレンスタムの出身国はどご2,ポボポルトガル,ギリシャ,ウクライナ,スウェーデン,スウェーデン
漫画「鉄共チンミ」で、チンミが修行する寺の名前は?,小林寺,中林寺,大林寺,少林寺,大林寺
TVシリーズ「スタートレック」が日本で最初に放映されたときの題名は次のうちどれ?,宇宙大作戦,宇宙大航海,宇宙大戦争,宇宙大艦隊,宇宙大作戦
「美人過ぎる」などと話題の加藤優といえば、どんな競技で活躍した元プロ選手?,陸上,テニス,野球,フィギュアスケート,野球
長靴をはいた猫とほぼ同じ内容で、イタリアで伝わっている物語はどの生き物が主人公?,鹿,叙,兎,人間,叙
フジテレビ系列の「ノイタミナ枠」といえば何を放送している ?,音楽番組,海外映画,アニメ,スポーツ,アニメ
アコースティック・ギターデュオ、MeeteteacEli:lEI認中41た次のうちどこ!?,ブラジル,アルゼンチン,メキシコ,スペイン,メキシコ
次のうち、温度変化によって水に溶ける最大量がほとんどと変化しない物買はどれ?,硝酸カリウム,塩化カリウム,塩化ナトリウム,硫酸銅,塩化ナトリウム
トマトを投げあう祭り「トマティーナ」が行われるヨーロッパの国はどこ?,ポボポルトガル,イタリア,スペイン,フフンス,スペイン
日本に生息する動物「O〇つ〇リス」「〇〇〇タヌキ」「〇〇〇キツネ」の〇つつのに共通する言葉は何 ?,フタコブ,ホンド,カニクイ,メガネ,ホンド
漫画「逮捕しちゃうぞ」で辻本夏実と小早川美幸が勤務する警察署はどこ?,葛飾閉,器東者,湾岸署,犬鳴署,器東者
エヴァンゲリオンTV版、第壱話時点での葛城ミサトの所属はどこ?,技術開発部技術一課,戦術作戦部作戦局第一課,特殊監察部,アクロス広報部長,戦術作戦部作戦局第一課
編岡県の土産として有名な菓子「銘菓ひよ子」は何市で生まれた2?,直方市,田川市,飯塚市,編岡市,飯塚市
次のうち、秋の七草に含まれないものはどれ2?,ハギ,ナデシコ,クズ,スズシロ,スズシロ
山本モナがアナウンサーをしていた大阪準キ一局のテレビ局は?,関西テレビ,毎日放送,読売テレビ,朝日放送,朝日放送
第1次政権はシーメンス事件、第2次政権は虎ノ門事件によって辞職した元内閣総理大臣は誰 ?,山本周五郎,山本勘助,山本権兵衛,山本五十六,山本権兵衛
次の大阪市営地下鉄の路線のうち、一番駅数が多いのはどれ?,御堂筋線,堺筋線,谷町線,長堀鶴見緑地線,谷町線
京都の三十三間堂で、中に安置されている千手観音立像は何体 ?,1001体,100001体,101体,10001体,1001体
760年に発行された、日本初の金貨は何2,万年通宝,太下元宝,和同開丈,開基勝宝,万年通宝
陸上のクラウチングスタートの時に選手が足を掛けるる器具を「スターティング何」 という?,グリップ,ステップ,スティック,ブロック,グリップ
「れなっち」の愛称で呼ばれる元AKB48のメンバーは誰 ?,大原玲奈,長田玲奈,加藤玲奈,山口玲奈,加藤玲奈
水が水素と酸素になるように、1種類の化合物が2種類以上の物質になる化学変化を何という3?,吸着,接続,分解,結合,分解
コンピュータウイルスの一種 「ランャ+ムウィルス」の「ランサム」とは何のこと?,冷世庫,伝染病,袋小路,身代金,身代金
束暦は数え年で何茂にあたる?,60歳,58歳,59歳,61歳,61歳
Jリーグで、大阪市と堺市をホームタウンにしているクラブはどこ2?,ガンバ,セレッソ,ヴィッセル,サンガ,セレッソ
RPG『ドラゴンクエストXI』で、主人公の最初の仲間となる盗賊の青年の前は何 ?,シルビア,ロワ,グレイグ,カミュ,カミュ
漫画「グラップラー婦牙」 「バキ」の主人公・範馬刀括のモデルとなった格闘家は誰?,黒澤浩樹,堀辺正史,角田信朗,在直行,在直行
次のうち、常温常圧で気体でない元素はどれ2?,塩素,フッ素,ホウ素,守素,ホウ素
登山で、岩の裂け目などに打ち込む釘のことを、ドイツ語で何という ?,ポータレッジ,ハーケン,ピッケル,カラビナ,ハーケン
「日本国と大韓民国との間の基本関係に関する条約(通称・日韓基本条1たたくにゴ,1970年,1965年,1960年,1971年,1965年
シルベスター・スタローン主演「デイライト」は、どこで発生した事故を摺いていた?,テーマパーク,超高層ビル,海底トンネル,空港,海底トンネル
次のうち、酸性やアルカリ性の検出に用いる「pH指示楽」ではないものはとどれ?,BTB溶液,メチルオレンジ,塩化コバルト紙,リトマス紙,塩化コバルト紙
無住が著した在易な文体・内容による仏教説話集は何?          ー,沙石集,新古今和歌集,十六夜日記,在家物語,沙石集
アメリカンフットボールで、攻撃側が稚得した距離の合計を何という 2?,スタック,ドロップ,ゲイン,キャリー,ゲイン
世界で初めてノーベル賞を2度受賞した人物は誰?,レントゲン,アインシュタイン,チャーチル,キュリー夫人,キュリー夫人
"サッカーの年間最優秀選手を表彰する「バロンドール」は、フランス語で           で
と       ナぃ
ん  に ノヽ 味 2",黄金のコート,黄金の足,黄金のシューズ,黄金のボール,黄金のボール
北海道の面積は、東京都の約何倍?,約3倍,約38倍,約3 80倍,約8倍,約38倍
のの2スのただゴリルz』ちる申2,硝酸,炭酸,硫酸,塩酸,塩酸
