Q,K1,K2,K3,K4,A
次のうち、一般に「昭和の三大台時 ッ名2と 6MZNM人TO】ちとちず2光2,伊勢湾台風,枕崎台風,至戸台風,カトリーナ,カトリーナ
「春の七草」に含まれる植物はどれ ?      」,アリ,トリ,マリ,セリ,セリ
「亀ト (きぼく) 」や「太占 (ふとまに) 」といえば、古代日本で行われたどんな風浪 ?,耕作,葬式,占い,狩猟,占い
アメリカのテレビドラマ『アルフ』 。主人公アルフの吹き替えを担当したタレントは誰 ?,明石家さんま,タモリ,ビートたけし,所ジョージ,所ジョージ
讃岐うどんのお店を案内する「うどんタクシー」といえば、何県の交通サービス ?,愛妨県,徳島県,高知県,香川県,香川県
「ごめんね、ごめんねぐて」のフレーズでおなじみのU字工事。2人の出身都道府県はどこ ?,"宇
表条県",山形県,栃木県,,栃木県
次のうち、サッカーとボクシングに共通する用語はどれ ?,レジスター,テーブル,ワゴン,カウンター,カウンター
野球で、両チームの選手が投げたり打ったりするものは何 ?,パック,ストーン,ボール,スパイク,ボール
次のうち、サッカー漫画は!,タイガーマスク,名探偵コナン,俺たちのフィールド,タッチ,俺たちのフィールド
ゲーム 「ドラゴンクエスト」シリーズ第1作の最後の病は?,カオス,竜王,ハーゴン,目らの欲,竜王
化学式「CH3CH (OH) COOH」で表れる、たまると疲労の原因になるという物質は何 ?,葉酸,乳酸,アスコルビン酸,リノール酸,乳酸
登山を趣味とする会視員・日々野鮎美を描いた、信濃川日出雄の漫画は回角,働かな いふた り,山と食欲と私,宇宙戦艦テニィラミス,妖怪の飼育員さん,山と食欲と私
西暦2000年における日本の元号は円時,在成,大正,昭和,明治,在成
昭和アニメ、ハクション大魔王。魔土の娘は?,アクビちゃん,さんぼちゃん,ねむいちゃん,おはようちゃん,アクビちゃん
チルチルとミチルの兄妹を主人公とした、メーテルリンクの小説は何 ?,黒い鳥,赤い鳥,白い鳥,育い島,育い島
次のうち、本拠地がドーム球場であるプロ野球チームはどこ2?,広島,中日,阪旭,ヤクルト,中日
腕前を広く知らしめるのにふさわしい、晴れの舞台を何という?,さくら舞台,いちょう舞台,ひのき舞台,すぎ舞台,ひのき舞台
ドレスなどにつける和花の飾りは何 ?,オマージュ,ポボポタージュ,コラージュ,コサージュ,コサージュ
「生きろ。」といえば、スタジオジブリの何という映画作品のキャッチコピー ?,魔女の宅節便,もののけ姫,紅の豚,千と千尋の紳隠し,もののけ姫
ミュージカル『ウエストサイドストーリー』で、ジェット団と対立する不良グループは何 ?,薔薇十字団,シャーク団,血盟団,テンプル騎士団,シャーク団
ストレスや飲みすぎなどによって、表の表面が傷ついてしまう症状を何という2,いんどよう,いろもよう,いかいよう,いさようよう,いかいよう
ゴルフで、プレイヤーに同件 して用具を運んだり、アドバイスしたりする人を何という ?,チャンプ,キャディ,"=  ゃ%
ee】    me
ミーコ",ネッシー,キャディ
サッカーで「レフティ」といえは、どんな選手のこと2,国の代表を引退した,利き足が左,移籍が多い,ドリブルが速い,利き足が左
女優の「ゆう子」と「温子」に共通する名字は何?       ー,大野,遠野,小野,浅野,浅野
数字で、「無限大」を表す記号は円時,90,の,8,CO,CO
"新美南吉の昔話
草話 『ごんぎつね』
っね』に登場する「ごん」はどんな動物 ?",タヌキ,キツネ,ウサギ,ネズミ,キツネ
古典文学『竹取物語』で、竹の中からかぐや姫を見つけたのは誰 ?,竹取の男,竹取の女,竹取の湊,竹取の欧,竹取の欧
マリリン・マンソンが率いるアメリ力のバンドは何 ?,マリリン・マンソン,マゾソソゾソソ・マゾソソソン,マソソソ・ママンソン,マリリン・マソソソ,マリリン・マンソン
夜間に、灯りで虫を引きつけて駆除する装置を何という 2,殺申剤,読峨灯,ゴキジェット,下取り線香,読峨灯
食べ物を体に吸収できるよう分解する働きのことを何という?,消化,代謝,酸化,文化,消化
"カヌーを溝ぐときに使う「権」のことを身語
語で何という 2?2  「",パドル,ボイル,スターン,クリーク,パドル
"アニメ『地獄少女』の主人公、間魔あいが普      1
段着ている服はどれ?",ジャーンジン,セーラー服,体操服,ボディコン,セーラー服
ゴルフクラブで、「アイアン」といえば、その頭部はどんな素材でできている ?,金属,石,木,プラスチック,金属
次のうち、漢字などにつけるフリガナのことを指すことばはどれ2?,ダイヤ,エメフ,ルビ,サファ,ルビ
漫吉画太郎が漫画化した、サン・テクンジュペリの小説『〇の王子さま』。 ては何 ?,海,性,"ワロ
コロ",山,性
将棋で、最も数の多い駒は何 ?,桂馬,金将,香車,歩兵,歩兵
次のうち、実在する星座はどれ ?,おうし座,おうま座,おやぎ座,おぶた座,おうし座
「ボブスレー」といえば、次のうち何に乗って行う競技 ?,自転車,ヨット,そり,飛行機,そり
都会で暮らす学生が、故卿に戻って就職することを「何ターン」という?,Xターン,Uターン,Wターン,Vターン,Uターン
フラン ス料理で、   メニューの by/ 2)客が1品ずつ選ぶ形式を「アラ〇〇〇つ」という。〇〇〇は何 ?,カルタ,カルト,カルキ,カルス,カルト
野球で失策や予期せぬアクシデントなど、ユニークに見えるプレーを傘に何という ?,珍プレー,有プレー,賃プレー,沈プレー,珍プレー
次の芸能人のうち、日本人はどれ?,クラーク・ゲーブル,チャック・ノリス,ユースケ・サンタマリア,モーガン・フリーマン,ユースケ・サンタマリア
スポーツで、 守備をディフェンスというのに対し、攻撃を何という ?,ナンセンス,オフェンス,サスペンス,インテリジェンス,オフェンス
ゆでたジャガイモをつぶして作る料理「〇OO〇OO〇ポテト」。〇〇〇は何 ?,キッシュ,ブッシュ,マッツンシュユ,メッンュユ,マッツンシュユ
次のうち、物事を包み隠さないことを意味する言葉はどれ?,白裸裸,青裸裸,赤裸裸,妹保裸,赤裸裸
次のうち、バレーボールを描いた漫画はどれ2?2,黒子のバスケ,ROOKIES,ハイキュー!!,アイシールド21,ハイキュー!!
次のうち、ノーベル賞にない部門はとれ?,物理学賞,化学党,数学買,生理学医学賞,数学買
「トッグル」とよばれる木製ボタンで留める、丈の短いフード付きのコートは何 ?,ダッフルコート,フロックコート,テールコート,ピーコート,ダッフルコート
NHK連続テレビ小説の1話あたりの放送時間は何分2,15分,60分,30分,45分,15分
体重と身長により肥満度を求める指数、BMIの「B」とはなんのこと 2,ボール,バスト,ボディー,ボトム,ボディー
"のMMIELI【のた:】E【のjpる28還=レさム舞台で
な
い作品は
どれ
フ",YAWARAI,MONSTER,20世紀少年,Happy!,MONSTER
漫画 !ONE PIECE』の麦わらの一味のメンバーで「そげキング」とも呼ばれているのは誰 ?,ロロノア・ゾロ,サンジ,"ナミ
es]
こつ",ウソップ,ウソップ
喜劇俳優を「コメディアン」というのに対し、喜劇女優を何という ?,コメダミーヌ,コメディーン,コメドン,コメディエンヌ,コメディエンヌ
次のうち、「溶岩」ができる場所はどこ2?2         -,砂漠地帯の地表,河川の上流部,北極海の海中,火山の周辺部,火山の周辺部
「保活」という言葉の「保」が意味するものは次のうちどれ2,,保守党,保育園,保険証,保育園
音楽記号で、「フォルテッシモ」を表すのは何 ?,fff,f,ff,mf,ff
人間以外でオリンピックに出場する唯一の動物は何 ?,壮,,豚,牛,
水木しげるの漫画とタイアップした、鳥取県の空港は米子つ〇〇空港。〇の〇〇は何 ?,金太郎,浦島太郎,桃太郎,鬼太郎,鬼太郎
次のうち、集英視が配信している漫下アプリはどれ3?,マンガボックス,少年ジャンプ十,マンガワン,COrmICO,少年ジャンプ十
漫画家ユニット 「藤子不二雄」の2人とは、安孫子素雄と誰2,藤本弘,田島裕之,中澤秀樹,太地大介,藤本弘
次のゲーム機のうち、発売されたのかカもっとも古いのはどれ?,プレイステーション2,プレイステーション4,プレイステーション,プレイステーション3,プレイステーション
十支に登場する動物で、ネズミの次にくるのは何 ?,ゾウ,イノンン,カバ,ワシ,ワシ
ある昆虫の名前が付いた、鉛筆の製造で国内有数のシェアを誇る文羽具メーカーは何 ?,カブトムシ鉛筆,カマキリ鉛筆,トンボ鉛筆,チョウチョ鉛筆,トンボ鉛筆
次のうち、韓国で生まれた格闘技はとれ?,テコンドー,レスリング,柔道,ボクシング,テコンドー
ピザのマルゲリータやパスタのジェノヴェーゼに使われる、シソ科のハーブは何 ?,ルッコフ,バジル,ターメリック,ワコン,バジル
イカの足のことを、倫に何という ?,ゲソ,カラストンビピ,ゴロ,エンペフ,ゲソ
膝沢周邊の小説 ! 盲目剣答返し』 を原作とする、主人公・三村新之永を押いた映画は何 ?,武士の一年,武士の一時間,武士の一世紀,武士の一分,武士の一分
ニシレル: マクヒキスッルシアエニレ「〇〇〇闘魂」。 〇〇〇は何 ?,燃える,牙える,咲える,迷える,燃える
次のうち、「スパガ」と略されるアイドルグループはどれ 2?,SUPER近GiRLS,HKT48,Rev. from DVL,E-girls,SUPER近GiRLS
代表曲に『サウダージ』    「『アゲハ蝶』などがある、岡野昭仁と新腰晴一の音楽バンドは何 ?,ゴスペラーズ,ボポルノグラフィティ,レミオロメン,スキマスイッチ,ボポルノグラフィティ
次のうち、NHK連続テレビ小説 『とと姉ちゃん』」のヒロインの職業はどれ?,符誌編集者,サッカー選手,銀行貞,科学者,符誌編集者
学校の教科「地歴」の、「歴」は「歴史」のことですが、「地」は何のこと2?,地学,地図,地理,地球,地理
薬用シャンプー「スカルプD」を販売しているメーカーはどこ?,アンファー,アンター,デンジャー,ローファー,アンファー
2014年に公開された『ドラえもん』のアニメ映画『〇OO〇OO〇 BY ME ドラえもん』。 〇〇〇は何 ?,WALK,RUN,STAND,SlT,STAND
次のうち、トウモロコシを炒ってつくられるお県子はどれ ?,ナップコーン,ポップコーン,ヒップコーン,リップコーン,ポップコーン
映画『燃えよドラゴン』などに主演した、今は亡き香港の俳優は誰 ?,レッドス・リー,イエロース・リー,グリーンス・リー,ブルース・リー,ブルース・リー
本州最北端の鉄道駅は?,横浜駅(利奈川県),名古屋駅(愛知県),金沢駅(石川県),下北駅(青森県),下北駅(青森県)
本宮ひろ志の漫画『男〇匹ガキ大将』。〇に入る灘数字は何 ?,,白,十,千,
テンプンがほとんどアミロペクチンで粘り気の強い米のことを、うるち米に対して何という ?,せんべい米,もち米,だんご米,おかさき米,もち米
「メジャーリーグサッカー」といえば、どこの国のサッカーリーグ ?,韓国,中国,アメリカ,メキシンコ,アメリカ
次のうち、セミの種類にあるのはとれ 2?,ヒグラシ,カオダシ,ハブランシ,カオナシ,ヒグラシ
「2時間」は何分 ?,240分,180分,60分,120分,120分
の万放23ことpac才のリコンのクラブ名を作ったとき、あまるものはとどれ?,川崎,アント,フロン,ターレ,アント
「革瓜樹」ともいう、熱帯地方で広く<栽植される果物は何 ?,チチイヤ,パパイヤ,ママイヤ,ハハイヤ,パパイヤ
殆ヶ島の鬼を退治したのは?,金太郎,浦島太郎,甘太郎,桃太郎,桃太郎
次のうち、東京23区にある区は?,江東,清瀬,物村,瑞穂,江東
"大きく「温暖」 「構冷」 「停滞」「閉塞」の4パターンに分けられる気家用語といえ
語 と いえば何 2",後線,左線,前線,石線,左線
_ 次のうち、「〇〇袋」「〇〇堤」「〇〇餅」の〇〇に入る名前はどれ?,信長,謙信,政宗,信玄,信玄
ゴルフでボールを打つ時に使う道具生和回記2,スティック,バット,ラケット,クラブ,クラブ
コナミのゲームシリーズ『ウイニングイレブンj』」といえば、題材となっているスポーツは何 ?2,野球,サッカー,テニス,ボウリング,サッカー
次のうち、「日本航空」を意味するアルファベット3文字はどれ ?,WHO,JAL,ABC,IMF,JAL
次のうち、タイトルに作中に登場するロボットの名前が含まれているのはとどれ?,フルメタル・パニック!,ほくらの,トップをねらえ2!,天元突破グレンラガン,天元突破グレンラガン
にわか雨のことを、ある動物を用いて何という?,ねずみの嫁入り,たぬきの嫁入り,さきつねの嫁入り,ひつじの嫁入り,さきつねの嫁入り
俗に「十円ハゲが」と呼ばれる、自己免疫疾患のひとつである症状は何 ?,円形脱毛症,重症筋無力症,バセドウ病,関節リウマチ,円形脱毛症
次のうち、テレビ画面に出される字時を指す言葉はどれ?,スリップ,トリップ,テロップ,シロップ,テロップ
「ボリュームエクスプレス」などのマスカラで知られるメーカー、〇〇(〇つつ・ニューヨーク。〇〇〇は何 ?,タンバリン,メイベリン,バイオリン,トルマリン,メイベリン
主人公のトム・リプレーをアラン・ドロンが演じた、1960年公開のルネ・クレマン監督の映画は何,火星がいっぱい,地球がいっぱい,太陽がいっぱい,月がいっぱい,太陽がいっぱい
選が閉まりかけたバスや電車に、急いで乗り込むことを一般的に何といつ ?,座り込み乗車,殴り込み乗車,駆け込み乗車,割り込み乗車,駆け込み乗車
カードゲーム「UN0」で、プレーヤーが「ウノ」と発声しなければならないのは手札が何枚のとき ?,1枚,2枚,0枚,3枚,1枚
第一次大隈重信内閣の別名「隈板内半」で、「板」が指す人物は誰2,板野友美,板垣退助,板尾創路,板倉俊之,板垣退助
「裏切りの街角』『HERO』などのヒット曲がある日本のバンドは〇〇〇バンド。〇〇〇は ?,越後,近江,陸奥,甲斐,甲斐
格闘技で「タップ」といえば、次のうちどんな行為のこと ?,マスクを脱ぐ,凶器で攻撃する,リングの外に出る,マットを叩く,マットを叩く
次のうち、フェンシングの種目にないものはどとどれ?,エペ,フルーレ,サーブル,ポワレ,ポワレ
ライト博士によって作られたロボットが下和のために戦う、カプコンのアクションゲームシリーズは何 ?,マッドマン,サンドマン,ストーンマン,ロックマン,ロックマン
日本の国会を大きく3種類に分けると、通常国会、特別国会と何?,独立国会,非常国会,臨時国会,変則国会,臨時国会
水谷豊演じる杉下右京が登場する、ラレビ朝日の刑事ドラマシリーズは何 ?,相棒,科捜研の女,おみやさん,刑事ゼロ,相棒
次のうち、「両生類」に分類される生き物はどれ2,クジラ,カエル,カモメ,サメ,カエル
次のうち、トライアスロンで行われないのはどれ2?,スキー,バイク,ラン,スイム,スキー
引き算の筆算で、「10-2」や「33-4」を計算する際に行う作業は次のうちとれ?,なしさがり,かきさがり,くりさがり,ももさがり,くりさがり
「リップクリーム」といえば、普通、体のどこに塗るクリーム ?,爪,正,唇,まつ毛,唇
咲坂伊緒の漫画 『思い、思われ、ふり、〇つ〇〇』の〇〇〇に入る言葉は回角,あられ,けられ,たられ,ふられ,ふられ
女性アナウンサー・水トト麻美が所属しているテレビ局はどこ ?,フジテレビ,TBS,日本テレビ,テレビ朝日,日本テレビ
漫画『ゴルゴ13』で、主人公であるスナイパーの名前は何 ?,デューク更家,デュークエイセス,デュークエリントン,デューク東郷,デューク東郷
一般には光学式のものを指す、徴小なもの拡大して見る実験装置は何 ?,顕微鏡,,万華鏡,双最鏡,顕微鏡
次のうち、上果物の種類にあるのはどれ 2?,マナチカド,アボカド,ミギカド,ヨツカド,アボカド
ゴルフの練習法の「素振り」を行う時に、普通、手に持つものはどれ ?,ボール,サンバイザー,スパイク,クラブ,クラブ
芸能人のあだ名を命名する毒舌キャラとして人気の、元「矢岩石」のメレプAだココもで : 持。,有吉弘行,東野幸治,山崎邦正,今田耕司,有吉弘行
次のうち、ウニの種類にあるのはとれ 2?,ギュウフンウニ,バフンウニ,トリフンウニ,カニフンワウニ,バフンウニ
質屋への借金の返済がびできず、預けた品物の所有権が質屋に移ることを何という3?,質流れ,質戻り,質移し,質造り,質流れ
アーティストのコンサートグッズなどでもおなじみの、ゴム製のブレスレットを何という?,ラバパーオーケストラ,ラバーマリアッチ,ラバーバンド,ラバーガムラン,ラバーバンド
次のうち、不二家が販売するチョコレートの名前はどれ ?,STARE,SEE,WATCH,LOOK,LOOK
日本海軍がバルチック艇隊を破った日本海海戦が有名な戦争にといえば回角,日露戦争,日米戦争,日清戦争,日中戦争,日露戦争
野球の試合の4つのベースとは1塁、2塁、3塁とあと1つは何 ?,母崇,本塁,宿飼,家崇,本塁
次のうち、個人が口座を持つことができない銀行はどれ2,ゆうちょ銀行,セブン銀行,りそな銀行,日本銀行,日本銀行
荒井由実が歌う、ジブリ映画『風立ちぬ』の主題歌は何 ?,ひこうさ寒,うろこ雲,おぼろ寒,いわし雲,ひこうさ寒
明治製菓のCMソングとしても馴染み深い、中島美嘉のシングル曲は何 ?,案の華,雪の華,雷の華,電の華,雪の華
ヘビが、長い体を渦巻き状に巻いた状態を何という?,とがの,とぐろ,とぶろ,どくろ,とぐろ
主な歌い手にボブ・ディランがいる、民族的な音楽を指すジャンルは回角,ナイフ,フォーク,ナプキン,スプーン,フォーク
水沢めぐみの漫画『トゥ・シューズ』の題材となっているものは次のうちとれ?,オペラ,バレエ,ミュージカル,歌舞伎,バレエ
2013年に放送がスタートした【宇宙戦艦ヤマト』のリメイク作品は『宇宙戦艦ヤマト何』 ?,4199,1199,3199,2199,2199
「ユーロトンネル」が結ぶ2つの国は、イギリスとどこ?,フフランス,ロンア,ブラジル,アメリカ,フフランス
| Want To Hold Your Hand』などの曲を歌った、ジョン・レノンら4人組のロックバンドは何 ?,クイーン,ポリス,ビートルズ,オアシス,ビートルズ
ボウリングで、1投目で1番ピンが倒れないことを特に何という ?,ノーヘッド,ノーフェイス,ノーフット,ノーハンド,ノーヘッド
世界中の国が参加する博覧会は「^)〇つ〇博覧会」。 つ〇〇は ?,ニューデリー,バンコク,ペキン,マニフ,バンコク
回欠あ本PAMIUIE【の077克信二とう入りの文書のことを、漢字2文字で何という3?,親書,娘書,孫書,兄書,親書
アドベンチャーゲーム 『オホーツクに消ゆ』の主な舞台となる都道府県はとどこ?,忠岡県,北海道,沖縄県,大阪府,北海道
漫画 リドラゴン桜』で、龍山高校の特進クラスの生徒が目指した大学は何大学 ?,慶應義塾大学,上智大学,東京大学,早稲田大学,東京大学
「チスイ」や「ヤマ」などの種類がいる、血を吸う習性を持つことで有名な環形動物は何?,ヒル,アサ,ヨル,バン,ヒル
「そばめし」といえば、刻んだ焼きそばと何を混ぜた料理?,豆,"こい
ご坂",トウモロコシ,Eコ,"こい
ご坂"
ゲーム 『ドラゴンクエスト』シリーズに登場する敵で、メタル、キングといった種類がいるのは何 ?,スライム,キメラ,ドラキー,トロル,スライム
房総千島があるのは、次のうちどの地方 ?,近畿,九州,東海,関東,関東
その年のランキング上位8名だけが出場する男子テニスの国際大会「ATPO〇OO〇」。〇〇〇は何 2,ツアー・ラスト,"ツアー
@ プア
アイナル",ツアー・クライマックス,ツアー・ファースト,"ツアー
@ プア
アイナル"
日本で、「夏至」があるのは何月 ?,12月,9月,6月,3月,6月
サッカーのJ1リーグで、試合で引き分けると獲得できる勝ち点は何点 ?,10,],3,2,]
水は、酸素と、何という元素からなる化合物? 。,二酸化炭素,窒素,塩素,水素,水素
「CR7」と呼ばれる海外のサッカー選手、クリスティアーノ・〇〇〇。〇つつ〇は何 ?,ロビーニョ,ロナウジーニョ,ロドリゲス,ロナウド,ロナウド
不用となった人工衛星やロケットの部品など、地球の衛星軌道上を周回する宇宙ごみのことを何という 2?,スペーストラッシュ,スペースワイパー,スペースデブリ,スペースノイド,スペースデブリ
日本テレビのドラマ 『金田一少年の事件薄』で、主人公の金田一一を演じた嵐のメンバーは誰 ?,大野知,相葉雅紀,松本潤,二宮和志,松本潤
大相撲で、「砂かぶり」といえは、次のうちどんな場所のこと ?,土依の中心,土依の地下,土偽のすぐ下の席,土依の上空,土偽のすぐ下の席
赤ちゃんが生まれたとき、最初にあげる泣き声のことを何という 2?2,麻声,歌声,"畠 =
寺才",裏声,麻声
環境大臣が設定する、国を代表するような立派な上自然の風景地として正AT!すず2ルコ明4,国立牧場,国立森林,"mL
国立公園",国立海岸,"mL
国立公園"
次のうち、1975年から放送されたアニメ作品はどれ ?,一休さん,千休さん,十休さん,白休さん,一休さん
映画!シザーハンズ』で、主人公のエドワードを演じた俳優は誰 ?,ジョニー・デップ,ラニー・デップ,トニー・デップ,ケニー・デップ,ジョニー・デップ
1615年に起こった、江戸幕府が豊臣氏を滅ぼした戦いを「何の陣」という?,大坂夏の陣,奈良秋の陣,京都春の陣,利戸冬の陣,大坂夏の陣
「75キログラムの物を毎秒1メートル動かす力」と定義されている仕事E<YのMIAた円4,馬力,手力,豚力,牛カ,馬力
ゴルフの「スライス」「フック」とは、次のうち何に関する用語 ?,打球の曲がり方,クラブの種類,周囲の風向き,コースの難易度,打球の曲がり方
NE内【のが]】いしま:放=:ヨとき2れ ?2      「,もも内,びわ肉,かき肉,なし肉,もも内
花や草に水をやる時に用いる、細かい穴のたくさん空いた道具は何 ?,じょうか,じょうほ,じょうろ,じょうと,じょうろ
漫画『DEATH NOTE』で、デスノートに名前を書かれた人物はどうなる ?,太る,出世する,死ぬ,風邪をひく,死ぬ
「ナイナイ」と略されるお笑いコンビは何?,チュートリアル,ますだおかだ,ナインティナイン,キングコング,ナインティナイン
次のうち、魚はどれ ?,サユリ,サカリ,サオリ,サヨリ,サヨリ
水は、水素と何という元素の化合物?,,酸素,二酸化炭素,守素,酸素
佐藤秀峰の漫画 『Stand by me 描クえもん』の主人公・満賀描男が目指す職業は何 ?,小説家,漫画家,俳優,歌手,漫画家
アニメ映画『アラジン』に登場するジーニーは何の中から出てきた?,木箱,ポット,ランプ,スーツケース,ランプ
次のうち、液が分泌される体の器巨はどこ?,品,且,目,"芋
中紅",品
バスケットボールの3on3で、 使われるボールの数はいくつ?,3つ,2つ,1つ,6つ,1つ
次のうち、剣道の試合で使われる刀はどれ?2,松刀,梅刀,竹刀,桐刀,竹刀
「替え歌」といえば、元の曲から変えられているものは、普通、何 ?,曲,リズム,歌詞,ハーモニー,歌詞
ヨーグルトの名前にもなっている、イランやカザフスタンに囲まれた世錯最大の湖は何 ?,黒海,紅海,カスピ海,地中海,カスピ海
次のうち、音楽のジャンルはどれ?,フォークソング,ボウルソング,グラスソング,スプーンソング,フォークソング
次のうち、グルメリポーターとして活動する大阪出身のタレントは誰 ?,清摩呂,彦摩呂,石川摩呂,仲摩呂,彦摩呂
次のうち、副業によって得たお人金を意味する言葉はどれ 2?,次収入,仮収入,二収入,副収入,副収入
ゲーム 『ポケットモンスター』シリレシgc二還4時日MEETE ちと作品は何 ?,パール,エメラルド,ブラック,X,X
次のうち、物事に対して決められた期限を指す言葉はどれ?,よりきり,つめきり,しめきり,ゆびきり,しめきり
次のうち、動画撮影に使われるカメラはどれ2?2,ビデオカメラ,ピンホールカメラ,インスタントカメラ,スチルカメラ,ビデオカメラ
日本の初代内閣総理大臣は誰 ?,山懸有朋,松方正義,伊藤博文,黒田清隆,伊藤博文
次のうち、『スーパーマリオブラザーズ』に登場しないアイテムはどれ?,ファイアフラワー,スーパーキノコ,爆弾,スター,爆弾
次のうち、相手の顔面を殴っても反則にならないスポーツはどれ?,相撲,ボクシング,ゴルフ,サッカー,ボクシング
猿が道具を使い始める冒頭のシーンが有名な、キューブリック監督の映画は何 ?,3001年宇宙の旅,1001年宇宙の旅,2001年王宙の旅,4001年宇宙の旅,2001年王宙の旅
ことわざで、塩を引いたり、猫を噛入っルた円2,ネコ,ネズミ,イヌ,サル,ネズミ
次のうち、料理漫画ではない作品はとれ?,テラフォーマーズ,クッキングパパ,さのう何食べた ?,食電のソーマ,テラフォーマーズ
野球で、ストライクを何回取るとアウトになる 2?   ー,1回,4回,2回,3回,3回
次のうち、酢酸に含まれていないり物買はどれ2?,鉄,,酸素,水素,鉄
映画館にある、画面を表示する大きな幕を何と言う ?,アイリーン,スクリーン,モスグリーン,スクロール,スクリーン
次のうち、映画の「撮影終了」を意味する言葉はどれ?   ー,パンフォーカス,ツーショット,クランクアップ,ローアングル,クランクアップ
小林有吾の漫画『アオアシ』の題材となっているスポーツは何 ?  「,テニス,ラグビー,バスケットボール,サッカー,サッカー
次のうち、野球の「和送りバント」の別名はどれ?,損害バント,犠牲バント,供養バント,生替バント,犠牲バント
次のうち、公園にある遊び道具はどれ 2?,ブランコ,フフンス,フラフラスコ,ブランド,ブランコ
次の陸上競技のうち、1人ずつ試技とる曲りたさう1の】ちす2昌中4,マフソン,フットサル,走り幅跳び,卓球,走り幅跳び
映画『ハウルの動く城』」で、ハウルの声を演じたのは次のうち誰 ?,稲垣吾郎,木村拓哉,香取慎吾,中居正広,木村拓哉
次のうち、よく子どもが引っ張り合いの遊びすをすることでもおなじみの経早はどれ ?,オオバコ,コバコ,キバコ,ナカバコ,オオバコ
タコの体にある、水やスミを発射する器官を何という 2?2,漏革,試験管,フラフラスコ,ビーカー,漏革
次のうち、紙や布を貼りつけるのに用いるものはとどとれ?,こんぶ,もずく,わかめ,のり,のり
北海道の北方にある、ロシアでは「サハリン」と呼ばれる島を、日本では何と呼ぶ?,要太,榎太,樺太,楠太,樺太
マギー司郎やマギー審司といったら、この人たちの職業は何 ?,ライター,レポーター,マジシャン,モテル,マジシャン
「White Love』などのヒット曲で知られる、沖縄出身の4人組女性音楽グループは何 ?,INTELLIGENCE,SPEED,POWER,MAGIC,SPEED
俗に「着倒れ」などといわれるのはどこ2?2     -,因館,,長崎,京都,京都
サッカーの国際試合で、選手と手をつないで一緒に入場してくる子どもを何という ?,テニスコートキッズ,エスコートキッズ,トレンチコートキッズ,フードコート,エスコートキッズ
アメリカの「バスキン・ロビンス」が日本で展開する、アイスクリームチェーンは何 ?,トウェンティワン,フォーティワン,フィフティワン,サーティワン,サーティワン
ゆでたまごの漫画『キン肉マン』で、キン肉マンの額に刻まれているだまゴたる円有,闘,筋,力,肉,肉
きぎっくり腰の原因にもなる、椎間板がずれる症状は「椎間板つ〇つ〇」。のの]たき口。,ヘルスケア,ヘルニア,ヘルメット,ヘルシー,ヘルニア
サーモグラフィーとは、赤外線を用いて何を測定する装置?,速度,震度,角度,"温度
し"">-4","温度
し"">-4"
"日本では飛鳥時代に制度化された、律令制度
にあめ
も
と人々に支
こ支給さ
され

た農
人間ーース地のことを何という ?",耳分田,口分田,鼻分田,目分田,口分田
次のうち、森をもちいたスイーツにあるのはとどとれ2?,エベレスト,モンブラン,キリマンジャロ,マッターホルン,モンブラン
映画やドラマの「サントラ」とは、何という言葉の略 ?   」,サウンドトラック,サウンドトリック,サウンドトリップ,サワウンドトロット,サウンドトラック
次のうち、下安時代に反乱を起こした武将は誰2,桜田門,年蔵門,虎ノ門,在将門,在将門
次の漫画をアルファベット順に並べた時、最初にくるものはどれ?,ONE PIECE,NARUTO,BLEACH,SKET DANCE,BLEACH
「赤毛のアン」 の舞台となったカナダの島は次のうちどれ?,グアム己,マダガスカル島,プリンスエドワード島,淡路島,プリンスエドワード島
ゲーム !マッピー』で、マッピーを追いかけるニャームコとはどんな動物 ?,ネズミ,イヌ,ネコ,ウサギ,ネコ
次のうち、腹ばいになって日光浴することを意味する言葉はどれ?,皿維十し,角十し,牙千し,爪干し,皿維十し
西暦668年より天智天皇として在位した「中大兄星子」の読み方は?,ナカシテイダイオウシ,チュウダイケイオウシ,チュウオオコウシ,ナカノオオエノオウジ,ナカノオオエノオウジ
次のうち、製菓の専門学校を舞台にした漫画はどれ2?,勝利の悪魔,夢色パティシエール,サラすばば !,君は坂道の途中で,夢色パティシエール
ハンドボールで、空中でパスを受けてシュートするプレーを何という 2?,アースプレー,スペースプレー,スカイプレー,ダイビングプレー,スカイプレー
愛称を「ラブリン」という、ドラマ『邊沢直樹』」の黒崎駿一役などで知られる歌舞伝俳優は誰 ?,松本幸四郎,坂東玉三郎,市川彼之助,片岡愛之助,片岡愛之助
次のうち、会仁がつぶれることを意味する言葉はどれ?,出産,倒産,減産,増産,倒産
次のうち、花の品種はどれ ?,タンメン,ラーメン,シクラメン,チュウカメン,シクラメン
「大地を震わす和太鼓の律動に」という書き出しで始まる、お笑い芸人・又吉直樹の小説は何 ?,尾花,風花,造化,火花,火花
アイスホッケー史上最も偉大な選手といわれるウェイン・グレツキーののjn中4たす呈2,ブラジル,カナダ,ナイジェリア,韓国,カナダ
次の消化管のうち、口から食べた物が最初に通るのはどれ?,食道,"EH
月",十二指腸,小腸,食道
腕につけるアクセサリーは「C〇COOレット」。〇〇〇に入る言葉は何 ?,ブレス,クレス,トレス,アレス,ブレス
