Q,Category,K1,K2,K3,K4,A
次のうち、毎週日曜日に放送されているアニメはどれ?,アニメゲーム,ドラえもん,妖怪ウォッチ,クレヨンしんちゃん,サザエさん,サザエさん
「横審」と略される、1950年に発足した、日本相撲協会の褒間機関は回角,スポーツ,横綱審理委員会,模網審議委員会,横綱審剤委員会,横綱審美委員会,模網審議委員会
国友やすゆきの漫画『100億の男」の「100億」の単位は何 ?,アニメゲーム,点,個,円,山,円
次のうち、「夏の大三角」を構成する星に含まれるものはどれ2?,理系,ザンギエフ,ガイル,べベガ,ダルシム,べベガ
次のうち、嘩液に含まれる消化酵素「アミラーゼ」が最もよく働く温度はとどれ?,理系,100C,70C,10C,40C,40C
次のうち三角比にないものはどれ?,理系,COS,Sin,tan,rad,rad
洋画家の岸田劉生がたびたび作品のモデルとして描いた娘の名前は何 ?,雑学,勘吉,計一,大次郎,詞子,詞子
日本円の補助通貨単位として用いられる、円の100分の1の単位を何という?,文系,人,革,元,ウォン,人
徳川家康が天下を握る契機となったことから「天下分け目の戦い」と呼ばれる、1600年の戦いは何 ?,文系,関ヶ原の戦い,姉川の戦い,屋島の戦い,長篠の戦い,関ヶ原の戦い
「味の時計台」と言えば何のチェーン店?          -,雑学,時計,うどん,フーメン,カラオケ,フーメン
ギリシャ紳話で勇者オリオンを刺し殺したとされる、アンタレスをog星とする星座は何 ?,理系,くじら座,からす座,さそり座,うさぎ座,さそり座
女優の美枝子、知世、夏希に共通する名字は何 ?,芸能,原島,原口,原田,原井,原田
テレビ業界で「ゴールデン進出」などというときの「ゴールデン」 は何のこと2?,芸能,ゴールデンハムスター,ゴールデンタイム,ゴールデンウィーク,ゴールデンボンバー,ゴールデンタイム
SFアニメの作品のタイトルで、『新世紀』といえばこのあと何と続く ?,アニメゲーム,エヴァンゲリオン,マクロス,イデオン,ガンダム,エヴァンゲリオン
次の漫画家ユニットのうち、メンバーが全員女性で構成されているのはとれ?,アニメゲーム,CLAMP,藤子不二雄,ゆでたまご,とおくまん,CLAMP
「愛は食卓にある。」というキャッチコピーでおなじみの食品メーカーはとどこ?,雑学,秩氷乳業,雪印,キユーピー,オタフクソース,キユーピー
タレントの小倉、元AKB48の大島、キャスターの安藤に共通する名前は回角,芸能,優子,典子,敦子,芽子,優子
ニュートン力学のもととなった惑星運動に関する3つの法則を考案したドイツの天文学者は誰 ?,理系,ケプラー,ゴリラー,ケチャラー,マヨフー,ケプラー
。 ヒット曲『涙のの〇〇』『バレンタイン・O〇OO〇OO〇O』『O〇つOO〇つつ〇は目にして!』のの〇の〇〇は何 ?,芸能,ウィンク,メイク,キッス,プレゼント,キッス
中国で最も長い川は何 ?,文系,長江,ミシシッピ有川,ドナウ川,ナイル川,長江
アニメ『トムとジェリー』はもともとどこの国で作られたアニメ 2?2,アニメゲーム,イギリス,アメリカ,ブラジル,ドイツ,アメリカ
プロ野球の球団名で「埼玉西武」の後に続く言葉は何 ?,スポーツ,ライオンズ,スワローズ,ヤンキース,ホークス,ライオンズ
次のうち、レオタードを着用するスポーツはどれ2?,スポーツ,剣道,競輪,相撲,新体操,新体操
サッカーで、前に出たキーパーの頭上を山なりに越すシュートを特に何という2,スポーツ,グループシュート,スープシュート,フープシュート,ループシュート,ループシュート
エアガンなどを使って行われる競技「サバゲー」の「ゲー」は何の略 ?,スポーツ,ゲージ,レゲエ,ゲーム,ゲート,ゲーム
読売新聞の朝刊連載の、植田まさしの4コマ漫画は『何ちゃん』 ?,アニメゲーム,ソボちゃん,ノボちゃん,モボちゃん,コボちゃん,コボちゃん
次のうち、華原朋美のヒット曲はどれ 2?,芸能,『m Yours,『m Here,『m in Love,『m proud,『m proud
年齢と共に生じる顔のタルミやシワが刻まれた肌を引き締め、ハリのある状態に戻す美容法を何という?,雑学,バストアップ,サイドアップ,ヒップアップ,リフトアップ,リフトアップ
イギリスを構成する4つのカントリーは、イングランド、ウェールズ、北アイルランドと何?,文系,ディキシーランド,フィンランド,スコットランド,ネバーランド,スコットランド
自動車のサイドミラーなどに使われる、反射面の真ん中が凸形に盛り上がった球面鏡は何?,理系,とつめんきょう,へいめんきょう,さんめんきょう,ろうがんきょう,とつめんきょう
ゴーヤー、ちんすこう、和首里城から連想される都道府県はどこ ?,文系,,沖縄県,"圭
表森県",碧奈川県,沖縄県
「サイクルヒット」といえば、どんなスポーツの用語 ?,スポーツ,自転車,ボクシング,$り,野球,野球
ラジオパーソナリティの慶子、タレントの瑠璃子、お笑い芸人のよしおに共通する名字は何 ?,芸能,中島,高島,三島,小島,小島
相手を無庁した態度をとることを「〇〇〇を向く」。 〇〇〇は ?,雑学,シッポ,カッポ,ソッポ,ノッポ,ソッポ
女性が服のえりや胸に針などでつけとイクルリにコたす2 員2,雑学,ブレード,ブリーチ,ブローチ,ブロード,ブローチ
七草背、成人式、箱根駅伝から連想されるのは何月 ?,雑学,7月,1月,5月,3月,1月
台湾では『孤独的美食家』というタイトルで知られている日本の漫画は回角,アニメゲーム,クッキングパパ,包丁人味在,美味しんぼ,孤独のグルメ,孤独のグルメ
数学では、和を表す時に用いられるギリシャ文字「>」の読み方は何 ?,理系,シグマ,ラムダ,グザイ,オメガ,シグマ
陸上のジャスティン・ガトリン。出身国はどこ ?,スポーツ,アメリカ,ブラジル,カナダ,フフンス,アメリカ
『きょうの料理』 『趣味の園芸』『「基礎英語』」などのテキストを刊行している出版邊はどこ?,文系,ABC出版,VIP出版,NHK出版,USA出版,NHK出版
算数の記号「イコール」に、横棒は何本ある ?    -,理系,3本,2本,1本,4本,2本
家の中ではく上ばきを何と言う?,雑学,ストップ,スコップ,スリット,スリッパ,スリッパ
お風呂上がりに体を拭くタオルは「〇OO〇タオル」。〇〇は何 ?,雑学,マス,バス,リス,ビス,バス
ドラマ『鍵のない夢を見る』では主婦・良枝を演じた、フラーム了所属の女優は誰?,芸能,広末亮子,広末遼子,広末良子,広末涼子,広末涼子
コロンブスが西回りでインドを目指す要因となった、地球がボールのような形であるという説は何 ?,文系,地球球体説,地球三角説,地球螺旋説,地球不面説,地球球体説
次のうち、サッカーのポジションにあるものはどれ 2?,スポーツ,ボランチ,ブランチ,ブランク,ボランティア,ボランチ
筋肉へモグロビン」とも呼ばれる、筋組織に酸素を貯蓄する役割がある物質は何 ?,理系,リツグロビン,ミオグロビン,ユイグロビン,ムギグロビン,ミオグロビン
ホテルで、ベッドが2つある部屋のことを「〇OO〇〇ルーム」 。〇の〇の〇のは ?,雑学,サイン,ツイン,コイン,ワイン,ツイン
次のうち、アメリカ生まれのヒーローではないのはどれ2?2,アニメゲーム,ウルトラマン,スーパーマン,バットマン,スパイダーマン,ウルトラマン
「小野D」の愛称で呼ばれる声優は,アニメゲーム,小野坂昌也,小野賢章,小野英昭,小野大輔,小野大輔
近年間題としなっている、コンピューターやそのネットワークを利用して行われる犯罪を何という ?,文系,ダイバー印罪,サイダー犯罪,ネイバー犯罪,サイバー和犯罪,サイバー和犯罪
毎週日曜放送の日本テレビの番組「笑点』の放送開始時刻は何時何分 ?,芸能,午後7時30分,午後5時30分,午後8時30分,午後6時30分,午後5時30分
日本各地の稲荷利詩で、紳の使いとされている動物は何 ?,文系,ねこ,さつね,たぬき,いぬ,さつね
3つの辺の長さがすべて等しい三角形を何という ?,理系,正三角形,完三角形,下三角形,王三角形,正三角形
「まんまと一杯食わされた」といえば、次のうちどんな意味?,文系,酒をたらふく飲まされた,腹一林ごちそうになった,あまり美味しくなかった,上手くだまされた,上手くだまされた
プロ野球チーム「イーグルス」の正式名称は「〇〇つ〇イーグルス」。〇(つうは何 ?,スポーツ,楽天東北ゴールデン,東北ゴールデン楽天,楽天ゴールデン東北,東北楽天ゴールデン,東北楽天ゴールデン
次のうち、電気をよく通す物質はとれ 2?,理系,木材,ガラス,砂糖水,アルミ径,アルミ径
数学で、立体を切り開き、下面上に広げた図を何という ?,理系,拡大図,展開図,全体図,間取り図,展開図
「花男」の略称で呼ばれる紳尾葉子の漫画は何2?        「,アニメゲーム,まつりスペシャル,化より男子,キャットストリート,虎と狼,化より男子
次のうち、女性がおしゃれで和首に巻の】たず2光6員。,雑学,スカンク,スカウト,スカーフ,スカート,スカーフ
おもちを小さく丸めて、くしにさした和菓子を何と言う ?2,雑学,ダンプ,ダンゴ,ダンナ,タンゴ,ダンゴ
台湾で『名偵探本南』というタイトルで翻訳された日本のアニメは何 ?,アニメゲーム,名探偵コナン,ちびまる子ちゃん,ドラゴンボール,クレヨンしんちゃん,名探偵コナン
かつて、吉川晃司とともにCOMPLEXを結成していた歌手は誰 ?,芸能,布袋寅泰,稲葉浩志,桑田佳策,吉田拓郎,布袋寅泰
次のうち、スペイン発詳の炊き込みこ人販はどれ?,雑学,カメリア,ミクリア,アドリア,パエリア,パエリア
バスケットボールのボールのサイズを表す単位は何 2,スポーツ,袋,両,王,が,王
次のうち、3人組を意味する言葉はとれ?,雑学,アリオ,マリオ,トリオ,オリオ,トリオ
四国や広島など、野球が強い地域を指す、高校野球でおなじみの表現と只とjpまっす< 6時,スポーツ,野球地獄,野球王国,野球だまり,野球スポット,野球王国
主旋律を副旋律が模父しながら追いかける、パッヘルベルの楽曲で有名な音楽形式は何 ?,芸能,カノン,カレン,カタン,カモン,カノン
次のうち、オレンジ色の果肉で知られるメロンの品種はどれ?,理系,困館メロン,札幌メロン,夕張メロン,帯広メロン,夕張メロン
人間の歯で、歯列の一番奥の部分に生える歯を俗に何という 2?,理系,親しらず,命しらず,時しらず,虫しらず,親しらず
松岡修造がリポボーターとして47都首府県を制再した、フジテレビのミニ番組は何?,芸能,くいしん坊 ! 万博,くいしん坊 ! 万感,くいしん坊 ! 万能,くいしん坊 ! 万才,くいしん坊 ! 万才
「アルソミトラ」という植物の種は、空中を浮遊するため、次のうち何に似た形をしている ?,理系,鳥の供,家の上算,肉球,人の足,鳥の供
江戸時代の参勤交代で、大名の参勤先の地となったのはどこ?,文系,沖縄,江戸,北海道,忠則,江戸
次のうち、九州地方にあった旧国はとれ?,文系,水戸,陸摩,越後,紀伊,陸摩
"高橋留美
子の:
の漫画『犬夜叉
』のヒ
  男インである、タイムスリップした女子高生の名前は日暮何 ?",アニメゲーム,かごめ,あやめ,すずめ,ひらめ,かごめ
次のうち、スタジオジブリガが制作したアニメ映画はどれ ?    「,アニメゲーム,もののけ姫,不の形,君の名は。,時をかける少女,もののけ姫
"「告られ
るJ
の
「告」とは何の略
ブ",雑学,丘知,告日,告訴,に,告日
公共交通機関のバスの車中に設置された「降車ボタン」を押すのは、座のうちどんな時 ?,雑学,他の車を威圧したい時,水中に潜りたい時,次のバス停で降りたい時,空を飛びたい時,次のバス停で降りたい時
まぶたなど目の周囲に陰影をつけるための化粧品を何という ?,雑学,アイキャッナチナチ,アイマスク,アイシャドー,アイコンタクト,アイシャドー
ボウリングで、ボールを転がす床面を何という?,スポーツ,ローン,ホーン,レーン,コーン,レーン
テレビドラマ『ガリレオ』で、 探偵のに北信とこセタアル トクは誰 ?,芸能,奄山雅治,沢村一樹,谷原章介,阿部芽,奄山雅治
漫画『暗殺教室』 のコミックス表紙のタイトルロゴで、赤く描かれていとるy4ビコセや/ jpきっすルク,アニメゲーム,孝,至,暗,殺,殺
お菓子の家が出てくるグリム章話『ヘンゼルと〇O〇O〇』。 〇〇〇に入る名前は何 ?,文系,ジュリエット,メリザンド,グレーテル,ミナル,グレーテル
体操の「三点倒立」の「三点」とは右手、左手とどこ ?        」,スポーツ,片足,頭,痛中,尻,頭
NI:たた10セんハアツル!ルトウル アポンスに分かれますが、それはウェスタンと何 ?,スポーツ,パキスタン,イースタン,アフガニスタン,トルクメニスタン,イースタン
「サンバ」といえば、どこの国発絆のダンス音楽 ?,芸能,中国,スペイン,ブラジル,ロンシア,ブラジル
世界一長持ちする乾電池 「EVOLTA」を販売している企業はどこ ?,雑学,富士通,東芝,PanaSonlc,maxell,PanaSonlc
株価指数の「TOPIX」 を発表する機関つ〇OO〇証券取引所。〇〇〇は何 ?,文系,忠岡,札幌,大阪,東京,東京
EEE<作和Aとと 0計20す配りの】EHEGもIIされた映画 ?,芸能,インド,韓国,インドネシア,日本,日本
「ピビンキリ」とは、何という慣用句の略? 。,文系,ゆりかごから墓場まで,口紅から機関車まで,ビピンからキリまで,最初から今まで,ビピンからキリまで
次のうち、女子新体操の種目にある3Y1ちず2ルレ,スポーツ,フープ,ブーメラン,グラス,フォーク,フープ
瓶ビールやジュースを、瓶に直接口をつけて飲むことを何という ?,雑学,ラッパ飲み,オーボエ飲み,トロンボーン飲み,トランペット飲み,ラッパ飲み
次のうち、「アッコさん」の愛称で呼ばれる歌手・タレントは誰 ?,芸能,南明奈,明坂聡美,中森明楽,和田アキ子,和田アキ子
次のうち、貝の中に住む海の生物はとれ?,理系,カシカリ,ハツカリ,ヤドカリ,イシカリ,ヤドカリ
"大石が、
長い問、日光や雨風の影響をうけることによって徐々に破壊されることを何という?",理系,風化,蒸発,炎上,消失,風化
興角、大毅、和毅の三兄弟の名字は円時,スポーツ,坂田,下田,亀田,石田,亀田
次のうち、大きく鳥に分類されるのはどれ2?,理系,山猫,森猫,川獲,海猫,海猫
「ローランド」や「マウンテン」に分類される、大型の霊長類は何 ?,理系,サイ,ライオン,ジャイアントパンダ,ゴリラ,ゴリラ
ラムサール条約の正式名「特にCC)の生息地として国際的に重要な湿地に関する条約」。〇〇は何 ?,文系,水牛,水魚,水島,水虫,水島
アニメ『アイシールド21』に登場する溢鈴音の声を演じたタレントは誰 ?,アニメゲーム,磯山さやか,優香,中川翔子,県鋼かをり,中川翔子
カクテルの「レッド・アイ」と「ブラッディ・メアリー」に共通して使われるジュースは何 ?,雑学,リンゴジュース,トマトジュース,グレープジュース,レモンジュース,トマトジュース
次のうち、四捨五入をしたときに「切り上げ」となる数字はどれ ?,理系,3,],2,S,S
汚染物質のPM2.5とは粒の大きさがCXうつ以下のものである。〇〇〇いに当てはまるのはどれ?,理系,2.5メートル,2.5センチメートル,2.5マイクロメートル,2.5ミリメートル,2.5マイクロメートル
次のうち、化粧品に保湿成分として配合される、ムコ多糖類の一種はどれ?,理系,テレフタル酸,イノシン酸,"ヒ
アルロン酸",グルタミン酸,"ヒ
アルロン酸"
豚号や鶏がらなどを煮込んで作る、白く滴ったスープを何という ?,雑学,パイタン,ワンタン,グラタン,ピータン,パイタン
"大久保人篤の漫画『炎炎ノ消防際』」の「炎炎
炎炎」は何と読む ?",アニメゲーム,じんじん,えんえん,がんがん,こんこん,えんえん
「プロ、アマ」というときの「アマ」は何の略 ?,スポーツ,アマチュア,海女,アマゾン,示り,アマチュア
「四邊世紀」といえば、何年間のことを指す2          ーー,文系,100年間,50年間,10年間,25年間,25年間
格闘技で、締め技にかけられた選手が「降参」の意味でマットを叩く動作を何という ?,スポーツ,マップ,タップ,ラップ,カップ,タップ
ドラマ化もされた本宮ひろ志の漫画『〇〇つつ〇金太郎』。〇〇〇に入る言葉は何 ?,アニメゲーム,セールスマン,サラリーマン,スーパーマン,ウルトラマン,サラリーマン
1993年に放送が開始された、NHKで放送されている報道番組は何 ?,芸能,クローズアップ近世,クローズアップ現代,クローズアップ中世,クローズアップ古代,クローズアップ現代
次のうち、昔話『耳なし芳一』に登場する芳一の職業はどれ?,文系,武士,船大工,琵琶法師,医者,琵琶法師
次のうち、たけし軍団の一員であるタレントは誰 ?,芸能,つまみ小豆,つまみ青豆,つまみ大豆,つまみ枝豆,つまみ枝豆
「真っ赤なお鼻のて か)」といえば、続く言葉は何?  ー,雑学,トナカイ,お母,サンタ,エントツ,トナカイ
プロサッカーの試合時間は、アティショナルタイムを除くと前後生何分ずつ?,スポーツ,35分,45分,55分,25分,45分
保険会詩アフラックのコマーシャルに出てくる動物で、「アフラック」と鳴く島といえば何?,雑学,あほうどとどり,あひる,あぶらむし,ひよこ,あひる
労働組合法、労働関係調整法とともに「労働三法」 と呼ばれる法律はどれ?,文系,労働基準法,労働審州法,最低賃金法,労働契約法,労働基準法
ボウフラが成長すると、どんな申になる2?,理系,ハチ,ハエ,カ,チョウ,カ
漫画 !ONE PIECE』の悪魔の実で、食べると体を煙のように変えられるの】たず。化2,アニメゲーム,ミクミクの実,ムクムクの実,マクマクの実,モクモクの実,モクモクの実
卓球界で活躍した「愛ちゃん」の愛ネで呼ばれる人物は、次のうちの誰 ?,スポーツ,斑原愛,忠田愛,斑山愛,編井愛,斑原愛
なめくじに塩をかけるとなめくじの体が縮むのは、次のうちどの作用による?,理系,浸透圧,,磁力,摩擦,浸透圧
秋元康がプロデュースする、AKB48のライバル的存在と位置づけられるアイドルグループは何 ?,芸能,恵比寿46,道玄坂46,乃木坂46,中目黒46,乃木坂46
次のうち、ビジネス用語で「MTG」と略される言葉はどれ ?,文系,マイトング,ミーティング,モチベーティング,モッテイグ,ミーティング
次のうち、アコヤガイなどの貝からとれる宝石はどれ?,理系,サファイヤ,ルビー,真珠,エメラルド,真珠
次のうち、トランプゲームにあるのはどれ2?,雑学,貴族階級,一般庶民,大富豪,中流家族,大富豪
シェイクスピアの有名な戯曲 『CX)〇つとジュリエット』。〇〇〇は何 ?,文系,カメオ,アリオ,デミオ,ロミオ,ロミオ
動物の卵がかえることを、普通、何という ?             「,理系,中化 (ようか),進化 (しんか),勿化 (うか),身化 (ふか),身化 (ふか)
ドラマ「『白い巨塔』の主人公・財前五郎と、『JIN-仁-』 の主人公・南方仁に共通する職業は何 ?,芸能,医者,教師,保育士,弁護士,医者
映画やテレビの子ども役や、その役を演じる俳優のことを何という ?,芸能,子役,投楽,活躍,車役,子役
アニメ『ドラえもん』に登場する「のび太」は次のうちどれ ?,アニメゲーム,高校生,小学生,中学生,幼稚園児,小学生
天野こずえの漫画『ARIA』に登場する惑星「アクア」は次のうちどれ2?,アニメゲーム,砂の惑星,水の惑星,,火の惑星,水の惑星
野球で、バットを振らずに3ストライク目を取られる三振を俗に何という?,スポーツ,これ見よがしの三振,蹴飛ばしの三振,宜越しの三振,見逃しの三振,見逃しの三振
次のうち、「養けい場」で飼育される動物はどれ?   -,文系,にわとり,うし,ひつじ,ぶた,にわとり
富士宮市、横手市、黒石市に共通する名物料理は何 ?,雑学,カレーライス,ラーメン,寿可,焼きそば,焼きそば
次のうち、和柔道の「内股」「大外刈」「膝車」などが該当する技はどれ?,スポーツ,腰技,手技,捨身技,足技,足技
将来、医者を目指す人が通う大学はとれ?,雑学,いか大学,たこ大学,あじ大学,さば大学,いか大学
工場などで人荷物の積み降うしをする荷役自動車「つ〇O〇リフト」の〇〇つつは何 ?,雑学,フォーク,ボウル,ナイフ,スプーン,フォーク
テニスで、土のコートはクレーコート、では芝のコートは何という ?,スポーツ,ボトルコート,マグコート,カップコート,グラスコート,グラスコート
青緑色の光沢があり、古くから装飾品にも使われている昆虫は何 ?,理系,玉虫,油虫,難虫,弱由,玉虫
タレントの武井壮が日夜トレーニンシルVEGAとすり1た 8 ルツべきため?,芸能,百獣の王,地上最強の嫁,井の中の性,愛の伝道師,百獣の王
トラッパー、ブロッカー、スティック、パックなどの道具を使う球技は回角,スポーツ,セパタクロー,アイスホッケー,提球,バレーボール,アイスホッケー
書道の墨をすらずに済む代用品の名EE                           「,文系,青汗,お汁粉,回汗,レモン汁,回汗
次のうち、吹くと底がくぼんで音が鳴る、底の薄いフラスコ状のガラス東吉具を指す言葉はどれ ?,雑学,シードロ,デードロ,エードロ,ビードロ,ビードロ
ジュラ紀に生存した、和鳥類の宜先の考えられている化石動物は何 ?,理系,,火ノ鳥,不死島,始宜島,始宜島
アニメ化もされた携帯ゲーム『デジモン』の「モン」とは何の略 ?,アニメゲーム,モンブラン,モンスター,モンキー,モンロー,モンスター
「はちみつきんかんのどと錠」や「VC-3000のど館」を販売している果会吐は何?,雑学,セイカ食品,サクマ製菓,フタ人食品,ノーベル製菓,ノーベル製菓
「どうぶつしょうぎ」の駒で、相手に取られると負けてしまうのは、何が描かれた駒 2,雑学,ゾウ,キリン,ライオン,ニワトリ,ライオン
次のうち、元AKB48のメンバーである女優のニックネームはどれ?,芸能,マエノリ,マエケン,マエアソ,マエタケ,マエアソ
かき氷の上にシロップや果物などを盛りつけたものを何という ?,雑学,フリック,トラップ,トリップ,フラフラッペ,フラフラッペ
漫画『名探偵コナン』で、江戸川コナンや吉田歩美ら5和人による探偵団の名前は何 ?,アニメゲーム,悪ガキ探偵団,少年探偵団,幼児探偵団,子ども探偵団,少年探偵団
「力こぶ」とはこの部分の筋肉のことである、上腕の前面にある筋肉は回角,理系,上腕四頭筋,上腕二頭筋,上腕一頭筋,上腕三頭筋,上腕二頭筋
次のうち、星座ではないものはどれ 2?,理系,おうし座,くるま座,さそり座,で た ご座,くるま座
1867年にアメリカがロシアから購入した、アメリカで面積が最も広い州は何州 ?,文系,アラバマ州,アリゾナ州,アーカンソー州,アラスカ州,アラスカ州
ティアドロップ型やトライアングル型などの種類がある、ギターを弾くときに使う爪は何 ?,芸能,ピット,ピック,ビピッチ,ビップ,ピック
次のうち、JR山手線で、東京駅の隣にある駅はどれ ?    「,文系,紳ノ木駅,御田駅,紳戸駅,紳山駅,御田駅
断熱材や梱包材に使われる、気泡を含んだポリスチレンは 「発泡〇〇〇つ」。の〇〇は ?,理系,ステロール,スチロール,スプロール,スクロール,スチロール
TD坂の殺人事件』や『怪人二十面相』などの小説を書いた作家は誰 ?,文系,赤川次郎,江戸川乱歩,松本清張,内田康夫,江戸川乱歩
オリンピックで行われる体操競技といえば、「体操」「新体操」とあとのの】ちる 半/,スポーツ,ウエイトリフティング,トランボリン,レスリング,フェンシング,トランボリン
フランスを舞台にしたスエカネクミ -のがJE凍の)(の⑨(⑨とルル品と 中本〇つ〇〇〇〇は何 ?,アニメゲーム,ベルヌメーイ,ベルサイユ,ベルベット,ベルマーク,ベルサイユ
次のうち、和気象用語の「前線」の種類にないものはどれ?,理系,停滞前線,閉窒前線,突風前線,杜冷前線,突風前線
次のうち、コンサート会場としてもおなじみのさいたまスーパーアリーナの略称はどれ ?,芸能,SBS,SSR,SAA,SA,SA
化粧品などの小物を入れて運ぶための小型の袋を何という ?,雑学,ピーチ,ポーチ,トーチ,コーチ,ポーチ
邊動車レース「ル・マン〇〇〇時間机久レース」。〇〇〇は ?   「,スポーツ,12時間,24時間,18時間,6時間,24時間
RPG『ドラゴンクエストIV』に登場するホイミンは、どんな種類のモンス3ーの名前 ?,アニメゲーム,ドラキー,はぐれメタル,ホイミスライム,メタルスライム,ホイミスライム
「電卓」といえば、次のうち何を行うための人道具 ?      ー,雑学,料理,,掃除,計算,計算
次の足し算の式のうち、繰り上がりがあるのはどれ2?,理系,8十1,2十5,4十7,3十6,4十7
水泳で、水から顔をあげて息を吸い込むことを何という ?,スポーツ,息切れ,息抜き,息差し,思継ぎ,思継ぎ
バレリーナが足に身につける衣装は円時,雑学,タイツ,タダイル,タイコ,タイラ,タイツ
西田佐知子、ザ・ビピーナッツ、井上陽水らが歌った名曲は『〇OO〇OO〇ルンバ』。の〇の〇は ?,芸能,ココア,コーヒー,ミルク,紅余,コーヒー
テレビ朝日の番組『芸能人格付けチェック』で、問題に全間不正解すると、次のうちどうなる ?,芸能,スプレーが噴射される,秘密が暴露される,青汁を飲まされる,画面に映らなくなる,画面に映らなくなる
焼き島などで食べられる、とりのひさ肉を団子状にしたものを何と言う?,雑学,つくえ,つくり,つくね,つくし,つくね
藤沢とおるの漫画『GTO』の主人公鬼塚英吉はどんな仕事に就いていた2?2,アニメゲーム,弁護士,政治家,教師,野球選手,教師
『週刊少年ジャンプ』に連載されていた、藤巻忠俊のバスケットボール浸画は何?,アニメゲーム,あひるの空,SLAM DUNK,,里子のバスケ,里子のバスケ
漫画 !リケロロ軍費』で、ケロロのお腹についているのはどんなマーク ?2,アニメゲーム,黄色い星,思いバツ,青い三角,赤い丸,黄色い星
次のうち、野球場にある設備はどれ ?           「,スポーツ,メゾネット,カスタネット,マリオネット,バックネット,バックネット
"喜井染の小説 『O〇OO〇の睡』、立春や夏至が含まれる「〇〇〇節気」の(に) C) ()  ー
うに共通す
と 三
語は何 ?",文系,五十四,二十四,三十四,四十四,二十四
卓球で、ラケットの上に貼られるゴム状のシートを何と言う?,スポーツ,ラバー,カバー,リバー,レバー,ラバー
ゴルフで、各ホールの第一打が、そのままカップに入ることを何という?,スポーツ,ダブルボギー,エージシュート,アンプレヤブル,ホールインワン,ホールインワン
お笑いコンビ、ブラックマヨネーズのメンバーは、小杉和電一と誰 ?,芸能,山崎弘也,吉田区,編田充徳,高橋茂雄,吉田区
日本の世界遺産、原爆ドームや姫路城の登録分類は次のうちどれ3?,文系,複合遺産,自然遺産,無形遺産,文化遺産,文化遺産
次のうち、激しい怒りを表す言葉はとれ?,文系,怒髪天を衝く,のどから手が出る,目からうろこが沙ちる,流れに醒差す,怒髪天を衝く
X JAPANのヒット曲『紅』。何と読む 2,芸能,べに,あか,くれない,こう,くれない
「Rising Sun』や『NEW HORIZON』などのヒット曲があるダンス&ボーカルユニットは何 ?,芸能,DREAMS COME TRUE,ONE OK ROCK,YMO,EXILE,EXILE
チョーク、上貝殻、卵の殻の主成分は円時,理系,炭酸カルシウム,炭酸マグネシウム,炭酸ナトリウム,炭酸カリウム,炭酸カルシウム
ロッテの人気のアイスは「〇〇〇大編」。〇〇〇は ?,雑学,害見,花見,月見,酒見,害見
速さの単位に名を残すマッハは、どのE【のとにっと:和人,理系,モンゴル,オーストリア,アルゼンチン,アルジェリア,オーストリア
しげの秀一の漫画『頭文字D』。この「頭文字」は何と読む 2,アニメゲーム,カシラモジ,コードネーム,イニシャル,ヘッド,イニシャル
1949年に出版された三島由紀夫の小説『仮面のつつ』。〇〇に入る言葉は何 ?,文系,激白,科白,皇日,関白,皇日
ドラマ『リーガル・ハイ』で、堺雅が演じたのはどんな職業の人物 ?,芸能,国会議員,刑事,弁護士,外行マン,弁護士
"温泉で、源泉からわき出したお湯を常時浴槽に注ぎ、浴れさせる方式はの)の⑨)のつの7,⑥,⑥)とを",雑学,吹き流し,着流し,島流し,かけ流し,かけ流し
人に気に入られるようにふるまうことを、ある食べ物を使って「何をする」という2?,文系,ゴマ,トウガラシ,サンショウ,コショワウ,ゴマ
生まれつき癖の付いた髪型のことを、俗に「何パーマ」という ?,雑学,天然,天才,天国,天井,天然
検圭庁や刑務所などの機関が属する省庁は何 2      「,文系,財務省,法務省,文部科学省,内閣府,法務省
「打ち水」で涼しくなるのは、水が水蒸気に変わるときに〇〇〇を奪うため。〇〇〇は何 ?,理系,液化熱,酸化熱,気化熱,固化熱,気化熱
のjpまっ8還ミレさと マリン52のはどれ2?,雑学,いじょう,みまん,いご,いぜん,いご
次のうち、川にすむカニはどれ?,理系,ズワイガニ,サワガニ,タラバガニ,ケガニ,サワガニ
次のうち、「気持ちを引き締める」や「真面目に生きる」という意味の王主ヨたぎす<光晴2,文系,宰を描てる,徐を正す,人補を開く,秦を眺める,徐を正す
在安時代に来日した僧偶・錯真は、どこの国からやって来た ?,文系,ロンア,オーストラリア,中国,アメリカ,中国
バパバスケットボールで、  Hzるり ーボイントシュート」で入る得点は何点 ?,スポーツ,2点,4点,3点,1点,3点
映画 『スター・ウォーズ』シリーズに登場する、全身黒ずくめの衣装を着た悪役は誰 ?,芸能,ョン・アンダーソン,リック・デッカード,ネオ,ダース・ベイダー,ダース・ベイダー
忙しい様子を表す言葉「〇の手も借りたい」。〇は何 ?,雑学,ねこ,うし,いぬ,うま,ねこ
米、小麦、とうもろこしといえば「世界三大〇つ〇」。〇〇は何 ?,理系,野朱,果物,末物,豆類,末物
「シェークハンド」 「ペンホルダー」といえばどんなスポーツで使うラケットの種類 ?,スポーツ,卓球,スカッシュ,バドミントン,テニス,卓球
次のうち、野球漫画は?,アニメゲーム,サインはVI,ドラゴンボール,タッチ,ハイスクール奇面組,タッチ
