Q,Category,K1,K2,K3,K4,A
7人制ラグビーの1チームの人数は何人2,スポーツ,11人,7人,9人,15人,7人
「オーエス」というかけ声が使われるスポーツといえば何 ?,スポーツ,競泳,100m走,野球,綱引き,綱引き
リオデジャネイロロ五輪で活躍した、桐生妖表、ケンブリッジ飛島といえば何の選手 ?,スポーツ,競泳,陸上,体操,テニス,陸上
球技や陸上競技で、短いい距離を全力で走ることを何という 2?,スポーツ,フラッシュ,ラッシュ,ダッシュ,スマッシュ,ダッシュ
次のスポーツのスコアのうち、「タイスコア」なのはとどれ ?,スポーツ,3対2,2対1,1対0,1対1,1対1
日本で「大リーグ」とも呼ばれる、アメリカの野球リーグは何 ?,スポーツ,ジンジャーリーグ,レジャーリーグ,メジャーリーグ,ロジャーリーグ,メジャーリーグ
次のうち、野球で、投手がホームランを打たれたことを指す言葉はどれ?,スポーツ,被弾,被服,被疑,被告,被弾
次のうち、「シングレット」という水着のような服を着て行うスポーツはとどれ?,スポーツ,レスリング,フェンシング,ラグビー,軟式テニス,レスリング
「One for ALAll for One」という基本精利でおなじみのスポーツはのひjpまっず< 4,スポーツ,体操,ラグビー,テニス,跳泳,ラグビー
王貞治の持っている本塁打数世界記録は何本 ?,スポーツ,88688本,888868888本,8886888本,868本,868本
野球で、練特時の投手の球を受ける専門の捕手を特に何という ?,スポーツ,ワッペン捕手,アルペン捕手,シャンペン捕手,ブルペン捕手,ブルペン捕手
次のうち、「ピッチ」で試合を行うレツ4たす22ル 8,スポーツ,フェンシング,アイススケート,サッカー,相撲,サッカー
ゴルフやサーフィンなど、屋外で行う運動のことを「何スポーツ」という?,スポーツ,ダウンドア,アウトドア,インドア,アップドア,アウトドア
ボウリングで、「ダブル」といえばストライクを何回続けること ?2,スポーツ,3回,4回,2回,5回,2回
J字形の管の一方を口にくわえて使う、スポーツ用の水中呼吸装置は回角,スポーツ,フィイン,ウェットスーツ,シュノーケル,ゴーグル,シュノーケル
次のうち、格闘技で「降参」の意味がある言葉はどれ ?   」,スポーツ,セットアップ,グレードアップ,タイアップ,ギブアップ,ギブアップ
ゴルフで、規定打数が「3」であるホールのことを何という ?2,スポーツ,ロングホール,ブラックホール,ショートホール,オゾンホール,ショートホール
テニスの「ウィンブルドン選手権」で、選手が着用することになっていとざり】た[5【のルク前,スポーツ,赤色,黒色,青色,日色,日色
野球で、ストライクゾーンを通らず打者が空振りをしなかった投球を何という3?,スポーツ,ラン,リード,ボール,スチナチナール,ボール
サッカーで、 「イタリアダービー」で戦うクラブはユベントスとどこ?,スポーツ,サッスオーロ,ラツィオ,インテル,パレルモ,インテル
次のうち、大相撲で番付の決定に関わる正式な場所に含まれないのはどれ?,スポーツ,春場所,超会議場所,初場所,夏場所,超会議場所
「綱取り」といえば、次のうちどんなスポーツで使われる用語 ?,スポーツ,剣道,相撲,合気道,柔道,相撲
プロ野球チームのソフトバンクのオーナーである実業家は誰 ?,スポーツ,王貞治,係正義,三木谷浩史,加藤良三,係正義
32> GO生5ジニレタン4 7 だ<上、盗塁30個以上、本塁打30本以上を記録することを何という ?,スポーツ,ワンスリー,ダブルスリー,ゼロスリー,トリプルスリー,ダブルスリー
サッカーで、FKとは何という言葉の略 ?,スポーツ,ファイヤーキック,フェイクキック,フラッシュキック,フリーキック,フリーキック
"テニスや卓球で、2人対2人で行われる試合形式4
有式を何という ?    _",スポーツ,デュアル,ダブルス,ツインズ,マルナチ,ダブルス
ギリシャ旨ち話の海の利にちなんで名付けられた、水球の日本代表の愛称は何 ?,スポーツ,バッカスジャパン,ポセイドンジャパン,オーディンジャパン,サタンジャパン,ポセイドンジャパン
スポーツチームの間で、選手の交換・移籍を行うことを何という 2?2,スポーツ,トレース,トレーナー,トレード,トレーラー,トレード
背番号は「1985」である、阪御タイガースのマスコットキャラは何 ?,スポーツ,ジャピット,トラッキー,ドアラフ,スラフイリー,トラッキー
卓球で、ボールに上回転をかける打法を何という3?,スポーツ,クルーズ,サイクリング,フライト,ドライブ,ドライブ
陸上の棒高跳びや走り高跳びひで、バーを落とさずに跳び越すことを何という ?,スポーツ,クリア,ストライク,オーバー,キャッチ,クリア
相撲で、相手を追いつめながらも、勢い余って自分の足を土伝外に出してしまうことを何という?,スポーツ,しんばぱち足,としぞう中,いさみ中,そうじ足,いさみ中
次のうち、監督も背番号を付けているスポーツはどれ2?,スポーツ,野球,バレーボール,サッカー,ラグビー,野球
"野球の守備の要となる、キャッチャーからセンターにかけての守備位置を結ぶ線
線を何という?",スポーツ,センターライン,ゴールライン,ライフライン,コーラスライン,センターライン
"プロ野球で、春季に行われる非公式試合の
こと
を何という
つう 2",スポーツ,スケッチ戦,オープン戦,スイッチ戦,キャンバス戦,オープン戦
野球で、ホームチームが得点したと同時に試合終了となる勝ち方を何といつ ?,スポーツ,オツカレ勝ち,アリガトウ勝ち,アバヨ勝ち,サヨナラ勝ち,サヨナラ勝ち
ワのの jpま2っ天上. 4ニッルまた を:使われるスポーツはどれ2?,スポーツ,スキージャンプ,新体操,マフソン,ムエタイ,スキージャンプ
テニスや卓球で、高く上がったボールを相手コートに叩きつけるようにf]つプレーを何という ?,スポーツ,スラフラッシュ,クラッシュ,スマッシュ,フレッシュ,スラフラッシュ
テニスで、サーブを2回続けて失敗することを何という3?,スポーツ,ダブルフォールト,レット,アドバンテージ,タッチネット,ダブルフォールト
野球で、外野手から内野や捕手に投げられる「ストライクの返球」のことを特に何という ?,スポーツ,和返球,好返球,姉返球,始返球,好返球
相撲部屋で一番偉い人は何と呼ばれる 2,スポーツ,棟染,親方,総監,主任,親方
相撲で、土依のすぐ下に設けられた各席を俗に何という ?,スポーツ,皮かぶり,"小       いす
砂 かぶ り",釘かぶり,知ったかぶり,"小       いす
砂 かぶ り"
「チョウのように舞い、ハチのように刺す」と評された、往年のボクサーは誰 ?,スポーツ,モハメド・エリ,モハメド・アリ,モハメド・マリ,モハメド・セリ,モハメド・マリ
野球で、9イニングを投げて、下均の自責点がいくつかを示すピッチャーの指標は何 ?,スポーツ,防衛率,交戒率,守備率,防御率,防御率
"スポーツの試合で、 規定時間 "" 回決着がつかないとき、試合を更に延ばして行うものを何という ?",スポーツ,延期戦,,延導戦,延長戦,延導戦
大相撲で横綱が敗れるなどの波乱があったとき、客席から土依に投げけ込と才4有たを33の】たき円有2,スポーツ,座布団,果物,水風船,火鉢,座布団
次のうち、サッカー選手の三浦知良が、ゴールを決めた後に行うおなじみのパフォーマンスはどれ?,スポーツ,カズ舞踊,カズパントマイム,カズダンス,カズタップ,カズダンス
大相撲で、同じ星で並んだ3人の有力土による優勝決定戦を何という ?,スポーツ,巴戦,互戦,何戦,症戦,巴戦
相撲の隠語で「タニマチ」といえば、次のうち何のこと2?,スポーツ,スポンサー,アルコール,リハビリ,スキャンダル,スポンサー
"マラソンなどで、多くの選手を一気に抜き去ることを「""*何""抜き」という?",スポーツ,にんじん,さつまいも,ごぼう,だいこん,ごぼう
野球の「ラッキーセブン」の「セブン」が表すものは何?,スポーツ,イニング,チームの順位,両チームの総得点,選手の人数,イニング
大相撲の第68代横綱朝青龍、第69代横綱白肘、第70代横綱日馬富士に共通する出身国はどこ ?,スポーツ,ブルガリア,アメリカ,モンゴル,グルジア,モンゴル
高校野球で、監督のメッセージをグラウンド内の選手に伝える役目の控え選手を何という?,スポーツ,伝令,伝説,伝染,伝授,伝令
ジーコジャパン、ザックジャパン、ハリルジャパンといえば、何のスポーツの日本代表の呼称 ?,スポーツ,ラグビー,サッカー,野球,フットサル,サッカー
夏季オリンピックは何年に一度開催される ?     ー    「,スポーツ,1年,2年,3年,4年,4年
サバイバルゲームで、飛んできた弾に当たってしまうことを何という ?,スポーツ,ヒット,ダブル,スイープ,バーン,ヒット
戦国時代に安土城を築いた武将を先班にもつ、日本のフィギュアスケート選手は誰 ?,スポーツ,織田信成,石田信成,徳川信成,豊下信成,織田信成
次のうち、ふつう野球場にない設備はどれ ?    ーー,スポーツ,土令,ブルペン,マウンド,ダグアウト,土令
軟式野球のボールに見られる特徴は何?,スポーツ,ゴムでできている,ガラスでできている,鉄でできている,大理石でできている,ゴムでできている
次のうち、野球において打者が打ち上げた当たりそこないの飛球のことを何という ?,スポーツ,ポップアート,ポップフライ,ポップティーン,ポップコーン,ポップフライ
野球で、野手の両足の間をボールが抜けるプレーを何という ?,スポーツ,ブリッジ,トンネル,カーブ,スロープ,トンネル
タレントの小錦八十吉がかつてプロ選手として活躍していたスポーツは回角,スポーツ,ラグビー,相撲,レスリング,柔道,相撲
野球チームで、通称「鷹」といえばどこの球団 ?    _,スポーツ,中日,ヤクルト,楽天,ソフトバンク,ソフトバンク
ボクシングで、偶然命中した有効打のことを何という3?,スポーツ,タブンネパンチ,ラッキーパンチ,ハビピナスパンチ,ビンプクパンチ,ラッキーパンチ
次のうち、シャトルコックを打ち合うスポーツはどれ?,スポーツ,スカッシュ,目球,バドミントン,テニス,バドミントン
次のうち、サッカーの基本的な練加法にあるものはどれ2?     「,スポーツ,狂回し,パス回し,コマ回し,根回し,パス回し
ソウル五輪で、ドーピングによって失格となったベン・ジョンソンといえば、どんな競技の選手 ?,スポーツ,レスリング,陸上,クレー射撃,体操,陸上
縄跳びのダブルダッチで、縄を回す人は何人 ?,スポーツ,2人,9人,1人,4人,2人
水泳の飛込競技を、飛び込み方から2つに分けると、飛板飛込みと何飛込み ?,スポーツ,高飛込み,横飛込み,走り飛込み,年飛込み,高飛込み
プロ野球で、投球が危険球と市定されると、投げた投手はどうなる ?,スポーツ,セーブがつく,次の回から降板,背番号和剥奪,即退場,即退場
次のうち、ドルトムントやマンチェスターユナイテッドなどでプレーした日本人サッカー選手は誰 ?,スポーツ,徳島真司,高知真司,香川真司,愛媛真司,香川真司
バパバレーボールで、  体がネットに触れる反則を何という ?,スポーツ,ダブルコンタクト,フォアヒット,ホールディング,タッチネット,タッチネット
元ボクシングのヘビー級王者、ウラジミール・クリチコの出身国はどこ 2,スポーツ,リヒテンシュタイン,トンガ,中国,ワウクライナ,ワウクライナ
「スポチャン」と略されることもある、剣道を原型としたスポーツはスポーツの〇の〇〇。 〇の〇〇は ?,スポーツ,チャンポン,チャンバラ,チャンネル,チャンプブル,チャンバラ
TBSのスポーツ特番で行われる「モンスターボックス」といえば、どんな種目 ?,スポーツ,,組体操,跳び箱,二人三脚,跳び箱
相撲で、取り組み前に力士がまくものは次のうちどれ?,スポーツ,砂糖,塩,味噌,醤油,塩
フィギュアスケートで、ジャンプなどの規定要素を規定時間内にまとめる演技種目はどれ ?,スポーツ,ショートプログラム,グランデプログラム,トールプログラム,ベンティプログラム,ショートプログラム
大相撲の横綱土依入りの2種類の型といえば、「雲和竜型」と何?,スポーツ,不知火型,黒潮型,親潮型,陽炎弄,不知火型
一般に「球場」といえば、どんな球技を中心に行う場所 ?,スポーツ,ラグビー,テニス,ゴルフ,野球,野球
ボクシングで、防御やその姿勢を表す英語は何?,スポーツ,ガード,レギュラー,スイープ,ポイント,ガード
野球で、投手が打ち込まれ大量失点する様を指す言葉は次のうちどれ2?,スポーツ,厨房,炎上,情画,喪男,炎上
ウィンタースポーツのボブスレーやリュージュといえば、何のコースの上をソリで走る競技 ?,スポーツ,レンガ,紙,水,木,水
野球でボール投げるときに利かせる「スナップ」とは、体のどの部分のこと?,スポーツ,腰,手首,わき腹,かかと,手首
野球で、試合途中から登板する「救援投手」のことを何という ?,スポーツ,レリーフ,ブリーフ,リリーフ,グリーフ,リリーフ
卓球やテニスなどで、ボールに回転をかける打球を何という 3?,スポーツ,スピン,ステップ,ジャンプ,スパイラル,スピン
プロ野球で俗に「ドラ党」といえば、どのチームのファンのこと 2?,スポーツ,中日,オリックス,広島,ヤクルト,中日
クイック攻撃、回転レシーブ、ドライブサーブなどの用語が使われるスポーツは何 ?,スポーツ,バスケットボール,ゴルフ,バレーボール,テニス,バレーボール
次のサッカーのポジションのうち、主に「バックス」に分類されるのはとれ?,スポーツ,ミッドフィルダー,ディフェンダー,ゴールキーパー,フォワード,ディフェンダー
日本ラグビー協会が発表した、kyなコミレシッルコにはをさク)愛移は何?,スポーツ,マツセブンズ,ウメセブンズ,タケセブンズ,サクラセブンズ,サクラセブンズ
相撲で、審麟委員や控え力士が行司の入定に対して異議を出すことを何という2,スポーツ,ものいい,ものきき,もののの,ものとと,ものいい
大相撲で、横綱土依入りの型といえに雲竜型と何 ?,スポーツ,不知火型,明石型,稲雪型,雷電型,不知火型
卓球・テニス・バレーボールなどで、コートに仕切りとして張られて和夫をまう)】た円有2,スポーツ,ネット,水,板,テント,ネット
大相撲で、「若中ブーム」を起こした兄弟といえば、弟の貴乃花と兄の上:壮4,スポーツ,若乃畠,若乃草,若乃花,若乃芽,若乃花
陸上種目の円胡授げで投げる円盤の重さは、男子の場合は2kgqですが、女子の場合は何kq?,スポーツ,1000kg,10kq,100kg,1kg,1kg
次のうち、地面にボールを落としてもよいスポーツはどれ3?,スポーツ,バレーボール,セパタクロー,バドミントン,バスケットボール,バスケットボール
元サッカー選手のベッケンバウアーや、元F1ドライバーのシューマッハに共通する愛称は何 ?,スポーツ,妖怪,魔王,皇帝,死得,皇帝
大相撲の「若中ブーム」を担った若乃花の、力士としての最高番付は何だった?,スポーツ,前頭,模綱,大関,十両,模綱
フィンランド発舌の競技「奥様運ひび」は夫役の男が何を担いで進む競技 ?,スポーツ,太楽,妻,ラグビーボール,座布団,妻
次のうち、かつてはプロ野球選手として活躍していたのは誰 ?     「,スポーツ,江本邊紀,ジャガー横田,増田明美,松岡修造,江本邊紀
スポーツの競技会などで、優勝・入賞の記念に授与されるカップや盾を何という3?,スポーツ,トロフェー,トロフォー,トロファー,トロフィー,トロフィー
Jリーグのサッカークラブ、セレッソ大阪の「セレッソ」はどんな植物のこと2?,スポーツ,椿,村,梅,楓,村
次のうち、カーリングで、ハウス内から相手のストーンを弾き出すことを意味する用語はどれ ?,スポーツ,イートイン,テイクアワウト,ドライブスルー,デリバリー,テイクアワウト
マリンスポーツの「サーフィン」を意味する言葉「〇乗り」。〇は何 ?,スポーツ,波,風,"選評
ニコ",潮,波
柔道が生まれた国はどこ ?,スポーツ,韓国,日本,フラフランス,ロンシア,日本
次の陸上競技のうち、飛び越すものの高さがもっとも高いものはどれ 2?,スポーツ,棒高跳び,ハードル走,3000メートル障害,走り高跳び,棒高跳び
サッカーのヒールキックといえばは、体のどの部分で蹴るもの ?,スポーツ,かかと,ひざ,あご,あたま,かかと
野球で、特定のチームの打者の顔ぶれを表す言葉はどれ 2?,スポーツ,打線,琴線,台線,違線,打線
次のうち、一般的なボウリングのピンに使われている色はどれ?,スポーツ,金と銀,黒と紫,緑と檜,日と赤,日と赤
サッカーの1チーム11人のうち、「フィールドプレーヤー」ではない選手は何人 ?,スポーツ,10人,5人,1人,3人,1人
競衝で、フライングを表すアルファベット1文字は何 ?,スポーツ,F,G,L,,F
肉ばなれなどの傷害を防ぐために行う、筋肉や関節を伸ばす柔軟体操を何という3?,スポーツ,スイッチ,スケッチ,ストレッチ,スクラッチ,ストレッチ
野球で、1人の選手が1試合で複数のヒットを放つことを何という 2?2,スポーツ,シカクチヒット,バツチヒット,マルチヒット,サンカクチヒット,マルチヒット
"アイスホッケーの試合で、選手が打ち合うゴコ
ム製
(のゆ
円盤を何と
いう
の",スポーツ,パック,ザック,マック,ラック,パック
プロ野球で、首位打者の有資格者として必要な最少打席数を何という ?,スポーツ,所要打席,規格打席,所定打席,規定打席,規定打席
ラモス瑠偉といえば、どんなスポーツで活躍した人物 ?,スポーツ,サッカー,マフソン,テニス,ラグビー,サッカー
スキー競技の種類のひとつ「アルペン」の名前の由来となった山脈は回角,スポーツ,ヒマラヤ山服,アンデス山服,赤石山脈,アルプス山脈,アルプス山脈
テニスの試合で、両選手のポイントやゲーム、セットが並んだ状態のことを何という3?,スポーツ,セイム,コモン,オール,アゲイン,オール
テニスで「グランドスラム」を達成3るために制覇する大会は全部でいくつ?,スポーツ,4つ,Sつ,2Zつ,3つ,4つ
江戸時代の伝説の力士、雷電為右衛の最高番付は何だった ?,スポーツ,小結,関脇,大関,前豆,大関
相撲で、勝負が決した時の技の事を何という?,スポーツ,押しの一手,決まり手,奥の手,合いの手,決まり手
ボウリングで、「ヘッドピン」とも呼ばれる1番ピンが配置されているのは、手前から何列目 ?,スポーツ,2列目,3絢目,1列目,4列目,1列目
野球の記録で「死球」とも表記されとをの】ちく幅時7   -,スポーツ,パスボール,フォアボール,フォークボール,テッドボール,テッドボール
次のプロ野球チームのうち、本拠地が東日本にあるのはどれ2?,スポーツ,ソフトバンク,広島,巨人,オリックス,巨人
次の陸上競技の種目のうち、走る距半が最も短いのはどれ?,スポーツ,3000m障害,200m,400m,110mハードル,110mハードル
陸上選手で初めて国民栄誉賞を授賞の】ち者7,スポーツ,有森裕子,高橋同子,ケンブリッジ飛鳥,内村航牌,高橋同子
ボクシングで、ボクサーの腕の長さの手記:ヨたる円4,スポーツ,リーチ,カン,ポン,ドラ,リーチ
スキーの「ノルディック複合」はノーマルヒルジャンプと何の組み合わせ ?,スポーツ,,クロスカントリー,棒高跳び,バタフライ,クロスカントリー
固く団結して協力することの例えにも使われるラグビー用語といえば回角,スポーツ,スクラム,ナンバーエイト,タックル,トライ,スクラム
次のJリーグのクラブのうち、愛称の頭文字が「R」で始まるのはどれ?,スポーツ,"ロアッ
ゃ ゾ",ガンバ,トリニータ,マリノス,"ロアッ
ゃ ゾ"
雪合戦の公式ルールによると、1チームの人数は何人 ?,スポーツ,80人,8000人,8人,800入,8人
Eョゅ54ゆ 「サヨナラ勝ち」 o 一番平くて試合のどの段階で起こる ?,スポーツ,9回裏,3回表,7回表,5回裏,9回裏
Jリーグのサッカークラブ、レイソルがホームタウンとする了千葉県の市はとどこ?,スポーツ,松戸市,船橋市,市川市,柏市,柏市
世界の舞台で活躍する高梨沙羅といえば、どんな競技の選手 ?,スポーツ,スキージャンプ,女子サッカー,車いすテニス,バレーボール,スキージャンプ
体操の鉄棒の持ち方。 「順手」と反対の持ち方を何という2,スポーツ,握手,組手,岩手,逆手,逆手
サッカーのポジションで、「DH」は「ディフェンシブハーフ」ですが、「0H」は何ハーフ ?,スポーツ,オーバー,オフェンシブ,オリジナル,オプティカル,オフェンシブ
陸上の400mハードル。 飛び越えるハードルの数は全部でいくつ?,スポーツ,50個,200個,100個,10個,10個
野球で、2人のベースコーチがいる場所はどこの近く?,スポーツ,1塁と3塁,2塁と本塁,2皇と3塁,1塁と2塁,1塁と3塁
相撲界で初めて国民栄準賞を受賞した、今は亡き元横綱は誰 ?,スポーツ,朝青能,千代の富士,貴乃花,武若丸,千代の富士
プロ野球で、通算本塁打数1位の記録を持つのは誰 2,スポーツ,長嶋茂雄,王貞治,落合博満,野村克也,王貞治
プロ野球で、毎年秋に行われる「新人選手選択会議」のことを一般に何という2,スポーツ,ドラフト会議,ラガー会議,スタウト会議,ピルスナー会議,ドラフト会議
高校野球では人金属製、プロ野球では木製のものが使われる道具といえば回角,スポーツ,グローブ,ボール,ベースズ,バット,バット
ののjpまっ計症めマ EE 者6TにWW】とす,スポーツ,杯欧洲勝紀,青木功,井上康生,永田裕志,杯欧洲勝紀
サッカーのミッドフィルダーの分類で、 「DH」や「OH」の「H」は、何の略 ?,スポーツ,ハーノ,ホールド,ヒット,ヘルプ,ハーノ
「金本知恵」の読み方は何?,スポーツ,カネモト サトシ,カネモト チケイ,カネモト トモケイ,カネモト トモアキ,カネモト トモアキ
バレーボールなどでいわれる、ジャレア2クレ の/M2もPu:まった者特に何という ?,スポーツ,潜水時間,滞空時間,滞在時間,満伏時間,滞空時間
松島幸太朗、リーチ・マイケルといえばは、どんなスポーツで活躍する人物 ?,スポーツ,バレーボール,バスケットボール,ラグビー,サッカー,ラグビー
ノルティックスキーW杯で、ジャンプ男子個人の最年長優勝記録を持つをた :導4,スポーツ,立谷幸生,原田雅彦,船木和宮,品西紀明,品西紀明
コゴジラこと松井秀喜が、巨人やヤンキースで長年つけていた背番号は何番?,スポーツ,99番,42番,51番,55番,55番
野球の守備番号。ピッチャーは何番2,スポーツ,9番,1番,3番,5番,1番
天旦陸下が観戦する相撲を、特に何という ?          ーー,スポーツ,高察相撲,拝観相撲,天覧相撲,参観相撲,天覧相撲
「SAMURAI BLUE」といえば、どこの国のサッカー代表の愛称 ?,スポーツ,アルゼンチン,日本,オランダ,ニュージーランド,日本
Lcだコリルジン 計 いとると 0生55/:り物を使ったスポーツ ?,スポーツ,ヨット,へリコプター,スノーモービル,バイク,ヨット
「直球」とも呼ばれる野球の球種は何?,スポーツ,スライダー,ストレート,カーブ,シュート,ストレート
名前の頭文字からT・0という愛称で呼ばれる元NFL選手は誰 ?,スポーツ,ジェリー・ライス,ランディ・モス,クリス・カーター,テレル・オーワウェンス,テレル・オーワウェンス
野球場にある「ブルペン」で一般的に練特されることは次のうちどれ ?,スポーツ,バント処理,牽制,投球,打撃,投球
次のうち、ロデオ競技に使われる動物はどれ?2,スポーツ,蛇や星,牛や馬,鶴や旬,鳩や雀,牛や馬
Jりリーグのサンフレッチェと、プロ野球のカープがともに本拠地を置く県はどこ?,スポーツ,広島県,岡山県,山口県,兵庫県,広島県
次のスポーツのうち、使われるボールの表面に指を入れる穴が空いていとの】ちずり,スポーツ,ハンドボール,ラグビー,提球,ボウリング,ボウリング
次のうち、スポーツで他の選手への指示などを行う選手を指す言葉はどれ?,スポーツ,司令塔,電波塔,金字塔,官制塔,司令塔
スポーツ選手が所属チームから解選を言い渡されることを、「何通告」という2,スポーツ,規格外,"相定
四定外",戦力外,時間外,戦力外
Jリーグのサッカーチーム、「FCC〇つつ」「〇O〇O〇ヴェルディ」の〇つ〇〇に入る地名は何 ?,スポーツ,紳奈川,東京,栃木,埼玉,東京
だま半叶因衝=当6生ま39と4ば、どんなスポーツ 2,スポーツ,テニス,ゴルフ,ホッケー,ラクロス,ゴルフ
野球で、球を股の下にくぐらせてしまうエラーを何という ?,スポーツ,チューブ,パイプ,ドカン,トンネル,トンネル
水泳で、「ブレス」といえば、どんな動作のこと?,スポーツ,飛び込み,腕をかく,息つぎ,バタ足,息つぎ
テニスの試合で、1人対1人で行われるスタイルを何という2?  _,スポーツ,シングルス,トリオ,デュオ,ダブルス,シングルス
硬式テニスで使用されるボールの表直の をマンコと円有7,スポーツ,フェルト,スパンコール,牛革,デニム,フェルト
テニスで、サーブを失敗することを仙という ?               「,スポーツ,スムース,ノットアップ,フォールト,フフ,フォールト
世界的な自転車レース「ツール・,スポーツ,フフランス,ベルギー,オランダ,ドイツ,フフランス
オリンピックの陸上競技の中でも、公道でレースを行うのは、 「競歩」と何?,スポーツ,マフソン,800m走,100m走,400mリレー,マフソン
野球で、投手が打ち込まれて交代を余儀なくされるという意味の言葉「(〇O〇される」  Oo  〇〇は何 ?,スポーツ,FA,KO,NG,0A,KO
アメフトの「アメ」とは何の略 ?,スポーツ,アメーバ,アミューズ,アメイジング,アメリカン,アメリカン
次のうち、男性は誰 ?,スポーツ,伊達公子,宮里藍,物生結弦,高梨沙維,物生結弦
次のうち、水に入って行わないスポーツはどれ2?    _,スポーツ,シンクロ,スカッシュ,水球,跳泳,スカッシュ
ボクシングの「クロスカウンター」で、クロスするものはリング上の両選手の何 ?,スポーツ,中,腕,首,"連命
問",腕
野球で、「スローボール」とはどんな球 ?,スポーツ,空中で静止する球,速い球,遅い球,消える球,遅い球
サッカー・ブラジル代表のことを、ユニフォームの色にちなんで「てCXつう車団」という?,スポーツ,インコ,ブンチョウ,ジュウシマツ,カナリア,カナリア
次のうち、「ボーク」という反則があるスポーツはどれ2?    「,スポーツ,卓球,マフソン,野球,ラグビー,野球
サッカーのゴールの枠で、タテの棒を特に何という ?,スポーツ,エンド,スリット,スタンド,ポスト,ポスト
大相撲で、土優の上にいて勝負の独定をする人を何という ?2    「,スポーツ,行本,寿司,宮司,国本,行本
長距離レースなどで、先頭に立ち、レースのスピードを調節する走者のことを何という?,スポーツ,ペースメーカー,ドクター,ドナー,インプラント,ペースメーカー
野球で「グランドスラム」といえば何のこと?      」,スポーツ,満塁ホームラン,サイクルヒット,完全試合,引き分け,満塁ホームラン
プロ野球の阪御が、高校野球の大会のために長期ロードに出るのは。 毎年何月 ?,スポーツ,9月,6月,8月,月,8月
ゴルフで「1ラウンド」といった場合、何ホールのこと ?,スポーツ,9,10,20,18,18
次のうち、「丸い屋根のついたスタジアム」を指す言葉はどれ ?,スポーツ,ドーム,ブーム,ズーム,ホーム,ドーム
次のうち、体操競技の種目名にあるものはどれ2,スポーツ,包り輸,反り輸,折り輸,盛り還,包り輸
次のうち、基本的に個人で行う競技はどれ ?        _,スポーツ,バレーボール,ラグビー,バスケットボール,ゴルフ,ゴルフ
バレーボールで、ボールを相手側に返すとき、ボールに最大何回連続で外れることができる ?,スポーツ,9回,5回,7回,3回,3回
「ラージボール生球」 と従来の利球を比べた際の大きな違いは次のうちとれ?,スポーツ,ネットがない,両手にラケットを持つ,大きな球を使う,砂浜で行う,大きな球を使う
次のうち、サッカーの用語でないのはどれ ?      「,スポーツ,キックオフ,ロックイン,スローイン,フリーキック,ロックイン
次のスポーツのうち、普通、使われるボールが最も大きいものはどれ?,スポーツ,卓球,ボウリング,野球,ゴルフ,ボウリング
次のスポーツのうち、点を取る手段に「シュート」がないものはどれ 2?,スポーツ,アイスホッケー,フェンシング,サッカー,バスケットボール,フェンシング
野球で「サブマリン」といえば、どんな投げ方をする投手のこと ?2,スポーツ,サイドスロー,アンダースロー,ウィンドミル,オーバースロー,アンダースロー
正式名称を「松山中央公園野球場」という、愛媛マンダリンパイレーソツの本拠地球場の愛称は何 ?,スポーツ,坊っちゃんスタジアム,三四郎スタジアム,それからスタジアム,こころスタジアム,坊っちゃんスタジアム
サッカーのワールドカップで、出場するチームの構成は、次のうちどの単位?,スポーツ,国別,民族別,年齢別,所属クラブ別,国別
フィギュアスケートの4種類の競技は「シングル」 「ペア」 「シンクロナイズド」と何 ?,スポーツ,アイスペール,アイスランド,アイスバイン,アイスダンス,アイスダンス
野球の記録で、日本語では「飛」と書かれるものは何 ?,スポーツ,ゴロ,エラフー,ヒット,フラフライ,フラフライ
サッカーで「レッズサポ」 「セレッソサポ」という時のサポとは何の略 ?,スポーツ,サービス,サポーター,サボテン,殺法,サポーター
ボクシングには欠かせない「バンデテージ」といえば、次のうち何のこと?,スポーツ,ファンの声援,不正のないいジャッジ,挙に巻く布,入場時にかける曲,挙に巻く布
多くのF1レーサーがこの経験者である、小型のレーシングカーといえはのひjpまっず< 4,スポーツ,チャート,ダート,スマート,カート,カート
フルマラソンで走る距離は何km ?,スポーツ,22.195km,42.195km,52.195km,32.195km,42.195km
札幌オリンピックの頃に考案された、スキージャンプ日本代表の通称は何 ?,スポーツ,東洋の飛行際,なでしこ飛行際,日の丸飛行際,侍飛行際,日の丸飛行際
タレントの篠原信一が、かつてオリンピックで銀メダルを獲得した喜技は何 ?,スポーツ,体操,柔道,アーチェリー,テニス,柔道
大相撲で、幕内、十両の力士を指す言葉はどれ?,スポーツ,関税,関取,関係,関西,関取
小中学生が参加する「マルちゃん杯」、高校生が参加する「金夏旗」といえば、どんな競技の大会 ?,スポーツ,レスリング,テコンドー,ボクシング,柔道,柔道
ゲートボールで使われるボールの色は、和白色と何色 ?,スポーツ,赤,"許
月",金,紫,赤
プロ野球・東京ヤクルトスワローズの「スワローズ」はどんな鳥 ?,スポーツ,ツバメ,カラス,スズメ,アヒル,ツバメ
アマチュアレスリングで、審講側にビデオ生定を要求できる権利を何という ?,スポーツ,ストップ,チャレンジ,ライフライン,キャンセル,チャレンジ
野球で、その投手独特の新しい変化球を表す言葉は次のうちどれ?,スポーツ,魔球,庭球,廊球,廃球,魔球
水球でファウルを犯したときに選手がプールの外に出されることを何という ?,スポーツ,退水,退会,退競,,退水
